"metric","1stQ","3rdQ","avg","median","min","max","max-min","stddev","u-fence","threshold"
"MLOC",2.0,6.0,5.1685185185185185,3.0,0.0,50.0,50.0,5.711208086316994,12.0,30.0
"CYCLO",1.0,2.0,1.4833333333333334,1.0,1.0,10.0,9.0,1.0044807023937707,3.5,10.0
"CALLS",0.0,4.0,3.7333333333333334,2.0,0.0,57.0,57.0,6.1333333333333275,10.0,5.0
"NBD",0.0,2.0,1.0648148148148149,1.0,0.0,4.0,4.0,1.0334511415653607,5.0,3.0
"PARAM",0.0,1.0,0.4925925925925926,0.0,0.0,13.0,13.0,0.8974969002013626,2.5,4.0
