"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa"
"br.com.trevisantecnologia.importer.dao.AgentDao",76,11,9,14,8,1,4,5,0
"br.com.trevisantecnologia.importer.dao.CustomFieldValueDao",76,7,4,14,7,2,1,6,0
"br.com.trevisantecnologia.importer.model.Limit",75,14,14,14,8,0,5,1,8
"br.com.trevisantecnologia.importer.service.ServiceLocalActivityService",75,9,2,18,11,7,0,9,5
"br.com.trevisantecnologia.importer.model.Activity",74,11,11,12,11,0,7,2,6
"br.com.trevisantecnologia.importer.Importer",74,8,3,14,14,5,2,10,7
"br.com.trevisantecnologia.importer.v3.callback.ResultAggregateService",73,6,1,6,15,1,0,3,2
"br.com.trevisantecnologia.importer.parser.FileProcessorV3",72,4,1,10,12,7,0,10,2
"br.com.trevisantecnologia.importer.service.ClientService",71,11,9,16,10,5,4,7,2
"br.com.trevisantecnologia.importer.model.idiom.IdiomEntry",71,10,10,10,14,3,2,4,8
"br.com.trevisantecnologia.importer.v3.message.MessageService",71,7,2,10,16,5,1,6,2
"br.com.trevisantecnologia.importer.v3.configuration.mongodb.MongoDbConfiguration",70,7,3,8,19,0,0,1,2
"br.com.trevisantecnologia.importer.service.ItineraryAgentService",69,7,2,15,12,7,0,9,4
"br.com.trevisantecnologia.importer.parser.LineParser",68,6,4,15,6,2,0,7,2
"br.com.trevisantecnologia.importer.core.ImportExecutor",68,5,2,5,16,11,1,14,8
"br.com.trevisantecnologia.importer.service.SubGroupService",66,8,4,14,10,7,0,9,4
"br.com.trevisantecnologia.importer.model.PasswordHistory",65,10,10,10,12,0,3,1,6
"br.com.trevisantecnologia.importer.service.AditionalInfoItemService",65,8,1,16,11,8,0,10,4
"br.com.trevisantecnologia.importer.reflection.ReflectionHelper",63,7,6,22,10,3,0,7,1
"br.com.trevisantecnologia.importer.v3.entity.EntityBuilder",61,10,6,16,4,1,1,4,6
"br.com.trevisantecnologia.importer.service.CustomEntityEntryService",61,9,4,15,10,5,0,7,1
"br.com.trevisantecnologia.importer.service.TeamService",60,8,1,15,9,7,0,9,4
"br.com.trevisantecnologia.importer.validator.business.builders.AgentValidatorBuilder",60,1,0,1,6,2,1,3,15
"br.com.trevisantecnologia.importer.model.DefaultActivity",59,10,10,10,10,0,2,1,4
"br.com.trevisantecnologia.importer.service.AgentActivityService",59,8,3,13,10,6,0,8,4
"br.com.trevisantecnologia.importer.model.LevelA",59,8,8,8,11,0,3,1,5
"br.com.trevisantecnologia.importer.service.ItineraryServiceLocalService",59,7,2,13,10,6,0,8,4
"br.com.trevisantecnologia.importer.service.ServiceLocalTeamService",59,7,2,13,10,6,0,8,4
"br.com.trevisantecnologia.importer.dao.CustomFieldDao",58,6,4,11,10,1,1,3,0
"br.com.trevisantecnologia.importer.service.journey.WorkdayService",57,7,2,13,8,5,0,7,3
"br.com.trevisantecnologia.importer.service.GroupService",57,7,3,13,9,6,0,7,3
"br.com.trevisantecnologia.importer.v3.entity.Properties",56,9,4,14,6,1,2,5,2
"br.com.trevisantecnologia.importer.service.CustomFieldService",56,5,4,11,8,5,1,6,2
"br.com.trevisantecnologia.importer.model.feature.toggle.FeatureToggle",55,10,10,11,7,1,3,2,6
"br.com.trevisantecnologia.importer.service.MediaService",55,7,2,13,10,4,0,7,1
"br.com.trevisantecnologia.importer.converter.WeekdaysConverter",55,4,1,12,9,3,2,8,2
"br.com.trevisantecnologia.importer.service.schedule.notification.ScheduleNotificationService",55,2,1,6,11,8,1,10,6
"br.com.trevisantecnologia.importer.helper.EncodingHelper",54,4,3,7,8,0,2,3,3
"br.com.trevisantecnologia.importer.v3.entity.Root",53,9,7,12,6,1,3,5,4
"br.com.trevisantecnologia.importer.service.ServiceLocalItemService",53,7,2,11,9,6,0,8,4
"br.com.trevisantecnologia.importer.dao.CustomEntityEntryDao",53,6,5,9,9,2,1,5,0
"br.com.trevisantecnologia.importer.service.ScheduleActivityService",52,8,2,12,8,6,0,8,3
"br.com.trevisantecnologia.importer.util.SpringApplicationProperties",51,9,9,15,2,0,1,0,9
"br.com.trevisantecnologia.importer.util.ArrayUtils",51,8,8,19,6,1,1,5,0
"br.com.trevisantecnologia.importer.v3.callback.ResultAggregate",51,8,8,13,5,0,1,1,4
"br.com.trevisantecnologia.importer.service.ServiceLocalClassificationService",51,7,3,12,7,4,0,6,1
"br.com.trevisantecnologia.importer.converter.ConversionHandler",51,5,3,7,4,1,1,2,2
"br.com.trevisantecnologia.importer.validator.XmlValidator",51,4,3,5,9,1,0,5,1
"br.com.trevisantecnologia.importer.util.ImporterConfiguration",50,9,8,11,3,1,4,3,2
"br.com.trevisantecnologia.importer.service.Local3DimensionService",50,7,3,12,7,4,0,6,1
"br.com.trevisantecnologia.importer.service.ItemCategoryService",50,7,3,12,7,4,0,6,1
"br.com.trevisantecnologia.importer.service.ServiceLocalTypeService",50,7,3,12,7,4,0,6,1
"br.com.trevisantecnologia.importer.service.AgentTypeService",50,7,3,12,7,4,1,6,1
"br.com.trevisantecnologia.importer.dao.ScheduleImportDao",50,6,3,7,12,1,1,4,3
"br.com.trevisantecnologia.importer.service.ScheduleImportService",50,5,4,10,9,5,5,6,2
"br.com.trevisantecnologia.importer.service.ItineraryActivityService",50,5,0,11,10,6,0,8,3
"br.com.trevisantecnologia.importer.service.ScheduleTypeActivityService",50,5,2,10,10,6,0,7,4
"br.com.trevisantecnologia.importer.model.ItineraryTeam",49,12,12,12,2,0,1,1,5
"br.com.trevisantecnologia.importer.service.AgentTeamService",49,7,1,9,9,6,0,8,4
"br.com.trevisantecnologia.importer.validator.GeoCoordinateValidator",49,5,2,13,3,2,2,6,3
"br.com.trevisantecnologia.importer.model.Partner",48,8,8,8,7,0,3,3,4
"br.com.trevisantecnologia.importer.parser.FileProcessor",47,8,3,9,7,4,2,5,6
"br.com.trevisantecnologia.importer.helper.PasswordHelper",47,6,3,7,11,7,3,8,3
"br.com.trevisantecnologia.importer.model.Idiom",46,7,7,8,8,0,4,2,3
"br.com.trevisantecnologia.importer.service.Timezones",46,4,4,10,4,1,1,4,1
"br.com.trevisantecnologia.importer.core.ImportProcess",45,8,3,11,2,0,3,4,3
"br.com.trevisantecnologia.importer.layout.LayoutMapperResolver",45,3,2,13,7,2,1,3,2
"br.com.trevisantecnologia.importer.service.SectionItemService",44,6,0,10,7,5,0,7,3
"br.com.trevisantecnologia.importer.service.LicenseService",43,8,1,11,4,3,1,4,1
"br.com.trevisantecnologia.importer.dao.ScheduleItemDao",43,4,3,8,6,2,1,6,0
"br.com.trevisantecnologia.importer.model.LicenseDTO",42,10,10,12,1,0,2,1,4
"br.com.trevisantecnologia.importer.util.ShutdownSigner",42,5,2,9,4,1,1,4,2
"br.com.trevisantecnologia.importer.dao.ServiceLocalDao",42,4,3,6,10,1,1,3,0
"br.com.trevisantecnologia.importer.file.LogFileService",41,5,1,6,8,1,2,5,1
"br.com.trevisantecnologia.importer.dao.ServiceLocalActivityDao",41,4,4,8,7,2,1,6,0
"br.com.trevisantecnologia.importer.dao.feature.toggle.FeatureToggleDao",40,4,3,5,13,6,2,8,1
"br.com.trevisantecnologia.importer.cache.CustomFieldCache",39,9,9,9,4,1,1,1,4
"br.com.trevisantecnologia.importer.v3.entity.Node",39,8,8,9,2,0,2,1,3
"br.com.trevisantecnologia.importer.validator.business.rules.agentteam.AgentTeamLinkRule",39,3,1,9,6,5,1,7,2
"br.com.trevisantecnologia.importer.email.EmailRequest",38,10,10,10,0,0,2,0,5
"br.com.trevisantecnologia.importer.core.ImportManager",38,4,2,5,5,2,1,5,4
"br.com.trevisantecnologia.importer.validator.business.rules.agent.CheckerAccessRole",38,3,1,8,10,7,0,9,2
"br.com.trevisantecnologia.importer.core.ImportWorker",38,2,2,3,5,2,0,4,4
"br.com.trevisantecnologia.importer.dao.ScheduleDao",37,5,4,6,7,3,1,4,0
"br.com.trevisantecnologia.importer.service.SectionSubGroupService",36,5,0,7,7,5,0,7,3
"br.com.trevisantecnologia.importer.dao.AgentActivityDao",36,3,3,7,7,2,1,5,0
