"method","loc","cyclo","calls","nbd","param"
"br.com.trevisantecnologia.importer.reflection.InstanceBuilder.setFieldSettings(T instance)",15,4,11,3,1
"br.com.trevisantecnologia.importer.service.ItineraryAgentService.verifyItinerary(ItineraryAgent itineraryAgent)",14,4,8,3,1
"br.com.trevisantecnologia.importer.reflection.InstanceBuilder.mergeInstances(T mainInstance, T complementaryInstance)",13,4,7,3,2
"br.com.trevisantecnologia.importer.service.ServiceLocalActivityService.beforeImport(ServiceLocalActivity serviceLocalActivity)",12,4,10,3,1
"br.com.trevisantecnologia.importer.reflection.InstanceBuilder.setDefaultValueForCustomField(T instance)",12,4,8,3,1
"br.com.trevisantecnologia.importer.service.ItineraryAgentService.beforeImport(ItineraryAgent itineraryAgent)",11,4,10,3,1
"br.com.trevisantecnologia.importer.service.journey.WorkdayService.clear(Workday workday)",10,4,10,3,1
"br.com.trevisantecnologia.importer.service.AgentActivityService.beforeImport(AgentActivity agentActivity)",10,4,9,3,1
"br.com.trevisantecnologia.importer.service.ItineraryServiceLocalService.beforeImport(ItineraryServiceLocal itineraryServiceLocal)",10,4,9,3,1
"br.com.trevisantecnologia.importer.service.ScheduleTypeActivityService.beforeImport(ScheduleTypeActivity instance)",10,4,9,3,1
"br.com.trevisantecnologia.importer.service.ServiceLocalTeamService.beforeImport(ServiceLocalTeam teamServiceLocal)",10,4,9,3,1
"br.com.trevisantecnologia.importer.service.ItineraryServiceLocalService.findCurrentReference(ItineraryServiceLocal itineraryServiceLocal)",9,4,11,3,1
"br.com.trevisantecnologia.importer.service.ServiceLocalTeamService.findCurrentReference(ServiceLocalTeam teamServiceLocal)",9,4,11,3,1
"br.com.trevisantecnologia.importer.reflection.InstanceBuilder.getFieldSetting(List<FieldSetting> list, String fieldName)",8,4,2,3,2
"br.com.trevisantecnologia.importer.layout.LayoutMapperResolver.createLayoutMapperV3(String fileName)",6,4,6,3,1
"br.com.trevisantecnologia.importer.reflection.InstanceBuilder.getValue(String valueField, Class<?> type)",6,4,4,3,2
"br.com.trevisantecnologia.importer.parser.FileProcessorV2.readAndProcessFile()",24,4,12,2,0
"br.com.trevisantecnologia.importer.model.journey.Workday.equals(Object o)",16,4,11,2,1
"br.com.trevisantecnologia.importer.service.CustomFieldService.findActiveByIdentifierAndEntity(CustomField customField)",16,4,11,2,1
"br.com.trevisantecnologia.importer.model.journey.Workday.validateTimeRangeHourAscendant()",13,4,6,2,0
"br.com.trevisantecnologia.importer.parser.FileProcessorV2.processValue(ImportContext context, ImportService<ImportModel> service, String content)",12,4,15,2,3
"br.com.trevisantecnologia.importer.service.ScheduleService.setAgenteInScheduleWhenOneMemberTeam(Schedule schedule)",12,4,14,2,1
"br.com.trevisantecnologia.importer.reflection.ReflectionHelper.getFieldByColumnName(Class<?> clazz, String columnName)",12,4,6,2,2
"br.com.trevisantecnologia.importer.model.Itinerary.getOriginList()",10,4,5,2,0
"br.com.trevisantecnologia.importer.service.ScheduleService.needsToTurnToPendingScheduleSituation(Schedule schedule)",9,4,6,2,1
"br.com.trevisantecnologia.importer.service.Timezones.setTimezone(Timezone timeZone)",8,4,9,2,1
"br.com.trevisantecnologia.importer.reflection.ReflectionHelper.getCustomFieldById(List<CustomField> customFields, String id)",8,4,3,2,2
"br.com.trevisantecnologia.importer.context.ImportContext.hasField(String nameField)",8,4,1,2,1
"br.com.trevisantecnologia.importer.context.ImportContext.getImportLog()",5,4,5,2,0
"br.com.trevisantecnologia.importer.model.Schedule.isAbleToSendNotification(Schedule old)",5,4,2,2,1
"br.com.trevisantecnologia.importer.parser.FileToParseValidator.fileIsValidToParse()",19,4,15,1,0
"br.com.trevisantecnologia.importer.parser.PropertiesParser.process(String values)",15,4,8,1,1
"br.com.trevisantecnologia.importer.validator.business.rules.utils.ReferenceByAlternativeIdentifier.findReferenceByAlternativeIdentifier(AbstractService<K> referenceService, K reference)",15,4,7,1,2
"br.com.trevisantecnologia.importer.service.ScheduleItemService.beforeImport(ScheduleItem scheduleItem)",13,4,15,1,1
"br.com.trevisantecnologia.importer.converter.EnumConverter.convert(Class<?> type, String value)",11,4,4,1,2
"br.com.trevisantecnologia.importer.model.journey.WeeklyWorkday.equals(Object o)",10,4,7,1,1
"br.com.trevisantecnologia.importer.validator.GeoCoordinateValidator.validCoordinateFormat(String geoCoordinate)",10,4,4,1,1
"br.com.trevisantecnologia.importer.service.CustomFieldValueService.validateMultivaluedValues(CustomFieldType type, String internalValue, String externalValue)",8,4,5,1,3
"br.com.trevisantecnologia.importer.service.AditionalInfoItemService.findCurrentReference(AditionalInfoItem aditionalInfoItem)",6,4,10,1,1
"br.com.trevisantecnologia.importer.dao.AbstractDao.getSession()",6,4,7,1,0
"br.com.trevisantecnologia.importer.service.ClientService.isRelationShipModeAndRegisteredBillingData()",6,4,6,1,0
"br.com.trevisantecnologia.importer.Importer.showVersion(String[] args)",5,4,4,1,1
"br.com.trevisantecnologia.importer.model.journey.WeeklyWorkday.validateOnlySyncOptions()",3,4,3,1,0
"br.com.trevisantecnologia.importer.converter.ItineraryExclusiveConverter.convert(Class<?> type, String value)",16,4,6,0,2
"br.com.trevisantecnologia.importer.validator.business.rules.agent.Idiom.isValid(Agent agent)",5,4,10,0,1
"br.com.trevisantecnologia.importer.helper.ComparatorHelper.reachesLimit(Long currentValue, Long limit)",5,4,0,0,2
"br.com.trevisantecnologia.importer.model.Agent.getAlternativeIdentifierAccessRole()",4,4,6,0,0
"br.com.trevisantecnologia.importer.service.AbstractCustomFieldedImportService.verifyCustomFieldValues(T instance, List<CustomField> loadedCustomFields)",19,3,16,4,2
"br.com.trevisantecnologia.importer.service.AbstractCustomFieldedImportService.saveCustomFieldValuesFor(T instance, CustomField customField)",12,3,9,4,2
"br.com.trevisantecnologia.importer.service.AbstractCustomFieldedImportService.buildCustomFieldValue(CustomField customField, T instance, boolean isNewEntity)",11,3,7,4,3
"br.com.trevisantecnologia.importer.service.AbstractCustomFieldedImportService.buildAndSaveCustomFieldValueFor(T instance, CustomField customField, boolean isNewEntity)",10,3,7,4,3
"br.com.trevisantecnologia.importer.service.AbstractImportService.processImport(T instance)",7,3,7,4,1
"br.com.trevisantecnologia.importer.service.AbstractCustomFieldedImportService.buildMediaDescription(CustomField customField, T instance)",5,3,7,4,2
"br.com.trevisantecnologia.importer.service.AbstractCustomFieldedImportService.verifyMandatoryCustomFieldContent(CustomField foundCustomField, List<CustomFieldValue> customFieldValues)",3,3,5,4,2
"br.com.trevisantecnologia.importer.service.AbstractCustomFieldedImportService.verifyCustomFieldLimitValues(CustomField customField)",3,3,5,4,1
"br.com.trevisantecnologia.importer.service.ServiceLocalActivityService.loadPreviousItineraryScheduleId(ServiceLocalActivity serviceLocalActivity)",8,3,9,3,1
"br.com.trevisantecnologia.importer.service.ServiceLocalActivityService.beforeValidation(ServiceLocalActivity instance)",7,3,6,3,1
