"type","dep","i-dep","fan-in","fan-out"
"br.com.trevisantecnologia.importer.service.CustomEntityEntryService",10,5,0,7
"br.com.trevisantecnologia.importer.service.TeamService",9,7,0,9
"br.com.trevisantecnologia.importer.validator.business.builders.AgentValidatorBuilder",6,2,1,3
"br.com.trevisantecnologia.importer.model.DefaultActivity",10,0,2,1
"br.com.trevisantecnologia.importer.service.AgentActivityService",10,6,0,8
"br.com.trevisantecnologia.importer.model.LevelA",11,0,3,1
"br.com.trevisantecnologia.importer.service.ItineraryServiceLocalService",10,6,0,8
"br.com.trevisantecnologia.importer.service.ServiceLocalTeamService",10,6,0,8
"br.com.trevisantecnologia.importer.dao.CustomFieldDao",10,1,1,3
"br.com.trevisantecnologia.importer.service.journey.WorkdayService",8,5,0,7
"br.com.trevisantecnologia.importer.service.GroupService",9,6,0,7
"br.com.trevisantecnologia.importer.v3.entity.Properties",6,1,2,5
"br.com.trevisantecnologia.importer.service.CustomFieldService",8,5,1,6
"br.com.trevisantecnologia.importer.model.feature.toggle.FeatureToggle",7,1,3,2
"br.com.trevisantecnologia.importer.service.MediaService",10,4,0,7
"br.com.trevisantecnologia.importer.converter.WeekdaysConverter",9,3,2,8
"br.com.trevisantecnologia.importer.service.schedule.notification.ScheduleNotificationService",11,8,1,10
"br.com.trevisantecnologia.importer.helper.EncodingHelper",8,0,2,3
"br.com.trevisantecnologia.importer.v3.entity.Root",6,1,3,5
"br.com.trevisantecnologia.importer.service.ServiceLocalItemService",9,6,0,8
"br.com.trevisantecnologia.importer.dao.CustomEntityEntryDao",9,2,1,5
"br.com.trevisantecnologia.importer.service.ScheduleActivityService",8,6,0,8
"br.com.trevisantecnologia.importer.util.SpringApplicationProperties",2,0,1,0
"br.com.trevisantecnologia.importer.util.ArrayUtils",6,1,1,5
"br.com.trevisantecnologia.importer.v3.callback.ResultAggregate",5,0,1,1
"br.com.trevisantecnologia.importer.service.ServiceLocalClassificationService",7,4,0,6
"br.com.trevisantecnologia.importer.converter.ConversionHandler",4,1,1,2
"br.com.trevisantecnologia.importer.validator.XmlValidator",9,1,0,5
"br.com.trevisantecnologia.importer.util.ImporterConfiguration",3,1,4,3
"br.com.trevisantecnologia.importer.service.Local3DimensionService",7,4,0,6
"br.com.trevisantecnologia.importer.service.ItemCategoryService",7,4,0,6
"br.com.trevisantecnologia.importer.service.ServiceLocalTypeService",7,4,0,6
"br.com.trevisantecnologia.importer.service.AgentTypeService",7,4,1,6
"br.com.trevisantecnologia.importer.dao.ScheduleImportDao",12,1,1,4
"br.com.trevisantecnologia.importer.service.ScheduleImportService",9,5,5,6
"br.com.trevisantecnologia.importer.service.ItineraryActivityService",10,6,0,8
"br.com.trevisantecnologia.importer.service.ScheduleTypeActivityService",10,6,0,7
"br.com.trevisantecnologia.importer.model.ItineraryTeam",2,0,1,1
"br.com.trevisantecnologia.importer.service.AgentTeamService",9,6,0,8
"br.com.trevisantecnologia.importer.validator.GeoCoordinateValidator",3,2,2,6
"br.com.trevisantecnologia.importer.model.Partner",7,0,3,3
"br.com.trevisantecnologia.importer.parser.FileProcessor",7,4,2,5
"br.com.trevisantecnologia.importer.helper.PasswordHelper",11,7,3,8
"br.com.trevisantecnologia.importer.model.Idiom",8,0,4,2
"br.com.trevisantecnologia.importer.service.Timezones",4,1,1,4
"br.com.trevisantecnologia.importer.core.ImportProcess",2,0,3,4
"br.com.trevisantecnologia.importer.layout.LayoutMapperResolver",7,2,1,3
"br.com.trevisantecnologia.importer.service.SectionItemService",7,5,0,7
"br.com.trevisantecnologia.importer.service.LicenseService",4,3,1,4
"br.com.trevisantecnologia.importer.dao.ScheduleItemDao",6,2,1,6
"br.com.trevisantecnologia.importer.model.LicenseDTO",1,0,2,1
"br.com.trevisantecnologia.importer.util.ShutdownSigner",4,1,1,4
"br.com.trevisantecnologia.importer.dao.ServiceLocalDao",10,1,1,3
"br.com.trevisantecnologia.importer.file.LogFileService",8,1,2,5
"br.com.trevisantecnologia.importer.dao.ServiceLocalActivityDao",7,2,1,6
"br.com.trevisantecnologia.importer.dao.feature.toggle.FeatureToggleDao",13,6,2,8
"br.com.trevisantecnologia.importer.cache.CustomFieldCache",4,1,1,1
"br.com.trevisantecnologia.importer.v3.entity.Node",2,0,2,1
"br.com.trevisantecnologia.importer.validator.business.rules.agentteam.AgentTeamLinkRule",6,5,1,7
"br.com.trevisantecnologia.importer.email.EmailRequest",0,0,2,0
"br.com.trevisantecnologia.importer.core.ImportManager",5,2,1,5
"br.com.trevisantecnologia.importer.validator.business.rules.agent.CheckerAccessRole",10,7,0,9
"br.com.trevisantecnologia.importer.core.ImportWorker",5,2,0,4
"br.com.trevisantecnologia.importer.dao.ScheduleDao",7,3,1,4
"br.com.trevisantecnologia.importer.service.SectionSubGroupService",7,5,0,7
"br.com.trevisantecnologia.importer.dao.AgentActivityDao",7,2,1,5
"br.com.trevisantecnologia.importer.v3.message.Message",2,0,1,0
"br.com.trevisantecnologia.importer.dao.AgentTeamDao",6,3,2,5
"br.com.trevisantecnologia.importer.validator.business.builders.ServiceLocalActivityValidatorBuilder",11,7,1,8
"br.com.trevisantecnologia.importer.v3.message.Content",3,2,1,2
"br.com.trevisantecnologia.importer.service.ScheduleSituationService",9,3,0,4
"br.com.trevisantecnologia.importer.dao.AbstractHibernateCopyDAO",9,1,1,6
"br.com.trevisantecnologia.importer.converter.ItineraryExclusiveConverter",4,2,1,6
"br.com.trevisantecnologia.importer.v3.callback.CallbackConsumer",11,5,0,5
"br.com.trevisantecnologia.importer.core.ImportQueue",8,0,0,2
"br.com.trevisantecnologia.importer.service.GeocoderService",7,2,0,3
