"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa","lcom3"
"org.jfree.chart.plot.dial.DialPlot",373,41,38,82,19,10,11,18,12,0.8625
"org.jfree.chart.block.BorderArrangement",373,10,5,58,7,3,10,6,6,0.7222222222222222
"org.jfree.chart.editor.DefaultPlotEditor",372,17,9,67,33,15,2,20,17,0.5
"org.jfree.data.statistics.DefaultStatisticalCategoryDataset",363,30,29,86,9,7,15,15,13,0.7931034482758621
"org.jfree.chart.plot.CombinedRangeXYPlot",362,28,26,78,20,13,3,18,4,0.9444444444444444
"org.jfree.chart.plot.CombinedDomainCategoryPlot",362,25,23,72,20,12,3,17,4,0.9375
"org.jfree.data.xy.XYSeriesCollection",361,37,37,78,18,11,57,22,3,0.9722222222222222
"org.jfree.chart.date.SerialDate",355,47,46,118,5,0,5,6,31,0.6739130434782609
"org.jfree.chart.plot.MultiplePiePlot",354,24,21,49,36,17,10,21,9,0.8260869565217391
"org.jfree.chart.renderer.category.GanttRenderer",352,16,12,59,22,11,8,16,5,0.8666666666666667
"org.jfree.chart.title.LegendTitle",344,34,29,65,37,25,10,31,17,0.7575757575757576
"org.jfree.chart.renderer.category.StatisticalBarRenderer",343,12,8,62,28,14,14,22,3,0.9090909090909091
"org.jfree.data.xy.XYSeriesCollectionTest",342,18,18,18,13,5,0,7,1,1.0
"org.jfree.chart.plot.RingPlot",340,30,26,65,33,13,6,24,12,0.8275862068965517
"org.jfree.data.time.TimeSeriesCollection",337,38,37,72,22,11,19,22,4,0.9594594594594594
"org.jfree.chart.renderer.xy.StackedXYAreaRenderer",335,24,21,68,33,18,9,26,7,0.8695652173913043
"org.jfree.chart.plot.dial.DialValueIndicator",328,40,37,60,28,9,6,19,16,0.8076923076923077
"org.jfree.data.time.WeekTest",328,25,25,25,12,1,0,1,4,0.9375
"org.jfree.chart.renderer.xy.StackedXYAreaRenderer2",325,12,9,46,20,12,10,21,2,0.9545454545454546
"org.jfree.data.gantt.TaskSeriesCollection",321,38,37,64,11,6,23,14,3,0.972972972972973
"org.jfree.chart.title.LegendGraphic",320,38,35,60,24,12,8,18,15,0.8108108108108109
"org.jfree.data.DefaultKeyedValuesTest",316,18,18,18,9,2,0,4,0,0.0
"org.jfree.chart.JFreeChartTest",311,15,15,15,31,15,0,18,2,0.9642857142857143
"org.jfree.data.time.TimeSeriesCollectionTest",307,13,12,13,17,4,0,6,1,1.0
"org.jfree.data.category.DefaultIntervalCategoryDatasetTest",306,20,20,20,8,3,0,3,0,0.0
"org.jfree.chart.util.ShapeUtils",303,22,21,63,13,0,29,5,1,1.0
"org.jfree.chart.plot.CombinedRangeCategoryPlot",300,20,17,62,22,13,3,18,4,0.9210526315789473
"org.jfree.chart.plot.Crosshair",298,40,38,57,20,8,11,11,16,0.8076923076923077
"org.jfree.data.xy.DefaultTableXYDataset",296,36,34,69,13,9,28,18,5,0.9428571428571428
"org.jfree.data.statistics.StatisticsTest",296,12,12,12,7,0,0,3,1,1.0
"org.jfree.chart.renderer.xy.XYStepAreaRenderer",293,20,19,69,19,11,9,19,11,0.7368421052631579
"org.jfree.chart.renderer.category.StackedAreaRenderer",284,11,8,42,17,10,9,20,2,0.95
"org.jfree.data.gantt.SlidingGanttCategoryDataset",283,33,32,63,6,4,5,9,3,0.96875
"org.jfree.data.time.Week",283,24,21,55,6,1,43,6,7,0.8695652173913043
"org.jfree.chart.plot.dial.DialPointer",279,34,28,47,19,5,2,14,9,0.8787878787878788
"org.jfree.chart.annotations.XYTextAnnotation",278,31,29,50,26,11,19,19,18,0.75
"org.jfree.chart.plot.DefaultDrawingSupplier",276,17,12,44,17,4,22,9,19,0.4375
"org.jfree.chart.renderer.xy.XYShapeRenderer",272,25,22,54,31,17,6,25,8,0.8541666666666666
"org.jfree.chart.renderer.category.ScatterRenderer",270,24,22,55,24,12,8,18,7,0.8695652173913043
"org.jfree.chart.renderer.category.StatisticalLineAndShapeRenderer",270,12,10,48,26,14,11,20,3,0.9090909090909091
"org.jfree.chart.renderer.category.MinMaxCategoryRenderer",268,25,21,37,27,9,9,14,10,0.8958333333333334
"org.jfree.chart.renderer.category.LayeredBarRenderer",268,7,4,56,16,8,8,14,2,0.9166666666666666
"org.jfree.data.time.QuarterTest",266,24,24,24,12,1,0,1,4,0.9347826086956522
"org.jfree.data.KeyedObjects2DTest",266,11,11,11,7,2,0,2,0,0.0
"org.jfree.data.jdbc.JDBCXYDataset",263,18,17,67,15,6,0,14,6,0.8529411764705882
"org.jfree.chart.plot.PolarPlotTest",262,8,8,8,23,12,0,12,0,0.0
"org.jfree.chart.block.AbstractBlock",261,38,24,55,15,8,6,13,8,0.9054054054054054
"org.jfree.chart.renderer.category.WaterfallBarRenderer",261,15,13,45,25,13,9,18,5,0.8571428571428571
"org.jfree.chart.plot.Marker",260,37,32,58,21,7,10,10,15,0.8055555555555556
"org.jfree.chart.renderer.xy.XYSplineRenderer",259,14,12,49,19,9,7,17,6,0.8076923076923077
"org.jfree.chart.LegendItemTest",259,4,4,4,16,2,0,2,0,0.0
"org.jfree.chart.renderer.xy.XYBlockRenderer",258,19,18,50,20,14,12,22,8,0.8055555555555556
"org.jfree.data.time.TimePeriodValues",257,27,25,53,8,5,23,11,12,0.7884615384615384
"org.jfree.chart.renderer.xy.CyclicXYItemRenderer",257,19,19,69,14,10,0,15,3,0.9444444444444444
"org.jfree.data.DefaultKeyedValues2D",255,23,23,57,7,3,24,10,5,0.9090909090909091
"org.jfree.chart.ChartUtils",253,29,29,33,19,9,0,12,0,0.0
"org.jfree.chart.ui.RectangleInsets",253,29,29,61,3,0,61,3,7,0.8928571428571429
"org.jfree.data.time.MonthTest",250,23,23,23,14,3,0,3,4,0.9318181818181818
"org.jfree.data.category.DefaultCategoryDatasetTest",250,14,14,14,8,3,0,3,1,1.0
"org.jfree.chart.annotations.XYPointerAnnotation",249,23,21,38,26,11,9,20,14,0.7045454545454546
"org.jfree.data.KeyedObjects2D",249,22,22,57,6,1,16,7,4,0.9285714285714286
"org.jfree.chart.plot.MarkerTest",247,15,15,15,16,3,0,5,2,0.9642857142857143
"org.jfree.chart.block.GridArrangement",246,14,5,51,6,1,17,4,3,0.9230769230769231
"org.jfree.chart.renderer.xy.HighLowRenderer",243,17,15,51,25,13,9,21,6,0.84375
"org.jfree.data.statistics.DefaultBoxAndWhiskerXYDataset",240,28,28,49,9,5,9,12,8,0.8703703703703703
"org.jfree.data.time.YearTest",239,22,22,22,11,1,0,1,0,0.0
"org.jfree.chart.axis.SubCategoryAxis",239,14,10,41,22,8,8,15,4,0.8846153846153846
"org.jfree.chart.annotations.CategoryPointerAnnotation",238,23,21,35,26,12,9,21,14,0.7045454545454546
"org.jfree.data.statistics.Statistics",237,13,13,47,6,1,0,5,0,0.0
"org.jfree.chart.block.FlowArrangement",236,14,6,46,8,1,16,4,5,0.8461538461538461
"org.jfree.chart.plot.WaferMapPlot",236,13,10,33,21,9,2,15,10,0.7083333333333334
"org.jfree.chart.renderer.xy.StackedXYBarRenderer",234,10,10,51,19,13,9,19,2,0.9444444444444444
"org.jfree.data.time.Month",233,23,21,48,7,2,97,5,5,0.9090909090909091
"org.jfree.chart.renderer.xy.XYAreaRenderer2",233,12,10,32,27,16,10,25,3,0.9090909090909091
"org.jfree.chart.renderer.RendererUtilsTest",233,11,11,7,6,3,0,3,0,0.0
"org.jfree.chart.renderer.xy.XYBarRendererTest",233,11,11,11,24,17,0,17,1,1.0
"org.jfree.chart.editor.DefaultValueAxisEditor",232,19,12,33,21,7,2,17,12,0.6944444444444444
"org.jfree.data.time.TimeTableXYDataset",230,33,32,52,14,9,9,17,4,0.953125
"org.jfree.data.time.DayTest",229,22,22,23,14,2,0,3,0,0.0
"org.jfree.chart.plot.SpiderWebPlotTest",229,5,5,5,25,9,0,10,0,0.0
"org.jfree.chart.util.RelativeDateFormat",228,28,28,48,7,0,8,3,14,0.7751322751322752
"org.jfree.chart.plot.dial.ArcDialFrame",228,25,22,36,20,5,9,14,8,0.8541666666666666
"org.jfree.chart.editor.DefaultAxisEditor",227,17,15,28,25,9,2,15,15,0.5625
"org.jfree.data.KeyedObjectsTest",225,10,10,10,8,3,0,3,0,0.0
"org.jfree.data.time.HourTest",223,22,22,22,12,2,0,2,0,0.0
"org.jfree.data.statistics.Regression",223,6,5,37,2,2,0,6,0,0.0
"org.jfree.data.xy.DefaultIntervalXYDatasetTest",222,17,17,17,7,3,0,4,1,1.0
"org.jfree.chart.renderer.category.LevelRenderer",222,13,10,36,19,10,9,18,4,0.875
"org.jfree.data.RangeTest",220,13,13,13,7,1,0,2,1,1.0
"org.jfree.chart.axis.NumberAxisTest",220,12,12,12,19,10,0,10,1,1.0
"org.jfree.chart.renderer.category.AbstractCategoryItemRendererTest",220,11,11,11,18,9,0,9,0,0.0
"org.jfree.data.time.TimePeriodValuesTest",219,17,17,17,11,5,0,7,5,0.875
"org.jfree.chart.renderer.category.GroupedStackedBarRenderer",218,7,5,39,17,12,7,20,2,0.9166666666666666
"org.jfree.chart.axis.CategoryLabelPositions",217,11,11,21,6,1,21,2,10,0.75
"org.jfree.data.time.MillisecondTest",216,18,18,18,12,2,0,2,0,0.0
"org.jfree.chart.renderer.category.StackedBarRenderer",216,9,8,45,19,12,10,19,2,0.9375
"org.jfree.chart.axis.ModuloAxis",215,17,10,40,4,2,6,6,3,0.9375
"org.jfree.chart.renderer.category.GradientBarPainter",215,9,6,34,10,1,18,4,3,0.875
"org.jfree.data.statistics.HistogramDataset",214,22,18,45,12,6,11,14,3,0.9523809523809523
"org.jfree.chart.renderer.xy.GradientXYBarPainter",214,9,6,34,10,1,17,4,3,0.875
"org.jfree.chart.renderer.xy.XYErrorRenderer",213,17,15,37,21,11,11,14,6,0.84375
"org.jfree.data.DefaultKeyedValues2DTest",213,14,14,14,7,2,0,2,1,1.0
"org.jfree.data.time.TimePeriodValuesCollection",211,23,22,42,11,6,7,10,3,0.9545454545454546
"org.jfree.chart.annotations.XYTitleAnnotation",210,15,15,37,24,15,13,20,8,0.75
"org.jfree.chart.block.ColumnArrangement",210,11,6,42,8,1,15,4,5,0.8
"org.jfree.data.time.MinuteTest",209,18,18,18,12,2,0,2,0,0.0
"org.jfree.chart.renderer.xy.VectorRenderer",207,6,6,30,16,10,7,18,2,0.9
"org.jfree.chart.text.TextBox",205,25,23,48,16,4,3,7,9,0.8333333333333334
"org.jfree.chart.ChartPanelTest",205,17,17,17,15,5,0,7,1,1.0625
"org.jfree.chart.renderer.WaferMapRenderer",204,15,8,44,15,5,2,12,7,0.7857142857142857
"org.jfree.data.gantt.XYTaskDataset",203,31,25,44,10,8,4,14,3,0.9666666666666667
"org.jfree.data.DefaultKeyedValues",203,22,21,44,10,2,26,11,4,0.9285714285714286
"org.jfree.data.ComparableObjectSeries",201,20,12,49,9,5,8,9,4,0.9210526315789473
"org.jfree.data.time.SecondTest",200,17,17,17,12,2,0,2,0,0.0
"org.jfree.data.time.Minute",197,21,21,37,6,1,39,6,8,0.825
"org.jfree.data.xy.DefaultIntervalXYDataset",197,20,20,38,6,3,12,10,2,0.9736842105263158
"org.jfree.data.Range",196,23,20,52,2,1,179,4,3,0.9545454545454546
"org.jfree.data.statistics.DefaultMultiValueCategoryDataset",196,20,20,44,11,7,11,16,4,0.9210526315789473
