"type","dep","i-dep","fan-in","fan-out"
"org.jfree.chart.renderer.xy.XYShapeRenderer",31,17,6,25
"org.jfree.chart.renderer.category.ScatterRenderer",24,12,8,18
"org.jfree.chart.renderer.category.StatisticalLineAndShapeRenderer",26,14,11,20
"org.jfree.chart.renderer.category.MinMaxCategoryRenderer",27,9,9,14
"org.jfree.chart.renderer.category.LayeredBarRenderer",16,8,8,14
"org.jfree.data.time.QuarterTest",12,1,0,1
"org.jfree.data.KeyedObjects2DTest",7,2,0,2
"org.jfree.data.jdbc.JDBCXYDataset",15,6,0,14
"org.jfree.chart.plot.PolarPlotTest",23,12,0,12
"org.jfree.chart.block.AbstractBlock",15,8,6,13
"org.jfree.chart.renderer.category.WaterfallBarRenderer",25,13,9,18
"org.jfree.chart.plot.Marker",21,7,10,10
"org.jfree.chart.renderer.xy.XYSplineRenderer",19,9,7,17
"org.jfree.chart.LegendItemTest",16,2,0,2
"org.jfree.chart.renderer.xy.XYBlockRenderer",20,14,12,22
"org.jfree.data.time.TimePeriodValues",8,5,23,11
"org.jfree.chart.renderer.xy.CyclicXYItemRenderer",14,10,0,15
"org.jfree.data.DefaultKeyedValues2D",7,3,24,10
"org.jfree.chart.ChartUtils",19,9,0,12
"org.jfree.chart.ui.RectangleInsets",3,0,61,3
"org.jfree.data.time.MonthTest",14,3,0,3
"org.jfree.data.category.DefaultCategoryDatasetTest",8,3,0,3
"org.jfree.chart.annotations.XYPointerAnnotation",26,11,9,20
"org.jfree.data.KeyedObjects2D",6,1,16,7
"org.jfree.chart.plot.MarkerTest",16,3,0,5
"org.jfree.chart.block.GridArrangement",6,1,17,4
"org.jfree.chart.renderer.xy.HighLowRenderer",25,13,9,21
"org.jfree.data.statistics.DefaultBoxAndWhiskerXYDataset",9,5,9,12
"org.jfree.data.time.YearTest",11,1,0,1
"org.jfree.chart.axis.SubCategoryAxis",22,8,8,15
"org.jfree.chart.annotations.CategoryPointerAnnotation",26,12,9,21
"org.jfree.data.statistics.Statistics",6,1,0,5
"org.jfree.chart.block.FlowArrangement",8,1,16,4
"org.jfree.chart.plot.WaferMapPlot",21,9,2,15
"org.jfree.chart.renderer.xy.StackedXYBarRenderer",19,13,9,19
"org.jfree.data.time.Month",7,2,97,5
"org.jfree.chart.renderer.xy.XYAreaRenderer2",27,16,10,25
"org.jfree.chart.renderer.RendererUtilsTest",6,3,0,3
"org.jfree.chart.renderer.xy.XYBarRendererTest",24,17,0,17
"org.jfree.chart.editor.DefaultValueAxisEditor",21,7,2,17
"org.jfree.data.time.TimeTableXYDataset",14,9,9,17
"org.jfree.data.time.DayTest",14,2,0,3
"org.jfree.chart.plot.SpiderWebPlotTest",25,9,0,10
"org.jfree.chart.util.RelativeDateFormat",7,0,8,3
"org.jfree.chart.plot.dial.ArcDialFrame",20,5,9,14
"org.jfree.chart.editor.DefaultAxisEditor",25,9,2,15
"org.jfree.data.KeyedObjectsTest",8,3,0,3
"org.jfree.data.time.HourTest",12,2,0,2
"org.jfree.data.statistics.Regression",2,2,0,6
"org.jfree.data.xy.DefaultIntervalXYDatasetTest",7,3,0,4
"org.jfree.chart.renderer.category.LevelRenderer",19,10,9,18
"org.jfree.data.RangeTest",7,1,0,2
"org.jfree.chart.axis.NumberAxisTest",19,10,0,10
"org.jfree.chart.renderer.category.AbstractCategoryItemRendererTest",18,9,0,9
"org.jfree.data.time.TimePeriodValuesTest",11,5,0,7
"org.jfree.chart.renderer.category.GroupedStackedBarRenderer",17,12,7,20
"org.jfree.chart.axis.CategoryLabelPositions",6,1,21,2
"org.jfree.data.time.MillisecondTest",12,2,0,2
"org.jfree.chart.renderer.category.StackedBarRenderer",19,12,10,19
"org.jfree.chart.axis.ModuloAxis",4,2,6,6
"org.jfree.chart.renderer.category.GradientBarPainter",10,1,18,4
"org.jfree.data.statistics.HistogramDataset",12,6,11,14
"org.jfree.chart.renderer.xy.GradientXYBarPainter",10,1,17,4
"org.jfree.chart.renderer.xy.XYErrorRenderer",21,11,11,14
"org.jfree.data.DefaultKeyedValues2DTest",7,2,0,2
"org.jfree.data.time.TimePeriodValuesCollection",11,6,7,10
"org.jfree.chart.annotations.XYTitleAnnotation",24,15,13,20
"org.jfree.chart.block.ColumnArrangement",8,1,15,4
"org.jfree.data.time.MinuteTest",12,2,0,2
"org.jfree.chart.renderer.xy.VectorRenderer",16,10,7,18
"org.jfree.chart.text.TextBox",16,4,3,7
"org.jfree.chart.ChartPanelTest",15,5,0,7
"org.jfree.chart.renderer.WaferMapRenderer",15,5,2,12
"org.jfree.data.gantt.XYTaskDataset",10,8,4,14
"org.jfree.data.DefaultKeyedValues",10,2,26,11
"org.jfree.data.ComparableObjectSeries",9,5,8,9
"org.jfree.data.time.SecondTest",12,2,0,2
"org.jfree.data.time.Minute",6,1,39,6
"org.jfree.data.xy.DefaultIntervalXYDataset",6,3,12,10
"org.jfree.data.Range",2,1,179,4
"org.jfree.data.statistics.DefaultMultiValueCategoryDataset",11,7,11,16
"org.jfree.chart.renderer.category.CategoryItemRenderer",23,16,15,17
"org.jfree.chart.annotations.CategoryLineAnnotation",25,12,8,20
"org.jfree.chart.renderer.xy.ClusteredXYBarRenderer",16,11,13,19
"org.jfree.data.time.Second",6,1,34,6
"org.jfree.data.general.TestIntervalCategoryDataset",7,5,9,13
"org.jfree.chart.renderer.xy.XYLineAndShapeRendererTest",20,13,0,13
"org.jfree.chart.renderer.category.AreaRenderer",19,9,11,17
"org.jfree.chart.renderer.xy.XYBubbleRenderer",17,9,12,17
"org.jfree.data.time.Quarter",7,2,38,6
"org.jfree.data.time.Hour",6,1,44,6
"org.jfree.chart.axis.AxisSpace",5,2,18,8
"org.jfree.data.statistics.SimpleHistogramDataset",13,6,6,12
"org.jfree.data.time.ohlc.OHLCSeriesCollection",11,8,10,12
"org.jfree.data.xy.DefaultWindDataset",7,2,6,10
"org.jfree.chart.renderer.xy.XYItemRenderer",25,17,37,18
"org.jfree.chart.renderer.category.BarRendererTest",23,13,0,13
