"type","dep","i-dep","fan-in","fan-out"
"br.com.trevisantecnologia.umov.watcher.io.ImporterFileSorter",4,0,1,5
"br.com.trevisantecnologia.umov.watcher.model.Sms",3,0,3,0
"br.com.trevisantecnologia.umov.watcher.model.ServiceLocalItem",8,0,4,1
"br.com.trevisantecnologia.umov.watcher.model.ScheduleActivity",9,0,5,0
"br.com.trevisantecnologia.umov.watcher.model.SectionField",7,0,2,0
"br.com.trevisantecnologia.umov.watcher.log.LogManager",2,0,4,3
"br.com.trevisantecnologia.umov.watcher.dao.impl.FilterDAO",1,1,2,4
"br.com.trevisantecnologia.umov.watcher.task.schedule.notification.ScheduleNotificationTask",14,7,1,10
"br.com.trevisantecnologia.umov.watcher.model.schedule.notification.smartpush.notification.param.APS",2,2,1,4
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.domain.TasksFinisherFactory",10,8,1,9
"br.com.trevisantecnologia.umov.watcher.model.ServiceLocal",3,0,4,1
"br.com.trevisantecnologia.umov.watcher.task.FeederTask",15,3,1,6
"br.com.trevisantecnologia.umov.watcher.feeder.domain.model.FeedFieldRule",0,0,3,3
"br.com.trevisantecnologia.umov.watcher.model.ActivityHistoryPhoto",6,0,2,0
"br.com.trevisantecnologia.umov.watcher.model.Recipients",5,0,2,1
"br.com.trevisantecnologia.umov.watcher.mapping.EntityMailMapper",9,7,3,10
"br.com.trevisantecnologia.umov.watcher.task.ScheduleExportTask",15,4,1,8
"br.com.trevisantecnologia.umov.watcher.eca.adapter.impl.InternalConnector",13,1,1,4
"br.com.trevisantecnologia.umov.watcher.model.schedule.notification.smartpush.notification.Notification",4,4,3,6
"br.com.trevisantecnologia.umov.watcher.http.UmovCenterAdapter",9,3,1,5
"br.com.trevisantecnologia.umov.watcher.task.ScheduleImportTask",14,4,1,8
"br.com.trevisantecnologia.umov.watcher.service.CustomFieldService",12,10,1,14
"br.com.trevisantecnologia.umov.watcher.dao.impl.CustomFieldValueDaoImpl",9,5,4,7
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.domain.TasksFinisher",8,6,1,8
"br.com.trevisantecnologia.umov.watcher.task.ScheduleImageImportTask",13,5,1,9
"br.com.trevisantecnologia.umov.watcher.task.AnalyzeOverdueScheduleTask",12,6,1,10
"br.com.trevisantecnologia.umov.watcher.builder.ScheduleReportSmsBuilder",6,3,1,5
"br.com.trevisantecnologia.umov.watcher.feeder.domain.builder.ServiceLocalItemBuilder",11,7,0,9
"br.com.trevisantecnologia.umov.watcher.model.ExportLayoutActivity",6,0,2,0
"br.com.trevisantecnologia.umov.watcher.service.AbstractService",6,4,11,8
"br.com.trevisantecnologia.umov.watcher.model.Section",6,0,3,0
"br.com.trevisantecnologia.umov.watcher.eca.action.schedule.notification.smartpush.SmartPushTranslator",8,4,2,7
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.domain.actions.ActionHandler",9,5,3,7
"br.com.trevisantecnologia.umov.watcher.feeder.domain.builder.criteria.FeedCriteriaCustomFieldService",12,7,0,11
"br.com.trevisantecnologia.umov.watcher.ioc.guice.WatcherInjectionModule",14,4,1,7
"br.com.trevisantecnologia.umov.watcher.feeder.domain.builder.EntryFillerService",10,8,0,13
"br.com.trevisantecnologia.umov.watcher.model.Entity",1,0,15,0
"br.com.trevisantecnologia.umov.watcher.feeder.aplication.EntityFeederRuleMappingService",11,5,0,6
"br.com.trevisantecnologia.umov.watcher.log.LogAppender",1,0,1,0
"br.com.trevisantecnologia.umov.watcher.feeder.domain.model.FeedOperation",2,0,0,1
"br.com.trevisantecnologia.umov.watcher.eca.connector.task.ScheduleAutoFinishService",9,3,0,5
"br.com.trevisantecnologia.umov.watcher.eca.connector.task.ScheduleAutoCancelService",9,3,0,5
"br.com.trevisantecnologia.umov.watcher.feeder.domain.port.ServiceDependencyFactory",7,6,6,6
"br.com.trevisantecnologia.umov.watcher.model.ApiCallback",3,0,2,2
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.domain.model.TaskFinalized",3,1,8,3
"br.com.trevisantecnologia.umov.watcher.cache.ImportCacheManager",3,0,2,3
"br.com.trevisantecnologia.umov.watcher.service.WatcherEventService",8,2,3,5
"br.com.trevisantecnologia.umov.watcher.feeder.oldway.FeederStrategy",7,2,3,7
"br.com.trevisantecnologia.umov.watcher.feeder.domain.builder.criteria.FeedWhere",3,0,6,1
"br.com.trevisantecnologia.umov.watcher.service.CustomEntityEntryService",11,8,1,10
"br.com.trevisantecnologia.umov.watcher.model.schedule.notification.smartpush.notification.param.ParamIOS",2,2,1,4
"br.com.trevisantecnologia.umov.watcher.model.schedule.notification.smartpush.notification.NotificationFactory",7,2,1,4
"br.com.trevisantecnologia.umov.watcher.dao.impl.ScheduleImportDaoImpl",10,4,2,7
"br.com.trevisantecnologia.umov.watcher.feeder.domain.Feeder",12,6,1,6
"br.com.trevisantecnologia.umov.watcher.model.schedule.notification.smartpush.notification.param.ParamAndroid",1,1,1,4
"br.com.trevisantecnologia.umov.watcher.feeder.domain.operations.Operation",6,5,5,6
"br.com.trevisantecnologia.umov.watcher.serialize.ConditionConverter",6,1,1,4
"br.com.trevisantecnologia.umov.watcher.service.ItemService",8,5,1,6
"br.com.trevisantecnologia.umov.watcher.serialize.ScheduleConverter",7,2,1,4
"br.com.trevisantecnologia.umov.watcher.http.HttpUtil",6,0,1,3
"br.com.trevisantecnologia.umov.watcher.feeder.domain.operations.OperationFactory",3,1,1,2
"br.com.trevisantecnologia.umov.watcher.model.SubGroup",3,0,1,0
"br.com.trevisantecnologia.umov.watcher.task.SendMailTask",7,5,1,7
"br.com.trevisantecnologia.umov.watcher.service.ServiceLocalItemService",10,8,1,10
"br.com.trevisantecnologia.umov.watcher.serialize.JodaDateTimeConverter",9,0,1,3
"br.com.trevisantecnologia.umov.watcher.service.ClientService",7,4,1,6
"br.com.trevisantecnologia.umov.watcher.dao.impl.ScheduleExportDaoImpl",9,3,2,8
"br.com.trevisantecnologia.umov.watcher.dao.impl.ClientDaoImpl",5,3,1,7
"br.com.trevisantecnologia.umov.watcher.task.SendTaskFactory",5,3,0,4
"br.com.trevisantecnologia.umov.watcher.serialize.MailConverter",7,2,1,6
"br.com.trevisantecnologia.umov.watcher.eca.action.manager.impl.ActionManagerImpl",8,2,1,3
"br.com.trevisantecnologia.umov.watcher.feeder.domain.builder.ServiceLocalBuilder",6,4,0,6
"br.com.trevisantecnologia.umov.watcher.ioc.guice.HibernateSessionProvider",10,3,0,5
"br.com.trevisantecnologia.umov.watcher.feeder.aplication.FeederService",7,5,1,6
"br.com.trevisantecnologia.umov.watcher.mapping.EntityMapperFactory",4,2,1,3
"br.com.trevisantecnologia.umov.watcher.dao.impl.CustomEntityEntryDaoImpl",9,4,1,8
"br.com.trevisantecnologia.umov.watcher.interceptor.TransactionAnnotationInterceptor",6,0,1,1
"br.com.trevisantecnologia.umov.watcher.service.ActivityHistoryService",7,4,2,4
"br.com.trevisantecnologia.umov.watcher.model.schedule.notification.smartpush.filter.RulesFactory",5,2,1,4
"br.com.trevisantecnologia.umov.watcher.io.ImporterFileFilter",3,0,1,3
"br.com.trevisantecnologia.umov.watcher.monitor.FeederMonitor",5,2,1,3
"br.com.trevisantecnologia.umov.watcher.mapping.AbstractEntityMapper",5,3,4,5
"br.com.trevisantecnologia.umov.watcher.serialize.ActivityConverter",6,1,1,5
"br.com.trevisantecnologia.umov.watcher.service.ConnectorService",6,3,2,4
"br.com.trevisantecnologia.umov.watcher.serialize.EntityConverter",2,1,4,2
"br.com.trevisantecnologia.umov.watcher.model.ScheduleGPSContext",1,0,5,0
"br.com.trevisantecnologia.umov.watcher.model.Authentication",1,0,1,0
"br.com.trevisantecnologia.umov.watcher.serialize.BodyConverter",7,1,1,4
"br.com.trevisantecnologia.umov.watcher.serialize.SmsConverter",7,1,1,4
"br.com.trevisantecnologia.umov.watcher.serialize.SubjectConverter",7,1,1,4
"br.com.trevisantecnologia.umov.watcher.service.CustomEntityService",7,6,1,10
"br.com.trevisantecnologia.umov.watcher.interceptor.TransactionInterceptor",5,0,1,1
"br.com.trevisantecnologia.umov.watcher.feeder.domain.model.FeedCriteria",0,0,4,1
"br.com.trevisantecnologia.umov.watcher.validators.ScheduleImageImportValidator",3,2,1,4
"br.com.trevisantecnologia.umov.watcher.model.Partner",3,0,0,0
"br.com.trevisantecnologia.umov.watcher.monitor.schedule.notification.ScheduleNotificationMonitor",6,3,1,4
"br.com.trevisantecnologia.umov.watcher.feeder.domain.operations.InsertOrUpdate",3,2,0,4
"br.com.trevisantecnologia.umov.watcher.eca.action.schedule.notification.TranslatorFactory",6,5,1,6
"br.com.trevisantecnologia.umov.watcher.dao.impl.ItemDaoImpl",7,3,1,5
"br.com.trevisantecnologia.umov.watcher.mapping.ActivityConditionMapper",2,2,0,5
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.domain.InfrastructureFactory",3,2,3,2
"br.com.trevisantecnologia.umov.watcher.monitor.FinishScheduleBaseOnGPSMonitor",5,3,1,4
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.domain.model.FilterReturnFromField",1,1,1,3
"br.com.trevisantecnologia.umov.watcher.model.ScheduleSituation",3,0,3,0
"br.com.trevisantecnologia.umov.watcher.template.TemplateEngine",5,0,1,3
"br.com.trevisantecnologia.umov.watcher.builder.XStreamBuilder",2,0,0,0
"br.com.trevisantecnologia.umov.watcher.dao.impl.FilterCancel",1,1,0,3
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.domain.actions.Action",5,3,2,4
"br.com.trevisantecnologia.umov.watcher.service.ScheduleActivityService",5,4,1,6
"br.com.trevisantecnologia.umov.watcher.model.Body",3,0,4,1
"br.com.trevisantecnologia.umov.watcher.dao.impl.MediaDaoImpl",7,2,1,3
"br.com.trevisantecnologia.umov.watcher.feeder.oldway.FeederFactory",6,2,1,2
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.domain.actions.ActionFactory",4,3,2,3
"br.com.trevisantecnologia.umov.watcher.dao.impl.ServiceLocalItemDao",5,2,1,4
"br.com.trevisantecnologia.umov.watcher.io.FileChecksumGenerator",6,0,2,1
"br.com.trevisantecnologia.umov.watcher.dao.impl.ScheduleActivityDaoImpl",6,3,2,4
"br.com.trevisantecnologia.umov.watcher.model.schedule.notification.smartpush.filter.Filter",3,2,1,2
"br.com.trevisantecnologia.umov.watcher.monitor.ExportingMonitor",5,2,1,3
"br.com.trevisantecnologia.umov.watcher.monitor.AnalyzeOverdueScheduleMonitor",5,2,1,3
"br.com.trevisantecnologia.umov.watcher.monitor.SendReportScheduleExecutionMonitor",5,2,1,3
"br.com.trevisantecnologia.umov.watcher.monitor.ScheduleImageImportMonitor",5,2,1,3
"br.com.trevisantecnologia.umov.watcher.monitor.SchedulePhotoToUploadMonitor",5,2,1,3
"br.com.trevisantecnologia.umov.watcher.dao.impl.CustomFieldDaoImpl",6,2,3,3
"br.com.trevisantecnologia.umov.watcher.service.EntityFeederService",5,2,1,2
"br.com.trevisantecnologia.umov.watcher.dao.impl.FilterFactory",4,3,0,3
"br.com.trevisantecnologia.umov.watcher.model.RemoteChangePasswordResult",0,0,0,0
"br.com.trevisantecnologia.umov.watcher.model.SchedulePhotoUpload",0,0,1,0
"br.com.trevisantecnologia.umov.watcher.template.MailTemplateBuilder",3,0,0,0
"br.com.trevisantecnologia.umov.watcher.monitor.AnalyzeScheduleMonitor",4,2,1,3
"br.com.trevisantecnologia.umov.watcher.monitor.ApiCallbackMonitor",4,2,1,3
"br.com.trevisantecnologia.umov.watcher.monitor.ImportingMonitor",4,2,1,3
"br.com.trevisantecnologia.umov.watcher.service.EventService",5,3,0,4
"br.com.trevisantecnologia.umov.watcher.service.ScheduleNotificationService",5,3,1,4
"br.com.trevisantecnologia.umov.watcher.mapping.ActivityEntityMapper",3,3,0,4
"br.com.trevisantecnologia.umov.watcher.feeder.domain.builder.criteria.FeedCriteriaFactory",3,1,1,2
"br.com.trevisantecnologia.umov.watcher.model.schedule.notification.smartpush.notification.param.ParamFactory",3,2,1,2
"br.com.trevisantecnologia.umov.watcher.dao.impl.EventAnalyzeOverdueScheduleViewDaoImpl",5,4,1,6
"br.com.trevisantecnologia.umov.watcher.dao.impl.EventExportViewDaoImpl",5,4,1,6
"br.com.trevisantecnologia.umov.watcher.dao.impl.EventImportViewDaoImpl",5,4,1,6
"br.com.trevisantecnologia.umov.watcher.mapping.ServiceLocalMapper",0,0,0,1
"br.com.trevisantecnologia.umov.watcher.mapping.ScheduleMapper",0,0,0,1
"br.com.trevisantecnologia.umov.watcher.mapping.AgentMapper",0,0,0,1
"br.com.trevisantecnologia.umov.watcher.feeder.domain.operations.handler.DeleteHandler",4,4,0,5
