"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa"
"br.com.trevisantecnologia.umov.watcher.model.CustomEntity",69,12,12,12,11,0,7,0,6
"br.com.trevisantecnologia.umov.watcher.eca.ContextBuilder",68,8,4,8,7,3,2,4,0
"br.com.trevisantecnologia.umov.watcher.monitor.Monitor",67,11,3,13,9,3,12,9,1
"br.com.trevisantecnologia.umov.watcher.task.FinishScheduleBaseOnGPSTask",67,9,1,15,12,8,1,11,3
"br.com.trevisantecnologia.umov.watcher.types.JSONFeedRuleMappingType",66,11,11,14,12,1,0,4,2
"br.com.trevisantecnologia.umov.watcher.dao.impl.AgentDaoImpl",66,2,2,5,7,4,3,8,4
"br.com.trevisantecnologia.umov.watcher.model.EventImportView",65,12,12,13,9,0,4,0,6
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.domain.model.Task",62,16,16,16,2,0,8,0,9
"br.com.trevisantecnologia.umov.watcher.model.EventExportView",62,12,12,12,8,0,4,0,6
"br.com.trevisantecnologia.umov.watcher.Watcher",61,5,2,7,17,14,2,17,2
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.domain.actions.FilterTasksToRun",60,6,1,15,10,2,0,4,0
"br.com.trevisantecnologia.umov.watcher.task.SchedulePhotoToUploadTask",60,2,1,5,14,4,1,8,2
"br.com.trevisantecnologia.umov.watcher.feeder.oldway.ScheduleFeeder",59,4,1,9,13,8,0,11,5
"br.com.trevisantecnologia.umov.watcher.dao.impl.EventDaoImpl",59,4,3,7,8,4,4,8,0
"br.com.trevisantecnologia.umov.watcher.model.RESTRequest",57,12,11,16,3,0,2,1,3
"br.com.trevisantecnologia.umov.watcher.io.ImporterFileSorter",57,7,2,2,4,0,1,5,0
"br.com.trevisantecnologia.umov.watcher.model.Sms",56,12,12,12,3,0,3,0,6
"br.com.trevisantecnologia.umov.watcher.model.ServiceLocalItem",55,10,10,10,8,0,4,1,4
"br.com.trevisantecnologia.umov.watcher.model.ScheduleActivity",55,10,10,10,9,0,5,0,4
"br.com.trevisantecnologia.umov.watcher.model.SectionField",55,10,10,10,7,0,2,0,5
"br.com.trevisantecnologia.umov.watcher.log.LogManager",55,8,6,10,2,0,4,3,1
"br.com.trevisantecnologia.umov.watcher.dao.impl.FilterDAO",55,7,3,9,1,1,2,4,0
"br.com.trevisantecnologia.umov.watcher.task.schedule.notification.ScheduleNotificationTask",55,3,1,7,14,7,1,10,4
"br.com.trevisantecnologia.umov.watcher.model.schedule.notification.smartpush.notification.param.APS",54,6,6,18,2,2,1,4,3
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.domain.TasksFinisherFactory",54,5,2,6,10,8,1,9,3
"br.com.trevisantecnologia.umov.watcher.model.ServiceLocal",53,12,12,12,3,0,4,1,5
"br.com.trevisantecnologia.umov.watcher.task.FeederTask",53,3,1,5,15,3,1,6,2
"br.com.trevisantecnologia.umov.watcher.feeder.domain.model.FeedFieldRule",52,13,13,16,0,0,3,3,6
"br.com.trevisantecnologia.umov.watcher.model.ActivityHistoryPhoto",52,10,10,11,6,0,2,0,5
"br.com.trevisantecnologia.umov.watcher.model.Recipients",52,10,9,15,5,0,2,1,2
"br.com.trevisantecnologia.umov.watcher.mapping.EntityMailMapper",51,10,3,11,9,7,3,10,3
