"method","loc","cyclo","calls","nbd","param"
"br.com.trevisantecnologia.umov.watcher.service.ConnectorService.getEntryParameterFreeFromConnector(ActionImpl action)",4,4,5,0,1
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.domain.model.ClientSettings.verify(Long scheduleSituationId, Event event, Long clientId)",3,4,0,0,3
"br.com.trevisantecnologia.umov.watcher.task.FeederTask.run()",23,3,16,3,0
"br.com.trevisantecnologia.umov.watcher.task.SendReportScheduleExecutionTask.run()",18,3,18,3,0
"br.com.trevisantecnologia.umov.watcher.eca.connector.task.ScheduleService.getEndDateTimeWithToleranceToCompare(LocalDate date, String time, Long tolerance)",14,3,7,3,3
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.domain.actions.FilterTasksToRun.getEndDateTimeWithToleranceToCompare(LocalDate date, String time, Long tolerance)",14,3,7,3,3
"br.com.trevisantecnologia.umov.watcher.builder.ScheduleReportMailBuilder.validateCondition()",9,3,9,3,0
"br.com.trevisantecnologia.umov.watcher.service.CustomFieldService.delete(List<EntityModel> entries, FeedRuleMapping feedRuleMapping)",9,3,7,3,2
"br.com.trevisantecnologia.umov.watcher.builder.ScheduleReportMailBuilder.handleRecipientList(List<Mail> recipients, ScheduleReportRequest request)",9,3,3,3,2
"br.com.trevisantecnologia.umov.watcher.builder.ScheduleReportMailBuilder.injectReportLink()",8,3,10,3,0
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.domain.actions.FilterTasksToRun.filter(List<Task> tasks, ClientSettings clientSettings)",7,3,2,3,2
"br.com.trevisantecnologia.umov.watcher.task.SendReportScheduleExecutionTask.updateScheduleMonitoringStatus(Schedule schedule, boolean isSuccess)",6,3,7,3,2
"br.com.trevisantecnologia.umov.watcher.service.CustomFieldService.buildCustomField(String toFieldId, Long clientId)",6,3,4,3,2
"br.com.trevisantecnologia.umov.watcher.eca.connector.task.ScheduleService.notify(Schedule schedule)",6,3,2,3,1
"br.com.trevisantecnologia.umov.watcher.eca.connector.task.ScheduleService.getDateStartEvent()",5,3,3,3,0
"br.com.trevisantecnologia.umov.watcher.task.SendReportScheduleExecutionTask.getFirstAction(Event event)",4,3,6,3,1
"br.com.trevisantecnologia.umov.watcher.dao.impl.ScheduleDaoImpl.appendFilterByNotCancel(AnalyzeScheduleContext context, StringBuilder sql)",16,3,13,2,2
"br.com.trevisantecnologia.umov.watcher.dao.impl.CustomFieldValueDaoImpl.findByCustomFieldAndEntity(CustomField customField, Long entityId)",14,3,23,2,2
"br.com.trevisantecnologia.umov.watcher.task.SendSmsTask.send(Schedule schedule, Event event)",14,3,15,2,2
"br.com.trevisantecnologia.umov.watcher.feeder.domain.model.FeedRuleMapping.getService()",12,3,7,2,0
"br.com.trevisantecnologia.umov.watcher.dao.impl.ScheduleDaoImpl.setValues(Schedule schedule, AnalyzeScheduleContext context, StringBuilder sql)",11,3,14,2,3
"br.com.trevisantecnologia.umov.watcher.dao.impl.CustomEntityEntryDaoImpl.find(List<FeedWhere> whereList, CustomEntity customEntity)",11,3,12,2,2
