"type","dep","i-dep","fan-in","fan-out"
"me.umov.analyzer.domain.core.WarningTest",11,3,0,3
"me.umov.analyzer.architecture.DomainTest",8,1,0,1
"me.umov.analyzer.domain.actions.RuleStrategyFactoryTest",8,1,0,1
"me.umov.analyzer.infrastructure.aws.ProducerService",5,3,12,6
"me.umov.analyzer.infrastructure.services.EntitySQSService",7,3,4,7
"me.umov.analyzer.fixture.SMSFixture",1,1,1,1
"me.umov.analyzer.domain.model.SendMessage",0,0,16,1
"me.umov.analyzer.infrastructure.configurations.RestConfiguration",6,0,0,1
"me.umov.analyzer.domain.validators.DistributionTaskValidatorTest",10,2,0,2
"me.umov.analyzer.infrastructure.serialization.LocalTimeSerializationAdapter",11,0,6,3
"me.umov.analyzer.domain.actions.ActionStrategy",7,3,4,4
"me.umov.analyzer.infrastructure.services.RuleRequestBuilderTest",10,2,0,2
"me.umov.analyzer.domain.events.SynchronismTimeoutWasExecuted",2,1,4,2
"me.umov.analyzer.domain.repository.ActionRepository",4,1,3,2
"me.umov.analyzer.fixture.ActionFixture",2,1,5,1
"me.umov.analyzer.fixture.ActionRuleFixture",2,1,6,1
"me.umov.analyzer.domain.model.ServiceLocal",3,0,2,0
"me.umov.analyzer.domain.model.Client",3,0,1,0
"me.umov.analyzer.infrastructure.serialization.LocalDateSerializationAdapter",9,0,6,3
"me.umov.analyzer.domain.actionRule.ActionRuleAnalyzer",6,3,0,4
"me.umov.analyzer.fixture.AttributeFixture",1,1,1,1
"me.umov.analyzer.domain.actions.RuleStrategyFactory",4,1,3,2
"me.umov.analyzer.architecture.GeneralTest",6,0,0,0
"me.umov.analyzer.domain.model.HttpCredentials",0,0,1,0
"me.umov.analyzer.fixture.NotificationMessageFixture",3,3,2,3
"me.umov.analyzer.fixture.ProcessHasBeenExecutedFixture",4,2,2,3
"me.umov.analyzer.application.controller.VersionControllerTest",7,0,0,0
"me.umov.analyzer.domain.excptions.AnalyzerException",2,0,11,3
"me.umov.analyzer.domain.core.Start",3,1,0,5
"me.umov.analyzer.fixture.RecipientsFixture",2,2,1,2
"me.umov.analyzer.fixture.RuleRequestFixture",2,1,3,1
"me.umov.analyzer.fixture.MessageAWSFixture",2,1,2,1
"me.umov.analyzer.infrastructure.configurations.JwtConfigurationTest",6,0,0,0
"me.umov.analyzer.infrastructure.configurations.RestConfigurationTest",6,0,0,0
"me.umov.analyzer.fixture.HistoryItemFixture",1,1,1,1
"me.umov.analyzer.fixture.HistoryFixture",1,1,1,1
"me.umov.analyzer.fixture.AgentFixture",1,1,1,1
"me.umov.analyzer.fixture.CallbackParametersFixture",1,1,1,1
"me.umov.analyzer.fixture.ServiceLocalFixture",1,1,1,1
"me.umov.analyzer.fixture.CallbackCredentialsFixture",1,1,2,1
"me.umov.analyzer.domain.events.DomainEventRegistry",4,1,9,2
"me.umov.analyzer.domain.validators.rules.TimeOnQueueRuleValidation",6,3,2,5
"me.umov.analyzer.domain.model.MessageAWS",1,0,10,0
"me.umov.analyzer.infrastructure.configurations.CounterConfigurationTest",5,0,0,0
"me.umov.analyzer.application.controller.VersionController",4,0,0,1
"me.umov.analyzer.infrastructure.xstreamadapter.EventSettingTranslator",6,4,0,5
"me.umov.analyzer.domain.repository.CustomFieldValueRepository",4,1,0,2
"me.umov.analyzer.architecture.ApplicationTest",7,1,0,1
"me.umov.analyzer.fixture.ResultProcessRuleFixture",2,1,3,1
"me.umov.analyzer.fixture.SystemParameterFixture",2,2,1,2
"me.umov.analyzer.fixture.SendMessageFixture",2,2,1,2
"me.umov.analyzer.application.dto.ResultDTO",0,0,1,0
"me.umov.analyzer.infrastructure.converters.LocalDateTimeAttributeConverter",4,0,3,1
"me.umov.analyzer.fixture.ClientFixture",1,1,1,1
"me.umov.analyzer.fixture.CustomFieldValueFixture",1,1,1,1
"me.umov.analyzer.fixture.TaskDistributionCompletedFixture",2,2,3,2
