"metric","1stQ","3rdQ","avg","median","min","max","max-min","stddev","u-fence","threshold"
"MLOC",2.0,8.0,8.052647563713192,3.0,0.0,762.0,762.0,14.532698572470458,17.0,30.0
"CYCLO",1.0,1.0,1.4040802852238214,1.0,1.0,99.0,98.0,1.5955824199453423,1.0,10.0
"CALLS",0.0,2.0,3.539561600422554,0.0,0.0,522.0,522.0,11.268239449961039,5.0,5.0
"NBD",0.0,2.0,1.3305163079360887,1.0,0.0,8.0,8.0,1.521747697408319,5.0,3.0
"PARAM",0.0,1.0,0.7572428363924468,0.0,0.0,19.0,19.0,1.1406047373357049,2.5,4.0
