"method","loc","cyclo","calls","nbd","param"
"org.hibernate.jpa.event.internal.CallbackBuilderLegacyImpl.resolveEntityCallbacks(XClass beanClass, CallbackType callbackType, ReflectionManager reflectionManager)",128,23,57,7,3
"org.hibernate.tool.schema.internal.AbstractSchemaMigrator.performMigration(Metadata metadata, DatabaseInformation existingDatabase, ExecutionOptions options, Dialect dialect, GenerationTarget... targets)",114,23,42,6,5
"org.hibernate.event.internal.DefaultRefreshEventListener.onRefresh(RefreshEvent event, Map refreshedAlready)",182,23,83,3,2
"org.hibernate.persister.entity.AbstractEntityPersister.generateUpdateString(final boolean[] includeProperty, final int j, final Object[] oldFields, final boolean useRowId)",95,22,40,8,4
"org.hibernate.boot.model.source.internal.hbm.ResultSetMappingBinder.extractPropertyResults(String alias, NativeQueryNonScalarRootReturn rtnSource, PersistentClass pc, HbmLocalMetadataBuildingContext context)",172,22,64,6,4
"org.hibernate.hql.internal.classic.QueryTranslatorImpl.renderSQL()",115,22,63,6,0
"org.hibernate.hql.internal.classic.QueryTranslatorImpl.renderScalarSelect()",93,22,40,6,0
"org.hibernate.engine.internal.StatefulPersistenceContext.serialize(ObjectOutputStream oos)",111,22,84,5,1
"org.hibernate.metamodel.internal.MetadataContext.wrapUp()",100,22,54,5,0
"org.hibernate.testing.jdbc.JdbcMocks$DatabaseMetaDataHandler.invoke(Object proxy, Method method, Object[] args)",89,22,27,2,3
"org.hibernate.test.cut.CompositeDateTime.equals(Object obj)",61,22,6,2,1
"org.hibernate.cfg.AnnotationBinder.addProperty(PropertyContainer propertyContainer, XProperty property, List<PropertyData> inFlightPropertyDataList, MetadataBuildingContext context)",107,21,57,8,4
"org.hibernate.persister.entity.AbstractEntityPersister.generateInsertString(boolean identityInsert, boolean[] includeProperty, int j)",90,21,37,8,3
"org.hibernate.persister.collection.OneToManyPersister.doUpdateRows(Serializable id, PersistentCollection collection, SharedSessionContractImplementor session)",160,21,77,7,3
"org.hibernate.loader.custom.sql.SQLQueryReturnProcessor.generateCustomReturns(boolean queryHadAliases)",169,21,75,5,1
"org.hibernate.jpa.boot.internal.EntityManagerFactoryBuilderImpl.mergeSettings(PersistenceUnitDescriptor persistenceUnit, Map<?,?> integrationSettings, StandardServiceRegistryBuilder ssrBuilder)",111,21,59,5,3
"org.hibernate.cfg.annotations.ResultsetMappingSecondPass.doSecondPass(Map persistentClasses)",142,21,82,4,1
"org.hibernate.hql.internal.classic.WhereParser.token(String token, QueryTranslatorImpl q)",89,21,29,4,2
"org.hibernate.persister.entity.AbstractEntityPersister.update(final Serializable id, final Object[] fields, int[] dirtyFields, final boolean hasDirtyCollection, final Object[] oldFields, final Object oldVersion, final Object object, final Object rowId, final SharedSessionContractImplementor session)",119,20,26,8,9
"org.hibernate.cfg.AnnotationBinder.getCascadeStrategy(javax.persistence.CascadeType[] ejbCascades, Cascade hibernateCascadeAnnotation, boolean orphanRemoval, boolean forcePersist)",64,20,31,8,4
"org.hibernate.jpa.boot.internal.PersistenceXmlParser.bindPersistenceUnit(ParsedPersistenceXmlDescriptor persistenceUnit, Element persistenceUnitElement)",70,20,59,6,2
"org.hibernate.metamodel.internal.MetamodelImpl.initialize(MetadataImplementor mappingMetadata, JpaMetaModelPopulationSetting jpaMetaModelPopulationSetting)",137,20,83,5,2
"org.hibernate.engine.internal.StatefulPersistenceContext.getOwnerId(String entityName, String propertyName, Object childEntity, Map mergeMap)",106,20,40,5,4
"org.hibernate.loader.Loader.initializeEntitiesAndCollections(final List hydratedObjects, final Object resultSetId, final SharedSessionContractImplementor session, final boolean readOnly, List<AfterLoadAction> afterLoadActions)",105,20,28,5,5
"org.hibernate.query.internal.QueryParameterBindingsImpl.expandListValuedParameters(String queryString, SharedSessionContractImplementor session)",152,20,62,4,2
"org.hibernate.event.internal.DefaultLoadEventListener.proxyOrLoad(final LoadEvent event, final EntityPersister persister, final EntityKey keyToLoad, final LoadEventListener.LoadType options)",109,20,42,4,4
"org.hibernate.hql.internal.ast.tree.IdentNode.resolve(boolean generateJoin, boolean implicitJoin, String classAlias, AST parent, AST parentPredicate)",77,20,52,4,5
"org.hibernate.hql.internal.ast.tree.BinaryArithmeticOperatorNode.resolveDataType()",53,20,7,4,0
"org.hibernate.hql.internal.ast.tree.InLogicOperatorNode.mutateRowValueConstructorSyntaxInInListSyntax(int lhsColumnSpan, int rhsColumnSpan)",93,20,37,3,2
"org.hibernate.cfg.Configuration.buildSessionFactory(ServiceRegistry serviceRegistry)",69,20,32,2,1
"org.hibernate.cfg.AnnotationBinder.fillComponent(PropertyHolder propertyHolder, PropertyData inferredData, PropertyData baseInferredData, AccessType propertyAccessor, boolean isNullable, EntityBinder entityBinder, boolean isComponentEmbedded, boolean isIdentifierMapper, boolean inSecondPass, MetadataBuildingContext buildingContext, Map<XClass,InheritanceState> inheritanceStatePerClass)",154,19,61,8,11
"org.hibernate.cfg.AnnotationBinder.bindManyToOne(String cascadeStrategy, Ejb3JoinColumn[] columns, boolean optional, boolean ignoreNotFound, boolean cascadeOnDelete, XClass targetEntity, PropertyHolder propertyHolder, PropertyData inferredData, boolean unique, boolean isIdentifierMapper, boolean inSecondPass, PropertyBinder propertyBinder, MetadataBuildingContext context)",115,19,66,8,13
"org.hibernate.cfg.annotations.CollectionBinder.bindFilters(boolean hasAssociationTable)",129,19,78,7,1
"org.hibernate.envers.configuration.internal.RevisionInfoConfiguration.configure(MetadataImplementor metadata, ReflectionManager reflectionManager)",142,19,50,4,2
"org.hibernate.cfg.annotations.SimpleValueBinder.fillSimpleValue()",106,19,51,4,0
"org.hibernate.envers.configuration.internal.RevisionInfoConfiguration.searchForRevisionInfoCfgInProperties(XClass clazz, ReflectionManager reflectionManager, MutableBoolean revisionNumberFound, MutableBoolean revisionTimestampFound, MutableBoolean modifiedEntityNamesFound, String accessType)",95,19,35,4,6
"org.hibernate.mapping.Table.sqlCreateString(Dialect dialect, Mapping p, String defaultCatalog, String defaultSchema)",93,19,76,4,4
