"from","to","number"
"org.hibernate.engine.spi.SessionFactoryImplementor","org.hibernate.persister.entity.EntityPersister",1
"org.hibernate.engine.spi.SessionFactoryImplementor","org.hibernate.type.Type",1
"org.hibernate.engine.spi.SessionImplementor","org.hibernate.jpa.spi.HibernateEntityManagerImplementor",1
"org.hibernate.engine.spi.SharedSessionContractImplementor","org.hibernate.persister.entity.EntityPersister",1
"org.hibernate.engine.transaction.internal.TransactionImpl","org.hibernate.internal.AbstractSharedSessionContract",1
"org.hibernate.envers.boot.internal.EnversService","org.hibernate.envers.configuration.internal.AuditEntitiesConfiguration",1
"org.hibernate.envers.boot.internal.EnversService","org.hibernate.envers.configuration.internal.GlobalConfiguration",1
"org.hibernate.envers.boot.internal.EnversService","org.hibernate.envers.strategy.AuditStrategy",1
"org.hibernate.envers.internal.entities.mapper.relation.ToOneEntityLoader","org.hibernate.envers.internal.entities.mapper.relation.lazy.ToOneDelegateSessionImplementor",1
"org.hibernate.hql.internal.ast.HqlSqlWalker","org.hibernate.hql.internal.ast.tree.EntityJoinFromElement",1
"org.hibernate.hql.internal.ast.HqlSqlWalker","org.hibernate.hql.internal.ast.util.JoinProcessor",1
"org.hibernate.hql.internal.ast.HqlSqlWalker","org.hibernate.hql.internal.ast.util.LiteralProcessor",1
"org.hibernate.hql.internal.ast.HqlSqlWalker","org.hibernate.hql.internal.ast.util.SyntheticAndFactory",1
"org.hibernate.hql.internal.ast.QueryTranslatorImpl","org.hibernate.loader.hql.QueryLoader",1
"org.hibernate.internal.FetchingScrollableResultsImpl","org.hibernate.loader.Loader",1
"org.hibernate.internal.FilterConfiguration","org.hibernate.mapping.PersistentClass",1
"org.hibernate.internal.ScrollableResultsImpl","org.hibernate.loader.Loader",1
"org.hibernate.internal.SessionFactoryImpl","org.hibernate.query.criteria.internal.CriteriaBuilderImpl",1
"org.hibernate.jpa.HibernatePersistenceProvider","org.hibernate.jpa.boot.spi.ProviderChecker",1
"org.hibernate.mapping.Component","org.hibernate.tuple.component.ComponentMetamodel",1
"org.hibernate.metamodel.internal.MetamodelImpl","org.hibernate.type.spi.TypeConfiguration",1
"org.hibernate.metamodel.spi.MetamodelImplementor","org.hibernate.type.spi.TypeConfiguration",1
"org.hibernate.persister.collection.CollectionPersister","org.hibernate.persister.walking.spi.CollectionDefinition",1
"org.hibernate.persister.collection.CollectionPersister","org.hibernate.type.CollectionType",1
"org.hibernate.persister.entity.AbstractEntityPersister","org.hibernate.persister.walking.internal.EntityIdentifierDefinitionHelper",1
"org.hibernate.persister.entity.EntityPersister","org.hibernate.persister.walking.spi.EntityDefinition",1
"org.hibernate.persister.entity.EntityPersister","org.hibernate.tuple.entity.EntityMetamodel",1
"org.hibernate.procedure.internal.ParameterBindImpl","org.hibernate.query.procedure.internal.ProcedureParamBindings",1
"org.hibernate.procedure.internal.ProcedureCallImpl","org.hibernate.query.procedure.internal.ProcedureParamBindings",1
"org.hibernate.procedure.internal.ProcedureCallImpl","org.hibernate.query.procedure.internal.ProcedureParameterImpl",1
"org.hibernate.procedure.internal.ProcedureCallImpl","org.hibernate.query.procedure.internal.ProcedureParameterMetadata",1
"org.hibernate.query.criteria.internal.CriteriaBuilderImpl","org.hibernate.query.criteria.internal.expression.BinaryArithmeticOperation",1
"org.hibernate.query.criteria.internal.CriteriaBuilderImpl","org.hibernate.query.criteria.internal.expression.CoalesceExpression",1
"org.hibernate.query.criteria.internal.CriteriaBuilderImpl","org.hibernate.query.criteria.internal.expression.CompoundSelectionImpl",1
"org.hibernate.query.criteria.internal.CriteriaBuilderImpl","org.hibernate.query.criteria.internal.expression.ConcatExpression",1
