"method","loc","cyclo","calls","nbd","param"
"com.trevisan.servletfotoumobile.dao.ConnectionAttributesDao.getAgentByParameterOfRequest(HttpServletRequest request)",12,2,4,1,1
"com.trevisan.servletfotoumobile.dao.ConnectionAttributesDao.getPhotoPart(HttpServletRequest request, ConnectionAttributes attributes)",11,2,3,1,2
"com.trevisan.servletfotoumobile.service.ResultService.getResultFormatFromRequest(HttpServletRequest request)",10,2,4,1,1
"com.trevisan.servletfotoumobile.model.Agent.parse(String login)",7,2,3,1,1
"com.trevisan.servletfotoumobile.dao.ConnectionAttributesDao.defineMediaType(HttpServletRequest request, ConnectionAttributes attributes)",6,2,4,1,2
"com.trevisan.servletfotoumobile.dao.ConnectionAttributesDao.defineExtension(HttpServletRequest request, ConnectionAttributes attributes)",6,2,3,1,2
"com.trevisan.servletfotoumobile.application.RequestLogFactory.get(String actionDescription, ConnectionAttributes connectionAttributes)",5,2,3,1,2
"com.trevisan.servletfotoumobile.database.query.QueriesFactory.getInstance()",5,2,0,1,0
"com.trevisan.servletfotoumobile.util.HttpUtils.defineSessionTimeout(HttpServletRequest request)",5,2,3,0,1
"com.trevisan.servletfotoumobile.model.Result.getSavedMediaId()",5,2,1,0,0
"com.trevisan.servletfotoumobile.model.Result.setBackMediaId(boolean isBackMediaId)",3,2,0,0,1
"com.trevisan.servletfotoumobile.database.DataBaseConnection.validateConnection()",16,1,9,3,0
"com.trevisan.servletfotoumobile.dao.TemporaryPhotoDao.TemporaryPhotoDao()",3,1,0,3,0
"com.trevisan.servletfotoumobile.database.DataBaseConnection.DataBaseConnection(Context context)",2,1,0,3,1
"com.trevisan.servletfotoumobile.database.DataBaseConnection.setContext(Context context)",2,1,0,3,1
"com.trevisan.servletfotoumobile.database.DataBaseConnection.DataBaseConnection()",1,1,0,3,0
"com.trevisan.servletfotoumobile.database.DataBaseConnection.getDataSourceName()",0,1,0,3,0
"com.trevisan.servletfotoumobile.application.MediaManager.MediaManager()",15,1,2,2,0
"com.trevisan.servletfotoumobile.application.MediaManager.insertTextLog(final Throwable throwable)",11,1,12,2,1
"com.trevisan.servletfotoumobile.application.MediaManager.saveMedia(Connection umovmeConnection, Connection mediaConnection, long historyId, byte[] photo)",10,1,3,2,4
"com.trevisan.servletfotoumobile.application.MediaManager.setFieldHistoryWithPicViewerLink(Connection connection, long fieldHistoryId, long clientId)",5,1,3,2,3
"com.trevisan.servletfotoumobile.application.MediaManager.logStartProcess(int actionType, String requestId)",4,1,7,2,2
"com.trevisan.servletfotoumobile.application.MediaManager.save(HttpServletRequest request, String requestId)",4,1,1,2,2
"com.trevisan.servletfotoumobile.application.MediaManager.closeDatabaseConnections()",3,1,2,2,0
"com.trevisan.servletfotoumobile.application.MediaManager.mergeMediaParts(HttpServletRequest request, String requestId)",2,1,1,2,2
"com.trevisan.servletfotoumobile.application.MediaManager.saveMediaPart(HttpServletRequest request, String requestId)",2,1,1,2,2
"com.trevisan.servletfotoumobile.application.MediaManager.loadConnectionAttributes(HttpServletRequest request)",2,1,1,2,1
"com.trevisan.servletfotoumobile.database.query.QueriesFactory.updatePicViewerLinkAtFieldHistory(final long fieldHistoryId, final String picViewerLink)",23,1,36,1,2
