"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa","lcom3"
"org.sonar.core.i18n.I18nClassloaderTest",54,8,6,9,10,1,0,3,2,0.9285714285714286
"org.sonar.core.platform.PluginJarExploderTest",52,5,4,3,7,0,0,3,1,1.25
"org.sonar.core.util.LineReaderIteratorTest",52,5,5,5,9,0,0,0,1,1.0
"org.sonar.core.config.Logback",51,5,2,7,12,0,0,4,0,0.0
"org.sonar.core.config.DebtProperties",50,2,0,2,6,0,0,0,0,0.0
"org.sonar.core.platform.ModuleTest",47,9,4,5,2,0,0,1,2,1.0
"org.sonar.core.i18n.I18nClassloader",47,6,4,9,8,2,3,7,1,1.0
"org.sonar.core.platform.ComponentKeysTest",47,6,6,6,7,0,0,0,2,1.0
"org.sonar.core.issue.tracking.LineHashSequence",45,7,7,11,6,1,3,2,2,0.9166666666666666
"org.sonar.core.platform.PlatformEditionProviderTest",45,3,3,3,8,0,0,0,1,1.0
"org.sonar.core.component.DefaultResourceTypes",43,2,1,2,6,0,0,0,2,0.5
"org.sonar.core.util.logs.Profiler",42,25,25,27,2,0,2,1,0,0.0
"org.sonar.core.util.ProgressLoggerTest",42,3,2,4,9,0,0,2,1,1.0
"org.sonar.core.extension.PlatformLevelPredicates",41,5,2,8,3,0,0,4,0,0.0
"org.sonar.core.metric.ScannerMetricsTest",40,5,4,5,7,0,0,2,1,1.0
"org.sonar.core.extension.CoreExtensionsLoader",40,4,3,5,7,1,1,9,3,0.6666666666666666
"org.sonar.core.component.ComponentKeys",39,6,5,8,4,0,0,4,5,0.96
"org.sonar.core.extension.CoreExtensionRepositoryImpl",39,5,4,5,7,0,1,2,2,0.875
"org.sonar.core.util.UuidFactoryFast",37,6,3,8,1,0,1,5,3,0.8666666666666666
"org.sonar.core.hash.SourceLineHashesComputer",34,5,4,6,9,0,4,3,2,0.875
"org.sonar.core.util.logs.ProfilerTest",34,3,3,3,6,0,0,0,1,1.5
"org.sonar.core.issue.tracking.LazyInput",31,5,3,8,2,0,0,2,3,0.75
"org.sonar.core.issue.tracking.BlockRecognizerTest",30,4,2,5,4,0,0,3,0,0.0
"org.sonar.core.util.logs.NullProfilerTest",29,2,2,2,2,0,0,0,1,1.0
"org.sonar.core.issue.tracking.FilteringBaseInputWrapper",28,4,4,4,4,0,2,3,2,0.8333333333333334
"org.sonar.core.hash.SourceHashComputerTest",27,4,3,4,4,0,0,2,1,1.3333333333333333
"org.sonar.core.util.UtcDateUtils",27,3,2,3,6,0,0,2,1,1.0
"org.sonar.core.hash.LineRangeTest",27,3,3,3,4,0,0,0,1,1.0
"org.sonar.core.platform.ComponentKeys",27,2,2,5,6,1,3,8,2,1.0
"org.sonar.core.util.LineReaderIterator",26,3,1,4,3,0,5,1,1,1.0
"org.sonar.core.util.NonNullInputFunctionTest",26,3,2,3,3,0,0,2,1,1.5
"org.sonar.core.extension.CoreExtension",25,8,6,8,6,0,0,1,0,0.0
"org.sonar.core.platform.EditionProvider",24,3,3,2,4,0,1,0,2,0.75
"org.sonar.core.platform.PluginJarExploder",24,3,1,5,6,0,1,1,1,1.0
"org.sonar.core.platform.ExplodedPlugin",22,4,4,4,2,0,2,0,3,0.6666666666666666
"org.sonar.core.platform.Module",22,3,1,6,2,0,0,1,1,1.0
"org.sonar.core.platform.PicoUtils",22,3,0,7,2,0,0,3,0,0.0
"org.sonar.core.platform.PlatformEditionProvider",22,3,3,4,3,0,0,1,2,1.0
"org.sonar.core.util.Uuids",22,3,2,3,0,0,2,0,11,0.0
"org.sonar.core.config.SecurityProperties",22,2,0,2,5,0,0,1,0,0.0
"org.sonar.core.issue.IssueChangeContextTest",22,2,2,2,3,0,0,0,0,0.0
"org.sonar.core.util.UuidsTest",22,2,2,3,5,0,0,1,0,0.0
"org.sonar.core.issue.tracking.NonClosedTracking",21,4,3,4,1,0,0,1,2,0.8333333333333334
"org.sonar.core.util.UtcDateUtilsTest",21,2,2,2,4,0,0,0,0,0.0
"org.sonar.core.util.SettingFormatterTest",20,3,3,3,2,0,0,0,0,0.0
"org.sonar.core.util.SettingFormatter",19,3,2,4,3,0,0,1,0,0.0
"org.sonar.core.config.CorePropertyDefinitionsTest",19,2,2,2,4,0,0,0,0,0.0
"org.sonar.core.i18n.I18n",18,8,8,8,5,0,1,1,0,0.0
"org.sonar.core.hash.LineRange",18,3,3,3,1,0,3,0,2,0.75
"org.sonar.core.extension.CoreExtensionTest",18,3,3,1,2,0,0,0,1,1.5
"org.sonar.core.platform.PluginClassLoaderDefTest",18,1,1,1,2,0,0,0,0,0.0
"org.sonar.core.util.MacAddressProviderTest",17,2,2,2,2,0,0,0,0,0.0
"org.sonar.core.issue.tracking.BlockHashSequenceTest",17,1,1,1,3,0,0,0,0,0.0
"org.sonar.core.issue.tracking.Trackable",16,6,6,6,4,1,2,1,0,0.0
"org.sonar.core.util.UuidFactoryFastTest",16,2,2,2,2,0,0,1,1,1.0
"org.sonar.core.util.UuidFactoryImplTest",16,2,2,2,2,0,0,1,1,1.0
"org.sonar.core.util.SlugTest",16,1,1,1,2,0,0,0,0,0.0
"org.sonar.core.platform.PluginRepository",15,4,4,4,5,0,4,0,0,0.0
"org.sonar.core.platform.RemotePluginFile",15,3,3,3,0,0,0,0,2,0.75
"org.sonar.core.hash.SourceHashComputer",15,2,2,3,4,0,1,1,1,1.0
"org.sonar.core.extension.ServiceLoaderWrapper",14,2,2,2,4,0,1,1,0,0.0
"org.sonar.core.extension.ExtensionProviderSupport",13,3,1,4,1,0,0,3,0,0.0
"org.sonar.core.component.DefaultResourceTypesTest",13,1,1,1,4,0,0,0,0,0.0
"org.sonar.core.platform.ContainerPopulator",12,5,5,5,1,0,0,0,0,0.0
"org.sonar.core.util.NonNullInputFunction",12,2,1,2,3,0,1,2,0,0.0
"org.sonar.plugins.dependent.DependentPlugin",12,2,2,2,4,1,0,2,0,0.0
"org.sonar.core.util.SequenceUuidFactoryTest",12,1,1,2,2,0,0,1,1,0.0
"org.sonar.core.config.PurgeConstants",11,0,0,1,0,0,0,0,8,0.0
"org.sonar.core.config.WebConstants",10,1,0,1,0,0,0,0,5,0.0
"org.sonar.core.issue.tracking.SimpleTracker",10,1,1,1,1,0,0,1,0,0.0
"org.sonar.core.extension.CoreExtensionRepository",9,4,4,4,2,0,1,0,0,0.0
"org.sonar.core.util.UuidGenerator",9,3,3,3,0,0,1,0,0,0.0
"org.sonar.core.util.SequenceUuidFactory",9,1,1,1,1,0,1,2,1,0.0
"org.sonar.core.config.PurgePropertiesTest",9,1,1,1,2,0,0,0,0,0.0
"org.sonar.plugins.base.BasePlugin",8,1,1,1,3,0,0,1,0,0.0
"org.sonar.core.issue.tracking.Input",7,3,3,3,1,0,3,0,0,0.0
"org.sonar.plugins.base.api.BaseApi",5,1,1,1,0,0,1,0,0,0.0
"org.sonar.core.util.UuidFactory",4,1,1,1,0,0,3,0,0,0.0
"com.sonarsource.plugins.license.api.FooBar",3,0,0,1,0,0,1,0,0,0.0
