"metric","1stQ","3rdQ","avg","median","min","max","max-min","stddev","u-fence","threshold"
"MLOC",3.0,10.0,7.768810885112656,5.0,0.0,448.0,448.0,8.362001203883159,20.5,30.0
"CYCLO",1.0,1.0,1.2093551407454628,1.0,1.0,27.0,26.0,0.8108927187568595,1.0,10.0
"CALLS",0.0,9.0,7.006335039942626,3.0,0.0,313.0,313.0,11.753428265393419,22.5,5.0
"NBD",0.0,1.0,0.8419626670916589,1.0,0.0,7.0,7.0,0.958398039002447,2.5,3.0
"PARAM",0.0,1.0,0.7242066258939778,0.0,0.0,13.0,13.0,1.0500353271561873,2.5,4.0
