"type","dep","i-dep","fan-in","fan-out"
"org.sonar.server.rule.RuleCreatorTest",36,19,0,20
"org.sonar.server.qualityprofile.ws.ChangelogActionTest",34,17,0,20
"org.sonar.server.rule.RuleUpdaterTest",41,23,0,24
"org.sonar.server.issue.index.IssueIndexFacetsTest",49,13,0,14
"org.sonar.db.component.SnapshotDaoTest",41,9,0,10
"org.sonar.server.issue.notification.FpOrWontFixEmailTemplateTest",38,5,0,6
"org.sonar.server.platform.platformlevel.PlatformLevel4",202,199,1,200
"org.sonar.server.hotspot.ws.SearchAction",66,20,1,30
"org.sonar.db.DBSessionsImplTest",31,2,0,7
"org.sonar.db.DbClient",69,67,646,68
"org.sonar.core.issue.tracking.TrackerTest",13,1,0,7
"org.sonar.server.rule.ws.ShowActionTest",45,19,0,19
"org.sonar.process.logging.LogbackHelperTest",43,2,0,6
"org.sonar.server.measure.custom.ws.CreateActionTest",35,18,0,18
"org.sonar.db.component.BranchDaoTest",23,5,0,8
"org.sonar.application.SchedulerImplTest",43,7,0,16
"org.sonar.server.issue.index.IssueQuery",12,1,10,5
"org.sonar.server.organization.MemberUpdaterTest",45,21,0,22
"org.sonar.scanner.mediumtest.ScannerMediumTester",57,31,22,56
"org.sonar.server.app.WebServerProcessLoggingTest",32,3,0,7
"org.sonar.server.issue.notification.FPOrWontFixNotificationHandlerTest",48,4,0,7
"org.sonar.db.AbstractDbTester",39,2,2,23
"org.sonar.application.config.ClusterSettingsTest",33,2,0,5
"org.sonar.server.user.UserUpdater",39,16,17,20
"org.sonar.db.permission.template.PermissionTemplateDaoTest",28,8,0,9
"org.sonar.server.es.searchrequest.RequestFiltersComputerTest",25,0,0,1
"org.sonar.server.issue.index.IssueIndexerTest",43,17,0,18
"org.sonar.ce.task.projectanalysis.api.posttask.PostProjectAnalysisTasksExecutorTest",50,16,0,21
"org.sonar.db.rule.RuleDto",8,1,48,2
"org.sonar.ce.task.projectanalysis.measure.Measure",10,1,90,6
"org.sonar.server.permission.ws.AddGroupActionTest",39,14,0,16
"org.sonarqube.ws.client.DefaultWsClient",56,55,2,56
"org.sonar.ce.task.projectanalysis.issue.IssueCreationDateCalculatorTest",44,14,0,16
"org.sonar.server.notification.DefaultNotificationManagerTest",50,13,0,13
"org.sonar.server.measure.ws.ComponentActionTest",39,14,0,18
"org.sonar.server.issue.SearchRequest",6,0,5,0
"org.sonar.server.setting.ws.ResetActionTest",45,27,0,28
"org.sonar.server.issue.ws.BulkChangeAction",93,31,1,43
"org.sonar.ce.container.ComputeEngineContainerImpl",138,124,2,127
"org.sonar.server.setting.ws.ListDefinitionsActionTest",52,20,0,21
"org.sonar.server.issue.ws.SearchResponseFormat",51,16,3,20
"org.sonar.server.issue.notification.NewIssuesNotificationTest",32,8,0,10
"org.sonar.server.permission.ws.RemoveGroupActionTest",40,15,0,17
"org.sonar.api.measures.Metric",13,0,69,4
"org.sonar.server.measure.live.LiveMeasureComputerImplTest",52,23,0,24
"org.sonar.application.SchedulerImpl",29,9,2,16
"org.sonar.server.issue.workflow.IssueWorkflowTest",36,6,0,9
