"description",value,percent,median,std_dev
"total_namespaces",11,100,0.0,0.0
"total_types",65,5,4.0,4.3787616650153804
"total_sloc",4665,71,43.0,63.84976820168014
"total_methods",409,6,3.0,19.267503356090618
"total_cyclo",702,10,0.0,0.0
