"type","dep","i-dep","fan-in","fan-out"
"me.umov.jaiminho.domain.model.Identity",0,0,2,3
"me.umov.jaiminho.domain.event.DomainEventRegistryTest",14,3,0,3
"me.umov.jaiminho.infrastructure.sms.SMSAdapterTest",14,7,0,7
"me.umov.jaiminho.domain.model.Recipient",1,0,4,1
"me.umov.jaiminho.anticorruption.xstreamadapter.facade.TranslatorFactoryTest",11,3,0,3
"me.umov.jaiminho.domain.Sender",7,5,3,9
"me.umov.jaiminho.anticorruption.xstreamadapter.core.replace.ReplacementActivityLinkTest",19,11,0,11
"me.umov.jaiminho.infrastructure.configuration.MailSenderConfiguration",6,0,1,0
"me.umov.jaiminho.application.controller.PlataformEventController",13,3,0,4
"me.umov.jaiminho.architecture.DomainTest",9,2,0,2
"me.umov.jaiminho.application.event.DataStreamWasProcessedTest",8,1,0,1
"me.umov.jaiminho.anticorruption.xstreamadapter.core.mapping.TaskMapperTest",14,7,0,8
"me.umov.jaiminho.application.observer.UpdateHistory",10,7,0,12
"me.umov.jaiminho.fixture.MailRequestFixture",1,1,4,1
"me.umov.jaiminho.application.observer.ReprocessNotificationSQS",9,7,0,13
"me.umov.jaiminho.anticorruption.xstreamadapter.core.service.XStreamService",10,7,4,11
"me.umov.jaiminho.infrastructure.email.MailServiceTest",12,2,0,2
"me.umov.jaiminho.infrastructure.dao.entity.CustomFieldValue",3,0,6,0
"me.umov.jaiminho.infrastructure.business.JwtService",7,1,1,3
"me.umov.jaiminho.anticorruption.xstreamadapter.core.replace.ReplacementCustomField",7,3,0,5
"me.umov.jaiminho.infrastructure.email.AwsSesMailByHtmlAdapterTest",13,2,0,2
"me.umov.jaiminho.domain.SMSTest",12,5,0,5
"me.umov.jaiminho.anticorruption.aws.AWSFactoryTest",8,1,0,1
"me.umov.jaiminho.infrastructure.producer.aws.ProducerAWSBuilder",8,4,0,7
"me.umov.jaiminho.application.controller.MailController",14,4,0,6
"me.umov.jaiminho.fixture.RuleFixture",3,2,14,2
"me.umov.jaiminho.fixture.TaskFixture",4,4,7,4
"me.umov.jaiminho.infrastructure.dao.entity.RuleTest",4,0,0,0
"me.umov.jaiminho.application.dto.EventMessageTest",5,0,0,0
"me.umov.jaiminho.domain.JaiminhoBuilder",6,4,2,4
"me.umov.jaiminho.infrastructure.dao.document.Header",3,0,2,0
"me.umov.jaiminho.infrastructure.dao.entity.Action",4,0,9,0
"me.umov.jaiminho.infrastructure.dao.document.Recipients",2,0,0,2
"me.umov.jaiminho.infrastructure.dao.entity.SystemParameter",6,0,3,0
"me.umov.jaiminho.domain.validators.rules.EmailFormatRuleValidation",6,3,2,6
"me.umov.jaiminho.application.observer.LogGenerator",10,8,1,12
"me.umov.jaiminho.infrastructure.dao.NotificationDAOTest",12,2,0,3
"me.umov.jaiminho.domain.EmailTest",12,4,0,4
"me.umov.jaiminho.infrastructure.dao.dto.NotificationMessageDTO",5,4,8,5
"me.umov.jaiminho.anticorruption.xstreamadapter.core.converters.CallbackParameterConverter",7,2,2,6
"me.umov.jaiminho.fixture.MessageRequestFixture",4,3,8,3
"me.umov.jaiminho.application.sqs.AWSConsumer",9,3,1,3
"me.umov.jaiminho.anticorruption.xstreamadapter.core.MailOrSMSTranslatorMessage",10,7,2,9
"me.umov.jaiminho.application.sqs.service.GroupResponse",0,0,7,1
"me.umov.jaiminho.infrastructure.producer.aws.SendMessage",1,0,3,2
"me.umov.jaiminho.anticorruption.xstreamadapter.core.replace.ReplacementHistoryLink",7,5,3,8
"me.umov.jaiminho.anticorruption.xstreamadapter.core.converters.IgnoreTaskTypeConverter",8,0,0,3
