"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa"
"me.umov.business.application.service.DistributionTask",80,11,1,17,15,10,2,12,1
"me.umov.business.taskschedule.anticorruption.relationship.AbstractRelationshipConverter",78,13,2,17,16,12,4,15,3
"me.umov.business.application.service.BaseServiceTest",78,9,9,9,17,6,0,6,4
"me.umov.business.infrastructure.cron.RundeckRestServiceTest",78,4,4,4,27,0,0,0,4
"me.umov.business.application.model.fixture.SaveTaskScheduleGroupRequestFixture",76,15,15,15,10,5,1,7,1
"me.umov.business.domain.servicelocal.AddressTest",76,11,11,11,7,3,0,3,3
"me.umov.business.domain.model.builder.TaskLoaderTest",75,5,5,5,22,10,0,10,9
"me.umov.business.infrastructure.cron.RundeckRestService",74,9,3,9,18,0,0,2,4
"me.umov.business.domain.itinerary.specification.ShouldServiceLocalHaveFinalHourGreaterThenInitialHourTest",74,5,5,5,14,7,0,7,1
"me.umov.business.application.interceptor.CORSInterceptorTest",73,7,7,7,21,1,0,1,5
"me.umov.business.application.controller.workcycle.WorkCycleControllerTest",73,5,5,5,18,6,0,8,4
"me.umov.business.application.observer.NotificationAfterSaveTaskTest",73,4,4,4,21,9,0,9,9
"me.umov.business.domain.itinerary.specification.TaskScheduleGroupValidator",73,1,1,1,8,5,3,6,19
"me.umov.business.application.model.fixture.SaveTaskDTOFixture",70,15,15,15,8,3,4,3,1
"me.umov.business.application.model.ActivityModel",70,14,14,14,7,0,25,2,5
"me.umov.business.domain.task.TaskItemModel",70,11,11,12,14,2,4,4,4
"me.umov.business.application.controller.workcycle.WorkCycleController",70,7,7,7,12,3,0,3,3
"me.umov.business.domain.rule.builders.SaveTaskValidationBuilder",70,1,0,1,16,11,3,12,9
"me.umov.business.application.model.fixture.ItineraryScheduleFixture",69,15,15,15,7,2,24,2,1
"me.umov.business.domain.itinerary.ItineraryAgent",69,13,13,14,11,2,9,4,4
"me.umov.business.domain.rule.task.ShouldHaveNoTaskInDateTest",69,8,8,8,14,6,0,6,2
"me.umov.business.domain.itinerary.ItineraryCronServiceTest",69,5,5,5,17,4,0,4,6
"me.umov.business.domain.itinerary.ItineraryScheduleCronServiceTest",69,5,5,5,17,4,0,4,6
"me.umov.business.domain.recurrence.RecurrenceEndsConfiguration",68,10,10,23,3,0,9,2,3
"me.umov.business.domain.recurrence.RecurrenceRepeatConfiguration",67,11,11,22,2,0,9,2,3
"me.umov.business.taskschedule.application.controller.CronControllerTest",67,5,5,5,20,8,0,9,4
"me.umov.business.domain.rule.task.ShouldHaveOneAgentWhenOnlyOneAgentTeamTest",67,5,5,5,12,7,0,7,0
"me.umov.business.configuration.SwaggerConfig",67,4,2,4,16,0,0,1,2
"me.umov.business.domain.itinerary.ItineraryActivity",66,12,12,13,11,2,12,3,4
"me.umov.business.application.model.IntervalTest",65,14,14,14,3,1,0,1,0
"me.umov.business.application.model.CustomFieldValueModel",65,12,12,12,7,0,14,1,6
"me.umov.business.domain.task.TaskTypeModel",64,12,12,12,9,1,15,2,5
"me.umov.business.application.authorization.JWTServiceTest",64,9,9,9,13,2,0,3,4
"me.umov.business.application.controller.AgentControllerTest",63,5,5,5,20,5,0,5,3
"me.umov.business.application.api.ApiReturn",62,13,13,13,4,0,23,2,4
"me.umov.business.domain.itinerary.specification.ShouldHaveValidInitialHourAndFinalHourCombinationTest",62,5,5,5,14,7,0,7,1
"me.umov.business.application.service.BaseService",61,11,10,13,12,5,12,6,3
"me.umov.business.application.model.TeamAgentModel",61,11,11,12,3,0,1,1,4
"me.umov.business.application.controller.TaskScheduleGroupControllerTest",61,6,6,6,10,3,0,3,3
"me.umov.business.taskschedule.application.service.TaskScheduleApplicationService",61,3,3,3,13,9,3,11,3
"me.umov.business.domain.rule.task.ShouldHaveValidInitialDateTest",60,7,7,7,11,4,0,4,0
"me.umov.business.application.authorization.JWTService",60,6,1,11,12,3,2,5,3
"me.umov.business.domain.rule.task.ShouldHaveValidRecurrenceConfiguration",60,5,3,18,15,3,13,5,3
"me.umov.business.application.observer.NotificationAfterSaveTask",60,3,1,5,19,11,0,15,4
"me.umov.business.application.model.CustomFieldModel",59,10,10,10,9,0,4,1,5
"me.umov.business.domain.rule.task.ShouldHaveRequiredTaskConfigFields",59,6,3,13,9,4,28,7,2
"me.umov.business.domain.generic.specification.ShouldHaveValidIdTest",59,5,5,5,10,1,0,1,2
"me.umov.business.taskschedule.anticorruption.relationship.RelationshipFactoryTest",58,7,7,7,10,2,0,2,6
"me.umov.business.domain.itinerary.specification.ShouldLoadAllActivitiesTest",58,5,5,5,15,5,0,5,2
"me.umov.business.application.controller.workcycle.SaveWorkCycleScheduleRequest",57,13,13,13,4,1,3,1,6
"me.umov.business.domain.recurrence.CrontabExpression",57,12,11,12,2,0,11,1,7
"me.umov.business.domain.rule.task.ShouldValidateAgentPortfolioTest",57,7,7,7,10,3,0,3,0
"me.umov.business.infrastructure.serialization.GsonConfiguration",57,3,2,2,17,1,3,3,0
"me.umov.business.infrastructure.queue.AmazonSQSConfiguration",56,7,4,7,14,0,0,1,2
"me.umov.business.infrastructure.cron.RundeckSchedulerCronProvider",56,6,4,7,11,2,0,6,5
"me.umov.business.domain.itinerary.specification.ShouldValidateNotNullTeamExecutionWhenItIsForSomeTeamsTest",56,5,5,5,12,4,0,4,1
"me.umov.business.infrastructure.jpa.workcycle.WorkCycleGeneratorImplTest",55,3,3,3,13,1,0,1,2
"me.umov.business.application.repository.custom.task.TaskRepositoryCustomImplTest",55,3,3,3,14,2,0,2,8
"me.umov.business.anticorruption.itinerary.WorkCycleScheduleConverterImpl",55,1,1,3,14,6,0,7,2
"me.umov.business.application.api.ApiReturnTest",54,6,6,6,4,0,0,2,0
"me.umov.business.application.model.dto.TaskItemDTO",53,13,13,14,3,3,6,3,4
"me.umov.business.domain.itinerary.ItineraryTeam",53,11,11,12,3,2,8,3,4
"me.umov.business.infrastructure.servicelocal.activity.ServiceLocalActivityEntity",53,8,8,8,9,4,0,5,4
"me.umov.business.application.interceptor.JWTAuthorizationInterceptorTest",53,4,4,4,17,2,0,2,4
"me.umov.business.application.observer.ItineraryScheduleCronSchedulerObserverTest",52,5,5,5,13,3,0,3,2
"me.umov.business.application.observer.ItineraryCronSchedulerObserverTest",52,5,5,5,13,3,0,3,2
"me.umov.business.domain.rule.task.ShouldHaveAgentByRequiredTaskConfig",52,5,3,9,9,4,10,6,2
"me.umov.business.domain.itinerary.specification.ShouldLoadAllTeamsTest",52,4,4,4,15,5,0,5,2
"me.umov.business.domain.itinerary.specification.ShouldLoadAllServiceLocalsTest",52,4,4,4,15,5,0,5,2
"me.umov.business.domain.itinerary.specification.ShouldLoadAllAgentsTest",52,4,4,4,15,5,0,5,2
"me.umov.business.application.repository.custom.ActivityRepositoryImplTest",52,4,4,4,14,1,0,1,3
"me.umov.business.domain.rule.task.ShouldHaveValidFinalDateTest",51,6,6,6,10,3,0,3,0
"me.umov.business.application.model.WorkJourneyDayModelTest",51,3,3,3,5,1,0,1,10
"me.umov.business.application.repository.custom.AgentRepositoyCustom",51,2,1,6,5,1,2,4,1
"me.umov.business.taskschedule.anticorruption.relationship.ServiceLocalRelationshipConverter",50,6,0,6,16,12,0,13,2
"me.umov.business.domain.rule.customfield.ShouldHaveValidMultimidiaURLCustomFieldsTest",49,6,5,6,11,4,0,5,0
"me.umov.business.taskschedule.anticorruption.relationship.TeamRelationshipConverter",49,6,0,6,11,8,0,9,2
"me.umov.business.taskschedule.anticorruption.relationship.ActivityRelationshipConverter",49,6,0,6,11,8,0,9,2
"me.umov.business.infrastructure.agent.AgentDAOImplTest",49,3,3,3,13,4,0,4,3
"me.umov.business.application.controller.agent.AgentController",49,2,2,3,21,7,2,8,0
"me.umov.business.application.service.notification.TaskNotificationService",49,2,1,6,11,8,2,9,5
"me.umov.business.application.model.dto.AgentJourneyHoursDTO",48,10,10,18,4,1,7,2,9
"me.umov.business.domain.rule.task.ShouldHaveServiceLocalTest",48,5,5,5,8,3,0,3,0
"me.umov.business.domain.event.DomainEventRegistryTest",48,4,4,6,9,0,0,2,1
"me.umov.business.infrastructure.activity.ActivityDAOImplTest",48,3,3,3,12,2,0,2,3
"me.umov.business.application.model.idiom.IdiomEntry",48,3,3,3,13,2,2,3,7
"me.umov.business.taskschedule.application.controller.CronController",48,2,2,2,15,6,1,6,3
"me.umov.business.infrastructure.serialization.LocalDateTimeSerializationAdapterTest",47,6,6,6,7,0,0,0,0
"me.umov.business.infrastructure.serialization.GsonConfigurationTest",47,4,3,4,10,0,0,1,1
"me.umov.business.domain.rule.customfield.ShouldHaveRequiredCustomFieldsTest",47,4,4,4,12,5,0,5,0
"me.umov.business.domain.itinerary.specification.ShouldHaveItineraryInitialDateGreaterThanTodayTest",47,4,4,4,13,2,0,2,1
"me.umov.business.domain.itinerary.specification.ShouldValidateItineraryActivitiesOriginWithoutActivitiesTest",47,4,4,4,13,5,0,5,1
"me.umov.business.infrastructure.team.TeamDAOImplTest",47,3,3,3,11,2,0,2,3
"me.umov.business.application.service.toggle.FeatureToggleServiceTest",47,3,3,3,18,6,0,6,5
"me.umov.business.domain.activityHistory.ActivityHistory",46,10,10,10,4,1,4,2,4
"me.umov.business.domain.rule.task.ShouldHaveTeamExecutionWhenTeamIsSelectedTest",46,5,5,5,12,4,0,4,0
"me.umov.business.domain.itinerary.specification.ShouldValidateSomeAgentsRelationWithoutAgentsTest",46,4,4,4,12,5,0,5,1
"me.umov.business.domain.rule.task.ShouldHaveValidActivitiesAssociated",46,3,3,10,12,4,16,5,2
"me.umov.business.application.repository.custom.task.TaskRepositoryCustomImpl",46,3,1,9,8,1,0,4,2
"me.umov.business.application.model.dto.RuleRequestDTO",45,11,11,12,3,0,6,0,5
"me.umov.business.domain.servicelocal.ServiceLocal",45,9,9,10,2,0,6,0,5
"me.umov.business.application.controller.workcycle.CreateWorkCycleRequest",45,7,7,7,4,0,1,0,5
"me.umov.business.taskschedule.anticorruption.taskSchedule.TaskScheduleConverterFactoryTest",45,5,5,5,9,2,0,2,5
"me.umov.business.application.observer.TaskSavedObserverTest",45,5,5,5,10,3,0,3,2
"me.umov.business.domain.itinerary.specification.ShouldValidateAgentRelationEqualsAllAgentsTest",45,4,4,4,13,6,0,6,1
"me.umov.business.application.model.CommonCustomFieldConfig",44,11,11,11,2,0,5,0,5
"me.umov.business.application.controller.servicelocal.ServiceLocalRequest",44,10,10,10,1,0,1,0,10
"me.umov.business.application.api.ProcessApiReturn",44,10,9,10,4,0,3,1,4
