"type","dep","i-dep","fan-in","fan-out"
"me.umov.business.domain.itinerary.ItineraryAgent",11,2,9,4
"me.umov.business.domain.rule.task.ShouldHaveNoTaskInDateTest",14,6,0,6
"me.umov.business.domain.itinerary.ItineraryCronServiceTest",17,4,0,4
"me.umov.business.domain.itinerary.ItineraryScheduleCronServiceTest",17,4,0,4
"me.umov.business.domain.recurrence.RecurrenceEndsConfiguration",3,0,9,2
"me.umov.business.domain.recurrence.RecurrenceRepeatConfiguration",2,0,9,2
"me.umov.business.taskschedule.application.controller.CronControllerTest",20,8,0,9
"me.umov.business.domain.rule.task.ShouldHaveOneAgentWhenOnlyOneAgentTeamTest",12,7,0,7
"me.umov.business.configuration.SwaggerConfig",16,0,0,1
"me.umov.business.domain.itinerary.ItineraryActivity",11,2,12,3
"me.umov.business.application.model.IntervalTest",3,1,0,1
"me.umov.business.application.model.CustomFieldValueModel",7,0,14,1
"me.umov.business.domain.task.TaskTypeModel",9,1,15,2
"me.umov.business.application.authorization.JWTServiceTest",13,2,0,3
"me.umov.business.application.controller.AgentControllerTest",20,5,0,5
"me.umov.business.application.api.ApiReturn",4,0,23,2
"me.umov.business.domain.itinerary.specification.ShouldHaveValidInitialHourAndFinalHourCombinationTest",14,7,0,7
"me.umov.business.application.service.BaseService",12,5,12,6
"me.umov.business.application.model.TeamAgentModel",3,0,1,1
"me.umov.business.application.controller.TaskScheduleGroupControllerTest",10,3,0,3
"me.umov.business.taskschedule.application.service.TaskScheduleApplicationService",13,9,3,11
"me.umov.business.domain.rule.task.ShouldHaveValidInitialDateTest",11,4,0,4
"me.umov.business.application.authorization.JWTService",12,3,2,5
"me.umov.business.domain.rule.task.ShouldHaveValidRecurrenceConfiguration",15,3,13,5
"me.umov.business.application.observer.NotificationAfterSaveTask",19,11,0,15
"me.umov.business.application.model.CustomFieldModel",9,0,4,1
"me.umov.business.domain.rule.task.ShouldHaveRequiredTaskConfigFields",9,4,28,7
"me.umov.business.domain.generic.specification.ShouldHaveValidIdTest",10,1,0,1
"me.umov.business.taskschedule.anticorruption.relationship.RelationshipFactoryTest",10,2,0,2
"me.umov.business.domain.itinerary.specification.ShouldLoadAllActivitiesTest",15,5,0,5
"me.umov.business.application.controller.workcycle.SaveWorkCycleScheduleRequest",4,1,3,1
"me.umov.business.domain.recurrence.CrontabExpression",2,0,11,1
"me.umov.business.domain.rule.task.ShouldValidateAgentPortfolioTest",10,3,0,3
"me.umov.business.infrastructure.serialization.GsonConfiguration",17,1,3,3
"me.umov.business.infrastructure.queue.AmazonSQSConfiguration",14,0,0,1
"me.umov.business.infrastructure.cron.RundeckSchedulerCronProvider",11,2,0,6
"me.umov.business.domain.itinerary.specification.ShouldValidateNotNullTeamExecutionWhenItIsForSomeTeamsTest",12,4,0,4
"me.umov.business.infrastructure.jpa.workcycle.WorkCycleGeneratorImplTest",13,1,0,1
"me.umov.business.application.repository.custom.task.TaskRepositoryCustomImplTest",14,2,0,2
"me.umov.business.anticorruption.itinerary.WorkCycleScheduleConverterImpl",14,6,0,7
"me.umov.business.application.api.ApiReturnTest",4,0,0,2
"me.umov.business.application.model.dto.TaskItemDTO",3,3,6,3
"me.umov.business.domain.itinerary.ItineraryTeam",3,2,8,3
"me.umov.business.infrastructure.servicelocal.activity.ServiceLocalActivityEntity",9,4,0,5
"me.umov.business.application.interceptor.JWTAuthorizationInterceptorTest",17,2,0,2
"me.umov.business.application.observer.ItineraryScheduleCronSchedulerObserverTest",13,3,0,3
"me.umov.business.application.observer.ItineraryCronSchedulerObserverTest",13,3,0,3
"me.umov.business.domain.rule.task.ShouldHaveAgentByRequiredTaskConfig",9,4,10,6
"me.umov.business.domain.itinerary.specification.ShouldLoadAllTeamsTest",15,5,0,5
"me.umov.business.domain.itinerary.specification.ShouldLoadAllServiceLocalsTest",15,5,0,5
"me.umov.business.domain.itinerary.specification.ShouldLoadAllAgentsTest",15,5,0,5
"me.umov.business.application.repository.custom.ActivityRepositoryImplTest",14,1,0,1
"me.umov.business.domain.rule.task.ShouldHaveValidFinalDateTest",10,3,0,3
"me.umov.business.application.model.WorkJourneyDayModelTest",5,1,0,1
"me.umov.business.application.repository.custom.AgentRepositoyCustom",5,1,2,4
"me.umov.business.taskschedule.anticorruption.relationship.ServiceLocalRelationshipConverter",16,12,0,13
"me.umov.business.domain.rule.customfield.ShouldHaveValidMultimidiaURLCustomFieldsTest",11,4,0,5
"me.umov.business.taskschedule.anticorruption.relationship.TeamRelationshipConverter",11,8,0,9
