"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa"
"me.umov.jaiminho.infrastructure.dao.entity.HistoryItem",56,12,12,12,3,0,5,0,6
"me.umov.jaiminho.infrastructure.dao.entity.SMS",56,12,12,12,3,0,6,0,6
"me.umov.jaiminho.anticorruption.xstreamadapter.core.mapping.EntityMapper",56,11,0,16,8,6,3,9,4
"me.umov.jaiminho.application.observer.LogGeneratorTest",56,7,7,7,12,4,0,4,4
"me.umov.jaiminho.anticorruption.aws.DataStreamToNotificationConverter",56,4,1,9,17,12,0,14,3
"me.umov.jaiminho.anticorruption.xstreamadapter.core.converters.MessageRequestConverter",56,3,3,11,8,3,1,7,0
"me.umov.jaiminho.infrastructure.email.AwsSesMailAdapterTest",55,4,3,4,17,3,0,4,7
"me.umov.jaiminho.infrastructure.sms.SMSAdapter",54,4,1,5,10,7,0,11,4
"me.umov.jaiminho.anticorruption.xstreamadapter.core.MailOrSMSTranslatorMessageTest",53,2,2,2,22,12,0,12,5
"me.umov.jaiminho.anticorruption.xstreamadapter.core.replace.ReplacementTaskTest",52,3,3,3,16,6,0,6,6
"me.umov.jaiminho.infrastructure.business.BusinessAdapterTest",52,3,2,3,14,0,0,1,7
"me.umov.jaiminho.infrastructure.configuration.mongo.MongoConfig",50,5,3,6,15,0,0,1,1
"me.umov.jaiminho.infrastructure.email.MailAdapter",49,7,2,9,9,3,2,6,5
"me.umov.jaiminho.domain.model.ResponseNotificationTest",49,6,6,6,4,0,0,0,0
"me.umov.jaiminho.infrastructure.producer.aws.ProducerAWSBuilderTest",48,5,5,5,10,0,0,0,4
"me.umov.jaiminho.domain.CallbackTest",47,2,2,2,16,6,0,6,7
"me.umov.jaiminho.domain.model.Identity",46,10,9,13,0,0,2,3,3
"me.umov.jaiminho.domain.event.DomainEventRegistryTest",46,4,4,4,14,3,0,3,3
"me.umov.jaiminho.infrastructure.sms.SMSAdapterTest",46,2,2,2,14,7,0,7,6
"me.umov.jaiminho.domain.model.Recipient",44,10,8,10,1,0,4,1,3
"me.umov.jaiminho.anticorruption.xstreamadapter.facade.TranslatorFactoryTest",44,4,4,4,11,3,0,3,4
"me.umov.jaiminho.domain.Sender",44,4,2,8,7,5,3,9,5
"me.umov.jaiminho.anticorruption.xstreamadapter.core.replace.ReplacementActivityLinkTest",44,2,2,2,19,11,0,11,3
"me.umov.jaiminho.infrastructure.configuration.MailSenderConfiguration",43,3,3,3,6,0,1,0,6
"me.umov.jaiminho.application.controller.PlataformEventController",43,2,2,2,13,3,0,4,2
"me.umov.jaiminho.architecture.DomainTest",43,0,0,1,9,2,0,2,5
"me.umov.jaiminho.application.event.DataStreamWasProcessedTest",42,5,5,5,8,1,0,1,1
"me.umov.jaiminho.anticorruption.xstreamadapter.core.mapping.TaskMapperTest",42,4,4,4,14,7,0,8,2
"me.umov.jaiminho.application.observer.UpdateHistory",42,3,2,4,10,7,0,12,4
"me.umov.jaiminho.fixture.MailRequestFixture",41,8,8,8,1,1,4,1,7
"me.umov.jaiminho.application.observer.ReprocessNotificationSQS",41,4,2,5,9,7,0,13,3
"me.umov.jaiminho.anticorruption.xstreamadapter.core.service.XStreamService",41,3,2,4,10,7,4,11,1
"me.umov.jaiminho.infrastructure.email.MailServiceTest",41,2,2,2,12,2,0,2,11
"me.umov.jaiminho.infrastructure.dao.entity.CustomFieldValue",40,8,8,8,3,0,6,0,4
"me.umov.jaiminho.infrastructure.business.JwtService",40,5,2,5,7,1,1,3,5
"me.umov.jaiminho.anticorruption.xstreamadapter.core.replace.ReplacementCustomField",40,3,1,11,7,3,0,5,1
"me.umov.jaiminho.infrastructure.email.AwsSesMailByHtmlAdapterTest",40,2,2,2,13,2,0,2,7
"me.umov.jaiminho.domain.SMSTest",40,2,2,2,12,5,0,5,6
"me.umov.jaiminho.anticorruption.aws.AWSFactoryTest",39,4,4,4,8,1,0,1,4
"me.umov.jaiminho.infrastructure.producer.aws.ProducerAWSBuilder",39,4,2,7,8,4,0,7,2
"me.umov.jaiminho.application.controller.MailController",39,2,1,2,14,4,0,6,2
"me.umov.jaiminho.fixture.RuleFixture",38,8,8,8,3,2,14,2,2
"me.umov.jaiminho.fixture.TaskFixture",38,8,8,8,4,4,7,4,1
"me.umov.jaiminho.infrastructure.dao.entity.RuleTest",38,6,6,6,4,0,0,0,1
"me.umov.jaiminho.application.dto.EventMessageTest",37,4,4,4,5,0,0,0,0
"me.umov.jaiminho.domain.JaiminhoBuilder",37,1,1,4,6,4,2,4,6
"me.umov.jaiminho.infrastructure.dao.document.Header",36,8,8,8,3,0,2,0,3
"me.umov.jaiminho.infrastructure.dao.entity.Action",36,7,7,7,4,0,9,0,3
"me.umov.jaiminho.infrastructure.dao.document.Recipients",36,7,7,14,2,0,0,2,2
"me.umov.jaiminho.infrastructure.dao.entity.SystemParameter",36,6,6,6,6,0,3,0,3
"me.umov.jaiminho.domain.validators.rules.EmailFormatRuleValidation",36,5,1,8,6,3,2,6,1
"me.umov.jaiminho.application.observer.LogGenerator",36,3,2,4,10,8,1,12,1
"me.umov.jaiminho.infrastructure.dao.NotificationDAOTest",36,2,2,2,12,2,0,3,4
"me.umov.jaiminho.domain.EmailTest",36,2,2,2,12,4,0,4,5
"me.umov.jaiminho.infrastructure.dao.dto.NotificationMessageDTO",35,7,5,8,5,4,8,5,2
"me.umov.jaiminho.anticorruption.xstreamadapter.core.converters.CallbackParameterConverter",35,3,3,6,7,2,2,6,0
"me.umov.jaiminho.fixture.MessageRequestFixture",34,7,7,7,4,3,8,3,1
"me.umov.jaiminho.application.sqs.AWSConsumer",34,4,4,4,9,3,1,3,2
"me.umov.jaiminho.anticorruption.xstreamadapter.core.MailOrSMSTranslatorMessage",34,2,1,3,10,7,2,9,3
"me.umov.jaiminho.application.sqs.service.GroupResponse",33,8,4,8,0,0,7,1,3
"me.umov.jaiminho.infrastructure.producer.aws.SendMessage",33,7,6,9,1,0,3,2,4
"me.umov.jaiminho.anticorruption.xstreamadapter.core.replace.ReplacementHistoryLink",33,5,1,7,7,5,3,8,3
"me.umov.jaiminho.anticorruption.xstreamadapter.core.converters.IgnoreTaskTypeConverter",33,4,3,6,8,0,0,3,0
"me.umov.jaiminho.infrastructure.email.AwsSesMailByHtmlAdapter",33,3,1,3,6,1,1,3,0
"me.umov.jaiminho.domain.validators.MailValidatorTest",33,2,2,2,11,4,0,4,4
"me.umov.jaiminho.infrastructure.http.authentication.factor.XCSRFAuthenticationImpl",33,1,1,1,10,6,1,8,5
"me.umov.jaiminho.domain.exception.IdempotencyException",32,8,8,8,1,1,4,2,2
"me.umov.jaiminho.domain.validators.rules.SmsTextLengthRuleValidationTest",32,4,4,4,8,2,0,2,2
"me.umov.jaiminho.fixture.SMSFixture",31,7,7,7,1,1,2,1,1
"me.umov.jaiminho.domain.model.Body",31,6,4,9,0,0,1,2,2
"me.umov.jaiminho.application.observer.NotificationExecutedSQS",31,2,2,4,8,4,0,7,4
"me.umov.jaiminho.infrastructure.dao.PlataformEventDao",31,1,1,2,11,2,2,2,3
"me.umov.jaiminho.architecture.ApplicationTest",31,0,0,1,11,2,0,2,3
"me.umov.jaiminho.domain.model.ServiceStatus",30,7,7,7,1,0,0,0,4
"me.umov.jaiminho.domain.event.trigger.NotificationHasBeenReprocessed",30,5,5,5,2,0,5,2,3
"me.umov.jaiminho.domain.validators.MessageRequestValidator",30,5,1,10,2,2,2,5,0
"me.umov.jaiminho.infrastructure.email.MailSenderFactoryTest",30,3,3,3,9,1,0,1,3
"me.umov.jaiminho.domain.event.DomainEventRegistry",30,3,1,9,6,3,4,7,1
"me.umov.jaiminho.anticorruption.xstreamadapter.core.mapping.AttributeMapper",29,5,1,6,4,2,2,4,1
"me.umov.jaiminho.domain.event.trigger.HistoryProcessedInError",29,5,5,5,1,0,3,2,3
"me.umov.jaiminho.infrastructure.producer.aws.SendMessageRequestService",29,4,4,4,3,0,0,0,5
"me.umov.jaiminho.domain.validators.rules.PhoneLengthRuleValidationTest",29,3,3,3,8,2,0,2,2
"me.umov.jaiminho.domain.validators.rules.ShouldSendEmailValidationTest",29,3,3,3,8,2,0,2,2
"me.umov.jaiminho.domain.validators.rules.SubjectRuleValidationTest",29,3,3,3,8,2,0,2,2
"me.umov.jaiminho.infrastructure.business.JwtServiceTest",29,2,2,2,8,0,0,0,3
"me.umov.jaiminho.domain.validators.SmsValidatorTest",29,2,2,2,10,3,0,3,3
"me.umov.jaiminho.anticorruption.xstreamadapter.core.replace.ReplacementTask",29,2,1,5,7,5,0,7,2
"me.umov.jaiminho.infrastructure.dao.NotificationDAO",29,2,1,3,7,3,0,6,1
"me.umov.jaiminho.anticorruption.xstreamadapter.core.mapping.FactoryAttributeMapper",29,1,1,6,4,2,0,3,4
"me.umov.jaiminho.infrastructure.dao.document.Source",28,7,7,7,0,0,2,0,3
"me.umov.jaiminho.infrastructure.dao.document.MessageLog",28,5,5,6,3,0,3,0,4
"me.umov.jaiminho.architecture.InfrastructureTest",28,0,0,1,8,0,0,0,3
"me.umov.jaiminho.application.event.DataStreamWasProcessed",27,6,6,7,3,2,8,3,1
"me.umov.jaiminho.anticorruption.xstreamadapter.core.model.AttributeTest",27,4,4,4,4,0,0,0,1
"me.umov.jaiminho.infrastructure.configuration.RestConfiguration",27,3,1,5,6,0,0,1,2
"me.umov.jaiminho.infrastructure.producer.aws.ProducerService",27,3,2,4,3,1,6,4,3
"me.umov.jaiminho.infrastructure.email.MailService",26,2,2,2,8,3,0,5,2
"me.umov.jaiminho.architecture.GeneralTest",26,0,0,1,6,0,0,0,5
