"type","dep","i-dep","fan-in","fan-out"
"one.util.huntbugs.detect.StaticFieldNonThreadSafe",24,7,0,10
"one.util.huntbugs.detect.WaitContract",19,5,0,5
"one.util.huntbugs.testdata.TestRedundantStreamCalls",10,0,0,6
"one.util.huntbugs.warning.Warning",6,0,16,1
"one.util.huntbugs.detect.IteratorContract",18,5,0,5
"one.util.huntbugs.detect.MinValueHandling",11,5,0,10
"one.util.huntbugs.detect.SameIfChain",20,5,0,5
"one.util.huntbugs.detect.StringIndex",10,3,0,5
"one.util.huntbugs.testdata.TestAbandonedStream",5,0,0,4
"one.util.huntbugs.detect.VolatileIncrement",15,4,0,5
"one.util.huntbugs.testdata.TestFloatComparison",2,0,0,1
"one.util.huntbugs.detect.DuplicateAssignment",14,4,0,4
"one.util.huntbugs.testdata.TestInfiniteLoop",2,0,0,2
"one.util.huntbugs.testdata.TestStaticFieldFromInstanceMethod",2,0,0,2
"one.util.huntbugs.testdata.TestExposeRepresentation",3,0,0,3
"one.util.huntbugs.testdata.TestStringConcatInLoop",2,0,0,3
"one.util.huntbugs.testdata.TestWaitContract",2,0,0,1
"one.util.huntbugs.detect.AppendObjectOutputStream",12,4,0,6
"one.util.huntbugs.detect.ReturnNull",14,4,0,5
"one.util.huntbugs.detect.StaticFieldFromInstanceMethod",17,4,0,5
"one.util.huntbugs.flow.Annotators",4,0,1,2
"one.util.huntbugs.repo.DirRepository",9,0,5,2
"one.util.huntbugs.registry.FieldContext",11,6,7,7
"one.util.huntbugs.detect.NonShortCircuit",16,8,0,8
"one.util.huntbugs.testdata.TestNegativeRemainder",5,0,0,3
"one.util.huntbugs.analysis.AnalysisOptions",5,1,10,5
"one.util.huntbugs.detect.IgnoredException",13,4,0,5
"one.util.huntbugs.testdata.TestDuplicateAssignment",2,0,0,1
"one.util.huntbugs.testdata.TestExclusiveConditions",3,0,0,3
"one.util.huntbugs.detect.MutableServletField",20,5,0,5
"one.util.huntbugs.testdata.TestIgnoredException",2,0,0,2
"one.util.huntbugs.detect.UnsupportedCall",14,3,0,4
"one.util.huntbugs.registry.ClassData",11,5,1,5
"one.util.huntbugs.detect.NumberConstructor",14,5,0,7
"one.util.huntbugs.testdata.TestUnnecessaryBoxing",2,0,0,4
"one.util.huntbugs.testdata.TestVolatileIncrement",2,0,0,0
"one.util.huntbugs.detect.UnsafeGetResource",15,5,0,6
"one.util.huntbugs.testdata.TestCovariantArrays",3,0,0,3
"one.util.huntbugs.detect.CompareUsage",14,6,0,6
"one.util.huntbugs.detect.LockProblems",14,4,0,6
"one.util.huntbugs.spi.DataTests",18,8,2,8
"one.util.huntbugs.testdata.TestStringIndex",2,0,0,1
"one.util.huntbugs.testdata.TestMinValueHandling",4,0,0,2
"one.util.huntbugs.assertions.AssertionData",2,1,2,2
"one.util.huntbugs.testdata.TestAtomicConcurrent",3,0,0,3
"one.util.huntbugs.detect.SyncGetClass",16,4,0,4
"one.util.huntbugs.testdata.TestAverageComputation",2,0,0,0
"one.util.huntbugs.detect.NegativeRemainder",10,4,0,5
"one.util.huntbugs.asserter.TestAsserter",2,0,0,2
"one.util.huntbugs.testdata.TestIteratorContract",5,0,0,4
"one.util.huntbugs.db.DeclaredAnnotations",11,2,1,3
"one.util.huntbugs.detect.CheckReturnValue",11,4,0,5
"one.util.huntbugs.detect.KnownComparison",14,6,0,7
"one.util.huntbugs.warning.Roles",8,0,62,0
"one.util.huntbugs.testdata.TestRandomUsage",6,0,0,2
"one.util.huntbugs.testdata.TestCompareUsage",3,0,0,1
"one.util.huntbugs.detect.SpinLoop",12,3,0,4
"one.util.huntbugs.detect.StartInConstructor",15,3,0,3
"one.util.huntbugs.detect.SqlBadArgument",10,3,0,5
"one.util.huntbugs.testdata.TestSelfComputation",4,0,0,4
"one.util.huntbugs.testdata.TestSyncOnUpdatedField",2,0,0,1
"one.util.huntbugs.repo.JarRepository",5,0,3,4
"one.util.huntbugs.detect.IncorrectVarArg",10,2,0,3
"one.util.huntbugs.detect.StringUsage",11,3,0,3
"one.util.huntbugs.util.Xml",5,0,2,3
"one.util.huntbugs.testdata.TestInternationalization",6,0,0,1
"one.util.huntbugs.testdata.TestRegexProblems",4,0,0,3
"one.util.huntbugs.detect.VolatileArray",8,3,0,4
"one.util.huntbugs.testdata.TestSpinLoop",2,0,0,0
"one.util.huntbugs.testdata.TestDubiousCatch",3,0,0,3
"one.util.huntbugs.detect.BadMethodReferences",14,3,0,4
"one.util.huntbugs.detect.SelfComputation",12,5,0,6
"one.util.huntbugs.detect.BadMonitorObject",12,4,0,4
"one.util.huntbugs.registry.DetectorRegistryTest",9,3,0,4
"one.util.huntbugs.detect.CompareContract",13,4,0,5
"one.util.huntbugs.detect.EasyMockProblems",13,3,0,4
"one.util.huntbugs.output.HtmlReportWriter",12,0,1,3
"one.util.huntbugs.testdata.TestUnsupportedCall",3,0,2,5
"one.util.huntbugs.flow.Annotator",4,1,5,2
"one.util.huntbugs.testdata.TestUnsafeGetResource",4,0,1,4
"one.util.huntbugs.testdata.TestMutableServletField",7,0,0,2
"one.util.huntbugs.util.Iterables",3,0,0,4
"one.util.huntbugs.detect.DubiousCatch",11,2,0,3
"one.util.huntbugs.detect.SyncOnUpdatedField",9,3,0,3
"one.util.huntbugs.detect.ToArrayDowncast",12,4,0,4
"one.util.huntbugs.flow.EnumConstant",2,1,1,3
"one.util.huntbugs.testdata.TestCloneContract",2,0,1,2
"one.util.huntbugs.testdata.TestUnreachableCatch",2,0,0,1
"one.util.huntbugs.detect.NoRuntimeRetention",13,3,0,3
"one.util.huntbugs.testdata.TestStartInConstructor",2,0,1,3
"one.util.huntbugs.testdata.TestReturnNull",3,0,0,3
"one.util.huntbugs.testdata.TestSyncGetClass",2,0,0,2
"one.util.huntbugs.detect.SwingProblems",11,3,0,3
"one.util.huntbugs.testdata.TestNumberConstructor",2,0,0,0
"one.util.huntbugs.testdata.TestSameIfChain",2,0,0,2
"one.util.huntbugs.registry.AbstractTypeDatabase",6,0,6,3
"one.util.huntbugs.detect.EmptySync",9,2,0,2
"one.util.huntbugs.detect.UselessVoidMethod",12,3,0,3
"one.util.huntbugs.testdata.TestAppendObjectOutputStream",7,0,0,0
"one.util.huntbugs.detect.AbandonedStream",10,3,0,3
"one.util.huntbugs.detect.InitializerRefersSubclass",11,4,0,4
"one.util.huntbugs.testdata.TestIncorrectVarArg",4,0,0,2
"one.util.huntbugs.repo.FilteredRepository",2,0,1,2
"one.util.huntbugs.testdata.TestFloatNaN",1,0,0,1
"one.util.huntbugs.testdata.TestStringUsage",2,0,0,2
"one.util.huntbugs.testdata.TestBadMonitorObject",1,0,0,1
"one.util.huntbugs.testdata.TestCheckReturnValue",5,0,0,0
"one.util.huntbugs.testdata.TestUselessVoidMethod",2,0,0,0
"one.util.huntbugs.output.XmlReportWriter",8,0,1,1
"one.util.huntbugs.flow.etype.ComplexType",2,0,2,2
"one.util.huntbugs.warning.WarningType",1,0,14,0
"one.util.huntbugs.flow.Exceptional",1,0,3,3
"one.util.huntbugs.detect.AverageComputation",8,3,0,5
"one.util.huntbugs.MessagesTest",9,5,0,5
"one.util.huntbugs.detect.DroppedExceptionObject",11,4,0,4
"one.util.huntbugs.detect.FloatingPointNaN",8,3,0,3
"one.util.huntbugs.testdata.TestLockProblems",4,0,0,1
"one.util.huntbugs.registry.ElementContext",2,2,3,3
"one.util.huntbugs.testdata.TestNoRuntimeRetention",7,0,0,3
"one.util.huntbugs.detect.JcipProblems",8,1,0,2
"one.util.huntbugs.util.Variables",5,0,0,0
"one.util.huntbugs.db.Mutability",5,1,2,2
"one.util.huntbugs.detect.ExceptionalExpression",10,5,0,5
"one.util.huntbugs.testdata.TestSqlBadArgument",5,0,0,0
"one.util.huntbugs.detect.RedundantInterfaces",7,3,0,3
"one.util.huntbugs.util.Annotations",4,0,4,3
"one.util.huntbugs.AsserterTest",5,3,0,3
"one.util.huntbugs.testdata.TestStaticFieldNonThreadSafe",6,0,0,1
"one.util.huntbugs.testdata.TestToArrayDowncast",4,0,0,2
"one.util.huntbugs.RuleTest",9,6,0,6
"one.util.huntbugs.detect.NewGetClass",9,2,0,2
"one.util.huntbugs.flow.TrueFalse",0,0,12,0
"one.util.huntbugs.testdata.TestCompareContract",2,0,0,2
"one.util.huntbugs.testdata.TestSwingProblems",3,0,0,1
"one.util.huntbugs.testdata.TestValuesFlow",4,0,0,2
"one.util.huntbugs.testdata.TestRedundantInterfaces",8,0,0,5
"one.util.huntbugs.repo.CompositeRepository",4,0,5,1
"one.util.huntbugs.testdata.TestEasyMockProblems",3,0,0,0
