"method","loc","cyclo","calls","nbd","param"
"one.util.huntbugs.flow.Nullness.stateAt(CFG cfg, Expression target)",34,18,6,1,2
"one.util.huntbugs.detect.SelfComputation.visit(Expression expr, MethodContext mc)",16,18,33,1,2
"one.util.huntbugs.flow.CFG.buildBlock(BasicBlock entry, BasicBlock exit, JumpContext jc, Block block)",52,17,18,6,4
"one.util.huntbugs.detect.AtomicConcurrent.visit(Expression expr, NodeChain nc, MethodContext mc, MethodDefinition md)",49,17,43,6,4
"one.util.huntbugs.detect.ArrayRangeCheck.visit(MethodContext mc, NodeChain nc, Expression expr)",44,17,58,4,3
"one.util.huntbugs.detect.NumberConstructor.visit(Expression expr, MethodContext ctx, MethodDefinition md)",36,17,41,4,3
"one.util.huntbugs.detect.UnsupportedCall.visit(Expression expr, NodeChain nc, MethodContext mc, MethodStats ms)",33,17,29,4,4
"one.util.huntbugs.detect.StringConcatInLoop.visit(Expression store, NodeChain nc, MethodContext mc, MethodDefinition md, TypeDefinition td)",38,17,26,3,5
"one.util.huntbugs.detect.RegexProblems.visit(Expression expr, MethodContext mc)",19,17,34,3,2
"one.util.huntbugs.detect.WrongMapIterator.visit(Expression expr, NodeChain nc, MethodContext mc)",31,17,35,2,3
"one.util.huntbugs.detect.SameIfChain.visit(Node node, MethodContext mc, MethodDefinition md, TypeDefinition td)",42,16,40,6,4
"one.util.huntbugs.detect.EqualsContract.visitEquals(Block body, MethodContext mc, TypeDefinition td)",47,16,34,5,3
"one.util.huntbugs.detect.UnnecessaryInstanceOf.visit(Expression node, MethodContext mc, TypeDefinition td)",44,16,44,5,3
"one.util.huntbugs.detect.IteratorContract.visitNext(Block body, MethodContext mc, MethodDefinition md, TypeDefinition td)",33,16,23,5,4
"one.util.huntbugs.detect.FieldAccess.checkSingleMethod(FieldContext fc, FieldDefinition fd, FieldRecord fieldRecord, int flags)",19,16,17,5,4
"one.util.huntbugs.detect.Naming.visitClass(TypeDefinition td, ClassContext cc)",20,16,26,2,2
"one.util.huntbugs.detect.ExposeRepresentation.getField(Expression expr, MethodDefinition md)",19,16,18,2,2
"one.util.huntbugs.flow.Nullness$NullGraphSearch.merge(NullState f1, NullState f2)",17,16,2,1,2
"one.util.huntbugs.db.FieldStats$TypeFieldStats.link(MethodDefinition src, FieldReference fr, boolean isStatic, boolean write, boolean hadNull)",22,15,14,6,5
"one.util.huntbugs.registry.DetectorRegistry.analyzeClass(TypeDefinition type)",78,15,66,5,1
"one.util.huntbugs.detect.FinalizerContract.visitFinalizer(Block body, MethodContext mc, MethodDefinition md)",40,15,31,5,3
"one.util.huntbugs.flow.NullAnnotator$NullDataflow.transferConditionalState(ContextNulls src, Expression expr)",43,15,42,4,2
"one.util.huntbugs.detect.StringIndex.check(Expression node, MethodReference mr, MethodContext mc)",36,15,28,4,3
"one.util.huntbugs.flow.CFG.buildSwitch(final BasicBlock curBlock, BasicBlock nextBlock, JumpContext jc, Switch switchBlock)",51,14,35,6,4
"one.util.huntbugs.flow.CFG$BasicBlock.addTarget(EdgeType type, BasicBlock target)",26,14,2,6,2
"one.util.huntbugs.analysis.Context.preparingClasses(Set<String> classes)",49,14,25,4,1
"one.util.huntbugs.detect.RoughConstant.visit(Expression expr, MethodContext ctx, NodeChain parents)",34,14,16,4,3
"one.util.huntbugs.flow.FrameContext.getInitialFields()",32,14,35,3,0
"one.util.huntbugs.detect.ReturnNull.visit(Expression expr, NodeChain nc, MethodContext mc, MethodDefinition md, TypeDefinition td)",24,14,22,3,5
"one.util.huntbugs.detect.NumericComparison.getIntegralType(Expression expression)",24,14,4,3,1
"one.util.huntbugs.util.Nodes.isBinaryMath(Node node)",19,14,3,3,1
"one.util.huntbugs.input.XmlReportReader.loadAnnotations(Element e)",38,14,61,2,1
"one.util.huntbugs.detect.InvalidMinMax.visit(Node node, MethodContext mc)",38,14,20,1,2
"one.util.huntbugs.util.Methods.resolveToBridge(MethodDefinition md)",28,13,24,8,1
"one.util.huntbugs.detect.UnsafeGetResource.visit(Expression expr, MethodContext mc, TypeHierarchy th)",29,13,25,7,3
"one.util.huntbugs.detect.Internationalization.visit(Expression expr, MethodContext mc)",31,13,32,6,2
"one.util.huntbugs.detect.BadMath.checkWrongPriority(Expression expr, MethodContext mc, MethodDefinition md)",29,13,23,6,3
"one.util.huntbugs.registry.Detector.adapt(Method method, MethodType wantedType, DatabaseRegistry databases)",52,13,35,4,3
"one.util.huntbugs.flow.ConstAnnotator$ConstDataflow.transferConditionalState(ContextValues src, Expression expr)",27,13,17,4,2
"one.util.huntbugs.detect.ConditionChain.check(Expression expr, Block block, MethodContext mc, boolean excluding)",31,13,31,3,4
"one.util.huntbugs.detect.CovariantArrays.visit(Expression expr, MethodContext mc, Hierarchy h)",27,13,18,3,3
"one.util.huntbugs.flow.etype.AndType.append(SingleType st)",26,13,16,3,1
"one.util.huntbugs.detect.StaticFieldNonThreadSafe.visitCall(MethodContext mc, Expression expr, MethodDefinition md, NodeChain nc, TypeDefinition td)",27,13,23,2,5
"one.util.huntbugs.detect.FloatingPointComparison.visit(Expression node, MethodContext ctx, MethodDefinition md)",26,13,23,2,3
"one.util.huntbugs.detect.ExposeRepresentation.visit(Expression expr, NodeChain nc, MethodContext mc, MethodDefinition md, Mutability m)",22,13,24,2,5
"one.util.huntbugs.testdata.TestNonShortCircuit.testNormal(int a, int b)",21,13,0,1,2
"one.util.huntbugs.testdata.TestKnownComparison.testComplexLoop(String ssType, String type)",33,12,10,7,2
"one.util.huntbugs.flow.CFG$DFARunner.run(int maxIteration)",44,12,18,6,1
"one.util.huntbugs.flow.CFG$DFARunner.runIteration(List<BasicBlock> blocks)",43,12,20,6,1
"one.util.huntbugs.filter.AnnotationFilters.getSuppressed(List<CustomAnnotation> annos)",25,12,12,6,1
"one.util.huntbugs.flow.SourceAnnotator$SourceDataflow.makeFact(Frame state, Expression expr)",38,12,19,5,2
"one.util.huntbugs.registry.DetectorRegistry.sortConstructors(List<MethodDefinition> ctors)",34,12,18,5,1
"one.util.huntbugs.flow.SourceAnnotator.makePhiNode(Expression left, Expression right, FrameContext fc)",29,12,19,5,3
"one.util.huntbugs.detect.SyncOnUpdatedField.visit(Expression expr, NodeChain nc, MethodContext mc)",22,12,18,5,3
"one.util.huntbugs.HuntBugs.run(String[] args)",91,12,55,4,1
"one.util.huntbugs.flow.etype.EType.or(EType t1, EType t2)",28,12,7,3,2
"one.util.huntbugs.assertions.MemberAsserter.analyzeMember(MemberReference md)",27,12,30,3,1
"one.util.huntbugs.util.Equi.equiLambdas(Lambda left, Lambda right, EquiContext ctx)",27,12,27,3,3
"one.util.huntbugs.detect.SqlBadArgument.visit(Expression expr, MethodContext mc)",24,12,27,3,2
"one.util.huntbugs.detect.NegativeRemainder.visit(Expression expr, MethodContext mc)",18,12,20,3,2
"one.util.huntbugs.detect.CheckReturnValue.visit(Expression expr, NodeChain nc, MethodContext mc)",25,12,30,2,3
"one.util.huntbugs.detect.UselessVoidMethod.checkMethod(Block root, MethodDefinition md, MethodStats ms, MethodContext mc)",15,12,13,2,4
"one.util.huntbugs.detect.LockProblems.findReplacement(String name, TypeDefinition target)",13,12,17,1,2
"one.util.huntbugs.flow.CFG.graphSearch(GraphSearch<T> gs)",36,11,11,6,1
"one.util.huntbugs.detect.IncorrectVarArg.visit(Expression expr, MethodContext mc)",24,11,23,6,2
"one.util.huntbugs.flow.CFG.buildNode(final BasicBlock curBlock, BasicBlock nextBlock, JumpContext jc, Node node)",21,11,18,6,4
"one.util.huntbugs.detect.UnusedParameter.isEmpty(List<Node> body)",20,11,13,6,1
"one.util.huntbugs.detect.BadMethodCalls.checkConstructor(Expression node, MethodReference mr, MethodContext ctx)",30,11,32,5,3
"one.util.huntbugs.detect.EqualsContract.visitEqualsExpression(Expression expr, MethodContext mc)",25,11,23,5,2
"one.util.huntbugs.detect.FieldAccess.checkWrite(FieldContext fc, FieldDefinition fd, TypeDefinition td, FieldRecord fieldRecord, int flags, boolean isConstantType)",24,11,13,5,6
"one.util.huntbugs.detect.FieldAccess.isMutableCollectionFactory(Expression value, MethodReference mr)",11,11,23,5,2
"one.util.huntbugs.detect.UnnecessaryBoxing.visit(Expression expr, MethodContext mc)",40,11,63,4,2
"one.util.huntbugs.ant.HuntBugsTask.createRepository()",40,11,16,4,0
