"method","loc","cyclo","calls","nbd","param"
"edu.umd.cs.findbugs.workflow.Filter$FilterCommandLine.handleOptionWithArgument(String option, String argument)",83,27,42,4,2
"edu.umd.cs.findbugs.detect.VarArgsProblems.sawOpcode(int seen)",81,27,17,3,1
"edu.umd.cs.findbugs.classfile.engine.ClassParserUsingASM$ClassParserMethodVisitor.visitMethodInsn(int opcode, String owner, String name, String desc, boolean itf)",62,27,18,3,5
"edu.umd.cs.findbugs.detect.FieldItemSummary.sawOpcode(int seen)",64,26,48,6,1
"edu.umd.cs.findbugs.detect.MethodReturnCheck.sawMethodCallWithIgnoredReturnValue()",76,26,59,5,0
"edu.umd.cs.findbugs.detect.AtomicityProblem.sawOpcode(int seen)",68,26,31,4,1
"edu.umd.cs.findbugs.ba.NullnessAnnotationDatabase.getResolvedAnnotation(final Object o, boolean getMinimal)",51,26,39,4,2
"edu.umd.cs.findbugs.cloud.AbstractCloud.getConsensusDesignation(BugInstance b)",75,26,14,3,1
"edu.umd.cs.findbugs.SAXBugCollectionHandler.parseMatcher(String qName, Attributes attributes)",74,26,77,3,2
"edu.umd.cs.findbugs.classfile.engine.ClassParserUsingASM$ClassParserMethodVisitor.visitEnd()",63,26,25,3,0
"edu.umd.cs.findbugs.visitclass.DismantleBytecode.isRegisterStore(int opcode)",36,26,0,3,1
"edu.umd.cs.findbugs.detect.FindReturnRef.sawOpcode(int seen)",71,26,51,2,1
"edu.umd.cs.findbugs.ba.obl.InstructionActionCache.getActions(BasicBlock block, InstructionHandle handle)",106,25,47,9,2
"edu.umd.cs.findbugs.detect.DontIgnoreResultOfPutIfAbsent.getPriorityForBeingMutable(Type type)",57,25,27,9,1
"edu.umd.cs.findbugs.detect.EarlyExitException.visit(Code obj)",42,25,39,8,1
"edu.umd.cs.findbugs.ba.vna.ValueNumberFrame.mergeAvailableLoadSets(ValueNumberFrame other, ValueNumberFactory factory, MergeTree mergeTree)",93,25,50,7,3
"edu.umd.cs.findbugs.ba.generic.GenericSignatureParser$ParameterSignatureIterator.next()",71,25,11,6,0
"edu.umd.cs.findbugs.detect.FindHEmismatch.sawOpcode(int seen)",25,25,37,6,1
