"method","loc","cyclo","calls","nbd","param"
"com.trevisan.umovandroid.action.ActionQuitFieldsScreen.oldUIVersionFlow()",53,14,26,6,0
"com.trevisan.umovandroid.view.materialdesign.ActivityFieldsMD.setUpFieldsComponents()",58,14,37,5,0
"com.trevisan.umovandroid.component.ItemsAndTasksSearchManagerMD.setAdditionalSearchAppearanceAndAction()",81,14,27,1,0
"com.trevisan.umovandroid.dao.customcriteria.ValidationExpressionWhenShowItemsCriteria.createValueStatementWithExpression(ValidationExpressionVO validationExpression, TaskExecutionManager taskExecutionManager)",74,13,62,6,2
"com.trevisan.umovandroid.action.ActionQuitFieldsScreen.goToItems()",25,13,57,6,0
"com.trevisan.umovandroid.action.ActionFinalizeActivityTask1PrePhotos.validateMandatorySections()",82,13,56,5,0
"com.trevisan.umovandroid.service.TaskService.updateTaskDescriptionAndOrdination(Task task)",70,13,24,5,1
"com.trevisan.umovandroid.service.TaskService.getHighestPriorityTasksByActivityType(final List<Task> tasks)",26,13,48,5,1
"com.trevisan.umovandroid.lib.util.StringUtils.split(String text, String[] separators, boolean excludeEmptyAtBegin, boolean excludeEmptyAtEnd, boolean excludeEmptyAtAnyPlace)",65,13,14,4,5
"com.trevisan.umovandroid.adapter.TaskListAdapterNew.getView(final int position, View convertView, ViewGroup parent)",120,13,62,3,3
"com.trevisan.umovandroid.service.MarshmallowOrHigherVersionDangerousPermissionsService.verifyPermissionsOnShowTasks()",37,13,18,3,0
"com.trevisan.umovandroid.lib.expressions.parser.ValueExpressionParser.parseExpression(ValueExpressionVO valueExpression, TTComponent component, ExpressionTreeIterator iterator)",30,13,28,3,3
"com.trevisan.umovandroid.service.TaskFieldService.loadTransientAttributes(TaskField taskField, Task task)",81,13,77,2,2
"com.trevisan.umovandroid.fragment.materialdesign.TaskFragmentMD.configureAdapterLR()",97,12,91,6,0
"com.trevisan.umovandroid.lib.expressions.operand.customEntity.CustomEntityOperand.calculateValue()",53,12,30,6,0
"com.trevisan.umovandroid.dao.CustomEntityEntryDAO.retrieveByCustomEntityIdAndValueOfField(String customFieldIDToReturn, String customEntityId, String customFieldIDToFilter, String valueToFilter)",70,12,28,5,4
"com.trevisan.umovandroid.geoposition.GeoPositionRequester.startRequestWithCurrentProvider()",35,12,20,5,0
"com.trevisan.umovandroid.dao.TaskDAO.getWebRouterSchedules(SystemParameters systemParameters, ActivityType activityType)",95,12,83,4,2
"com.trevisan.umovandroid.service.WorkingJourneyService.createOrUpdateWorkingJourney(Task task, ActivityTask activityTask, ActivityHistorical activityHistorical)",84,12,92,4,3
"com.trevisan.umovandroid.lib.util.DateFormatter.convertValidDBFormatToDate(String formatedText, boolean containsDate, boolean containsTime, Calendar calendar)",67,12,25,4,4
"com.trevisan.umovandroid.service.FieldValidatorService.validateReaderFieldOrTextFieldValue(TTComponent component, Object value, boolean validateReaderField)",57,12,40,4,3
"com.trevisan.umovandroid.service.ActivityTaskService.hasMandatoryAndNotExecutedActivity(ActivityTask currentActivity, Task task)",23,12,24,4,2
"com.trevisan.umovandroid.listdatasource.ListDataSourceFactory.createDataSource(String dataSourceIdentifier, long listFieldId)",58,12,28,3,2
"com.trevisan.umovandroid.lib.expressions.ExpressionsController.notifyFieldValueChanged(long fieldId, TaskExecutionManager taskExecutionManager, boolean runValueExpressions)",66,11,17,6,3
"com.trevisan.umovandroid.dao.customcriteria.ValidationExpressionWhenShowItemsCriteria.convertOperandToSQL(Operand operand, String operator, boolean getValueFromSimpleModel, boolean isNumericCustomField)",40,11,16,6,4
"com.trevisan.umovandroid.lib.expressions.operand.OperandParser.splitArguments(final String arguments, char separator)",49,11,26,5,2
"com.trevisan.umovandroid.model.ActivityListContent.ActivityListContent(Context context, CustomEntity customEntity, List<CustomEntityEntry> customEntityEntryList, ListDataSource listDataSource)",44,11,20,5,4
"com.trevisan.umovandroid.adapter.materialdesign.ItemsAdapterForRecyclerViewMD.getAnswerForSectionFields(int sectionFieldType, Item item)",51,11,21,4,2
"com.trevisan.umovandroid.service.ActivityTaskService.validateAncestorActivitiesThatUnlockExecution(ActivityTask activityTask, Task task)",48,11,36,4,2
"com.trevisan.umovandroid.service.ActivityTaskService.hasActivitiesAncestor(ActivityTask activityTask, Task task)",47,11,20,4,2
"com.trevisan.umovandroid.lib.util.DateFormatter.convertStringDBFormatToDate(String formatedText, boolean containsDate, boolean containsTime, Calendar calendar)",23,11,4,4,4
"com.trevisan.umovandroid.component.TTQualification.manageRadioButtonAnswer(int radioButtonId)",169,11,124,3,1
"com.trevisan.umovandroid.eca.event.EcaSevenBoysDistribuidoraMaisNfeDemo.fluxoObtencaoUrlNotaFiscalEImpressao(final EcaFlowBehavior ecaFlowBehavior, final Context context, final Task task, final ActivityTask activityTask)",59,11,33,3,4
"com.trevisan.umovandroid.dao.ActivityTaskDAO.setContentValuesToCreateOrUpdate(ActivityTask model, ContentValues contentValues)",44,11,86,3,2
"com.trevisan.umovandroid.action.ActionExecuter.checkActionResult(LinkedAction action)",42,11,31,3,1
"com.trevisan.umovandroid.dao.customcriteria.CustomCriteriaItem.getStartSQLStatement(String[] columns, Section section, boolean returnMandatoryField)",41,11,6,3,3
"com.trevisan.umovandroid.view.theme.CustomThemeParser.applyCustomThemeOnView(View view)",37,11,16,3,1
"com.trevisan.umovandroid.action.ActionFinalizeActivityTask5PostConfirmation.stemacProcess()",30,11,31,3,0
"com.trevisan.umovandroid.view.ActivityTaskNew.showCustomFields(List<CustomFieldImpl> customFieldsAllowedToView, LinearLayout container)",28,11,46,3,2
"com.trevisan.umovandroid.lib.expressions.ValidationExpressionMessageGenerator.getBlockMessage(ValidationExpressionVO validationExpressionVO)",21,11,15,3,1
"com.trevisan.umovandroid.component.address.ActivityAddressSectionField.fillFieldsFromUMovAddress(UMovAddress uMovAddress, boolean validateZipcode)",20,11,39,3,2
"com.trevisan.umovandroid.component.TTTextBox.onTextChanged(CharSequence text, int start, int before, int count)",18,11,15,3,4
"com.trevisan.umovandroid.adapter.AlertDialogListAdapter.getView(int position, View convertView, ViewGroup parent)",37,11,40,2,3
"com.trevisan.umovandroid.service.PhoneParametersService.getScreenSize()",22,11,15,1,0
"com.trevisan.umovandroid.sync.SyncController.doSync()",85,10,31,6,0
"com.trevisan.umovandroid.lib.expressions.operand.item.ItemOperand.calculateValue()",60,10,34,6,0
"com.trevisan.umovandroid.lib.expressions.ExpressionsController.setValueExpressions(ValueExpressionVO[] valueExpressions)",34,10,14,6,1
"com.trevisan.umovandroid.service.TaskGPSExecutionService.executeAutomaticallyTasksOutLocation(List<TaskGPSState> taskGPSStates)",21,10,19,6,1
"com.trevisan.umovandroid.action.ActionExecuteSection.loadItemGroupsAndListMasterGroups()",60,10,51,5,0
"com.trevisan.umovandroid.dao.CustomEntityEntryDAO.getCustomFieldValueAlternativeIdentifierOrDescriptionFromCustomEntity(CustomEntityMultipleFilter customEntityMultipleFilter)",53,10,36,5,1
"com.trevisan.umovandroid.action.ActionExecuteSection.verifyPredecessorSection()",51,10,48,5,0
"com.trevisan.umovandroid.service.payment.PaymentService.doSplitFromCustomField(List<SimpleModelFromFieldHistorical> simpleModelsFromFieldHistorical)",46,10,35,5,1
"com.trevisan.umovandroid.service.ItemService.doSearch(String value, Task task, Section section, MasterGroup masterGroup, ItemGroup itemGroup, int limit, TaskExecutionManager taskExecutionManager)",46,10,24,5,7
"com.trevisan.umovandroid.action.ActionExecuteSection.doAction()",44,10,36,5,0
"com.trevisan.umovandroid.geoposition.GeoPositionRequester.setProvider(String provider)",43,10,7,5,1
"com.trevisan.umovandroid.sync.extraction.ExtractionManager.extractOnlineQueryEntities(String data)",42,10,4,5,1
"com.trevisan.umovandroid.view.materialdesign.ActivityTasksMD.onOptionsItemSelected(MenuItem item)",38,10,15,5,1
"com.trevisan.umovandroid.view.materialdesign.ActivityFieldsMD.onActivityResult(int requestCode, int resultCode, Intent intent)",31,10,33,5,3
"com.trevisan.umovandroid.service.ItemService.setActionIconForItemsAdapter(ImageView icon, Item item, ExecutionState executionState, Section section, boolean hasSomeHistoricalFromSectionAndItem, boolean comingFromSectionFieldType, boolean isSectionCompleteAllItemsMode, boolean showEditableSectionFieldsOnListItems, boolean showAsGrid)",22,10,11,5,9
"com.trevisan.umovandroid.sync.MediaSyncController.sendMedia(MediaHistorical mediaHistorical, int mediasRemaining, int mediaIndex, int mediasToSendCount, MediaHistoricalReadyToBeSentService mediaHistoricalReadyToBeSentService)",65,10,32,4,5
"com.trevisan.umovandroid.view.lib.TTActionBarActivity.setActionBarBackButton(final String text, final LinkedAction backAction, boolean showBackIcon)",49,10,30,4,3
"com.trevisan.umovandroid.dao.TaskDAO.getSearchTasksSQLStatementFromTaskAndLocationCustomFields(String value, List<SearchTaskAndLocationField> searchTaskAndLocationFields)",38,10,20,4,2
"com.trevisan.umovandroid.component.address.ActivityAddressSectionField.addAddressFields()",58,10,58,3,0
"com.trevisan.umovandroid.lib.expressions.operand.group.GroupOperand.calculateValue()",49,10,25,3,0
"com.trevisan.umovandroid.view.theme.CustomThemeParser.applyTextColorByButtonsGroup(TextView textView, boolean applyAphaOnHint)",23,10,14,3,2
"com.trevisan.umovandroid.component.TTTextBox.getAnswer()",16,10,12,3,0
"com.trevisan.umovandroid.service.LocalNotificationService.getNotificationCompat()",43,10,38,2,0
"com.trevisan.umovandroid.service.CustomFieldValueService.retrieveByCustomField(CustomField customField, TaskExecutionManager taskExecutionManager)",39,10,27,2,2
"com.trevisan.umovandroid.action.ActionConfirmAddNewTask.flowWithoutConfirmationMessage()",28,10,41,2,0
"com.trevisan.umovandroid.action.ActionVerifyGeoLocationProviders.run()",58,10,31,1,0
"com.trevisan.umovandroid.view.ActivityItemsNew.onOptionsItemSelected(MenuItem item)",38,10,15,1,1
"com.trevisan.umovandroid.service.ExecutionExpressionsFromItemsListService.copyCurrentSelections(TaskExecutionManager taskExecutionManagerToBeCloned, TaskExecutionManager clonedTaskExecutionManager)",12,9,32,10,2
"com.trevisan.umovandroid.lib.expressions.ExpressionsController.executeValueExpression(ValueExpressionVO valueExpression, Set<Long> affectedFieldsIdsSet, TaskExecutionManager taskExecutionManager)",47,9,20,6,3
"com.trevisan.umovandroid.sync.SyncController.finishProcessAfterSync()",33,9,17,6,0
"com.trevisan.umovandroid.service.retroalimentation.RetroalimentationService.executeRetroalimentations(ActivityTask activityTask, ActivityHistorical activityHistorical, int executionMoment, TaskExecutionManager taskExecutionManager)",32,9,21,6,4
"com.trevisan.umovandroid.expressions.ActivityFieldManipulator.getAllValuesFromFieldId(long fieldId)",31,9,16,6,1
"com.trevisan.umovandroid.service.DataCheckingService.getFormattedAnswerSectionWithoutItems(Field field, FieldHistorical historicalFromField)",26,9,19,6,2
"com.trevisan.umovandroid.sync.extraction.ExtractionManager.extractOnlineQueryFields(String record)",56,9,14,5,1
