"method","loc","cyclo","calls","nbd","param"
"me.umov.ureport.dao.PhotoBookDao.sqlFilterByActivity(PhotoBookReportParameters photoBookReportParameters, AbstractPhotoBookSQLFilter params)",16,2,8,2,2
"me.umov.ureport.dao.PhotoBookDao.sqlFilterByLocalClass(PhotoBookReportParameters photoBookReportParameters, PhotoBookSQLFilter sqlParam)",15,2,6,2,2
"me.umov.ureport.dao.PhotoBookDao.sqlOrderBy(PhotoBookReportParameters photoBookReportParameters)",12,2,8,2,1
"me.umov.ureport.dao.PhotoBookDao.sqlFilterByRating(PhotoBookReportParameters photoBookReportParameters, PhotoBookSQLFilter sqlParam)",12,2,7,2,2
"me.umov.ureport.dao.PhotoBookDao.sqlFilterByActivitySection(PhotoBookReportParameters photoBookReportParameters, AbstractPhotoBookSQLFilter params)",11,2,6,2,2
"me.umov.ureport.dao.PhotoBookDao.sqlFilterByAgent(PhotoBookReportParameters photoBookReportParameters, PhotoBookSQLFilter sqlParam)",11,2,6,2,2
"me.umov.ureport.dao.PhotoBookDao.sqlFilterByLocal(PhotoBookReportParameters photoBookReportParameters, PhotoBookSQLFilter sqlParam)",11,2,6,2,2
"me.umov.ureport.dao.PhotoBookDao.sqlFilterByRemovedImages(PhotoBookReportParameters photoBookReportParameters, PhotoBookSQLFilter params)",10,2,6,2,2
"me.umov.ureport.dao.PhotoBookDao.sqlFilterBySelectedImages(PhotoBookReportParameters photoBookReportParameters, PhotoBookSQLFilter params)",10,2,6,2,2
"me.umov.ureport.dao.PhotoBookDao.sqlFilterByTaskExecutionDateInterval(PhotoBookReportParameters photoBookReportParameters, AbstractPhotoBookSQLFilter params)",10,2,6,2,2
"me.umov.ureport.dao.PhotoBookDao.sqlFilterByActivityField(PhotoBookReportParameters photoBookReportParameters, AbstractPhotoBookSQLFilter params)",10,2,3,2,2
"me.umov.ureport.dao.PhotoBookDao.sqlFilterByTaskSituation(PhotoBookReportParameters photoBookReportParameters, AbstractPhotoBookSQLFilter params)",9,2,9,2,2
"me.umov.ureport.dao.PhotoBookDao.sqlFilterByItem(PhotoBookReportParameters photoBookReportParameters, PhotoBookSQLFilter sqlParam)",9,2,3,2,2
"me.umov.ureport.dao.PhotoBookDao.sqlFilterByItemGroup(PhotoBookReportParameters photoBookReportParameters, PhotoBookSQLFilter sqlParam)",9,2,3,2,2
"me.umov.ureport.dao.PhotoBookDao.sqlFilterByItemSubGroup(PhotoBookReportParameters photoBookReportParameters, PhotoBookSQLFilter sqlParam)",9,2,3,2,2
"me.umov.ureport.dao.PhotoBookDao.loadQueryFromFile(String queryname)",8,2,9,2,1
"me.umov.ureport.dao.PhotoBookDao.sqlFilterByTaskId(PhotoBookReportParameters photoBookReportParameters, PhotoBookSQLFilter sqlParam)",6,2,3,2,2
"me.umov.ureport.controller.FilterController.validateAccessToReportWith(Long id)",6,2,1,2,1
"me.umov.ureport.controller.ReportController.validateAccessToReportWith(Long id)",6,2,1,2,1
"me.umov.ureport.model.report.PhotoBookReportParameters.hasActivityFieldsToFilter()",5,2,7,2,0
"me.umov.ureport.service.dbview.PhotoBookService.setAgentLinkedActivities(PhotoBookReportParameters photoBookReportParameters)",5,2,3,2,1
"me.umov.ureport.model.report.PhotoBookReportParameters.getActivityFieldsToQuery()",5,2,2,2,0
"me.umov.ureport.controller.ReportController.getFilterSelected(Filter filter)",5,2,1,2,1
"me.umov.ureport.model.report.PhotoBookReportParameters.getBeginTaskExecutionDateFormatted()",2,2,2,2,0
