"type","dep","i-dep","fan-in","fan-out"
"com.puppycrawl.tools.checkstyle.checks.whitespace.EmptyLineSeparatorCheckTest",10,4,0,5
"com.google.checkstyle.test.chapter4formatting.rule451wheretobreak.InputOperatorWrap",3,0,0,1
"com.puppycrawl.tools.checkstyle.checks.TranslationCheck",29,6,5,22
"com.puppycrawl.tools.checkstyle.utils.JavadocUtilTest",17,9,0,12
"com.puppycrawl.tools.checkstyle.checks.DescendantTokenCheckTest",8,3,0,4
"com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocVariableCheckTest",8,4,0,5
"com.puppycrawl.tools.checkstyle.checks.SuppressWarningsHolder",11,4,13,13
"com.puppycrawl.tools.checkstyle.checks.regexp.RegexpCheckTest",8,3,0,4
"com.puppycrawl.tools.checkstyle.checks.javadoc.AbstractTypeAwareCheck",13,5,1,18
"com.puppycrawl.tools.checkstyle.checks.coding.IllegalTypeCheck",13,6,2,13
"com.puppycrawl.tools.checkstyle.grammar.javadoc.JavadocParseTreeTest",4,1,0,3
"com.puppycrawl.tools.checkstyle.checks.whitespace.EmptyLineSeparatorCheck",11,6,4,10
"com.puppycrawl.tools.checkstyle.checks.coding.equalsavoidnull.InputEqualsAvoidNull",1,0,0,9
"com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocStyleCheck",21,9,1,18
"com.puppycrawl.tools.checkstyle.checks.metrics.NPathComplexityCheck",7,3,9,13
"com.puppycrawl.tools.checkstyle.checks.blocks.RightCurlyCheck",8,6,2,10
"com.puppycrawl.tools.checkstyle.filters.SuppressionsLoaderTest",15,4,0,8
"com.puppycrawl.tools.checkstyle.checks.whitespace.WhitespaceAroundCheck",5,4,3,8
"com.puppycrawl.tools.checkstyle.utils.AnnotationUtilTest",13,3,0,5
"com.puppycrawl.tools.checkstyle.TreeWalker",22,12,21,17
"com.puppycrawl.tools.checkstyle.checks.imports.ImportOrderCheck",9,5,3,9
"com.puppycrawl.tools.checkstyle.checks.naming.AbbreviationAsWordInNameCheckTest",5,3,0,5
"com.puppycrawl.tools.checkstyle.grammar.InputRegressionJavaClass1",11,0,0,0
"com.puppycrawl.tools.checkstyle.checks.annotation.AnnotationUseStyleCheckTest",13,4,0,7
"com.puppycrawl.tools.checkstyle.checks.coding.HiddenFieldCheck",12,5,4,12
"com.puppycrawl.tools.checkstyle.checks.header.RegexpHeaderCheckTest",14,4,0,8
"com.puppycrawl.tools.checkstyle.filters.SuppressionXpathSingleFilterTest",15,7,0,13
"com.puppycrawl.tools.checkstyle.checks.coding.IllegalTypeCheckTest",10,6,0,7
"com.puppycrawl.tools.checkstyle.filters.XpathFilterElementTest",20,7,0,13
"com.puppycrawl.tools.checkstyle.api.LocalizedMessage",18,0,56,10
"com.puppycrawl.tools.checkstyle.checks.annotation.AnnotationLocationCheckTest",8,4,0,5
"com.puppycrawl.tools.checkstyle.checks.javadoc.MissingJavadocTypeCheckTest",8,4,0,5
"com.puppycrawl.tools.checkstyle.api.LocalizedMessageTest",20,0,0,5
"com.puppycrawl.tools.checkstyle.utils.CheckUtil",9,3,25,11
"com.puppycrawl.tools.checkstyle.checks.metrics.NPathComplexityCheckTest",18,10,0,13
"com.puppycrawl.tools.checkstyle.DetailAstImpl",6,2,97,6
"com.puppycrawl.tools.checkstyle.internal.CommitValidationTest",24,0,0,6
"com.puppycrawl.tools.checkstyle.grammar.AstRegressionTest",20,4,0,15
"com.puppycrawl.tools.checkstyle.XpathFileGeneratorAuditListenerTest",22,12,0,18
"com.puppycrawl.tools.checkstyle.checks.whitespace.NoWhitespaceAfterCheckTest",9,4,0,7
"com.puppycrawl.tools.checkstyle.api.AutomaticBeanTest",18,2,0,9
"com.puppycrawl.tools.checkstyle.checks.metrics.ClassFanOutComplexityCheckTest",17,8,0,9
"com.puppycrawl.tools.checkstyle.checks.indentation.AbstractExpressionHandler",4,3,12,6
"com.puppycrawl.tools.checkstyle.api.TokenTypes",1,0,314,0
"com.puppycrawl.tools.checkstyle.checks.metrics.AbstractClassCouplingCheck",20,6,2,21
"com.puppycrawl.tools.checkstyle.filters.SuppressionCommentFilter",15,6,7,14
"com.puppycrawl.tools.checkstyle.AbstractModuleTestSupport",25,4,215,20
"com.puppycrawl.tools.checkstyle.checks.indentation.CommentsIndentationCheckTest",10,6,0,8
"com.puppycrawl.tools.checkstyle.checks.coding.VariableDeclarationUsageDistanceCheckTest",7,3,0,4
"com.puppycrawl.tools.checkstyle.utils.TokenUtilTest",17,3,0,8
