"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa","lcom3"
"com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocStyleCheckTest",369,21,20,21,14,4,0,5,0,0.0
"com.puppycrawl.tools.checkstyle.ConfigurationLoader",365,20,14,42,22,3,10,14,31,0.568760611205433
"com.puppycrawl.tools.checkstyle.utils.CommonUtil",361,26,24,62,22,4,266,13,11,0.9090909090909091
"com.puppycrawl.tools.checkstyle.checks.coding.requirethis.InputRequireThisValidateOnlyOverlappingTrue",360,72,59,86,1,0,0,2,10,0.9464788732394367
"com.google.checkstyle.test.chapter4formatting.rule4842fallthrough.InputFallThrough",360,9,9,122,0,0,0,1,0,0.0
"com.puppycrawl.tools.checkstyle.checks.imports.ImportControlCheckTest",352,36,33,36,18,6,0,9,1,1.0285714285714285
"com.puppycrawl.tools.checkstyle.api.AbstractCheckTest",351,58,56,31,17,4,0,12,4,0.9912280701754386
"com.puppycrawl.tools.checkstyle.PackageObjectFactoryTest",348,24,22,27,30,6,0,18,1,1.0434782608695652
"com.puppycrawl.tools.checkstyle.checks.coding.EqualsAvoidNullCheck",346,39,20,102,8,4,1,9,13,0.8744939271255061
"com.puppycrawl.tools.checkstyle.checks.indentation.commentsindentation.InputCommentsIndentationCommentIsAtTheEndOfBlock",345,78,78,90,0,0,0,6,1,1.0
"com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocTypeCheckTest",342,30,29,30,11,4,0,5,0,0.0
"com.puppycrawl.tools.checkstyle.checks.coding.RequireThisCheckTest",341,25,24,25,19,9,0,13,0,0.0
"com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocTagInfoTest",339,15,15,27,10,3,0,4,0,0.0
"com.puppycrawl.tools.checkstyle.xpath.RootNodeTest",338,30,29,30,17,4,0,6,1,1.0
"com.puppycrawl.tools.checkstyle.checks.imports.CustomImportOrderCheck",334,30,18,77,11,5,4,13,28,0.5344827586206896
"com.puppycrawl.tools.checkstyle.checks.SuppressWarningsHolderTest",331,28,25,28,32,17,0,26,0,0.0
"com.puppycrawl.tools.checkstyle.utils.CheckUtilTest",322,26,23,27,19,5,0,10,0,0.0
"com.puppycrawl.tools.checkstyle.XMLLoggerTest",321,22,21,25,14,4,0,8,2,1.0238095238095237
"com.google.checkstyle.test.chapter4formatting.rule451wheretobreak.InputMethodParamPad",318,9,9,25,2,0,0,1,6,0.6875
"com.puppycrawl.tools.checkstyle.checks.whitespace.EmptyLineSeparatorCheckTest",317,26,25,26,10,4,0,5,0,0.0
"com.google.checkstyle.test.chapter4formatting.rule451wheretobreak.InputOperatorWrap",317,9,9,25,3,0,0,1,5,0.875
"com.puppycrawl.tools.checkstyle.checks.TranslationCheck",314,27,12,53,29,6,5,22,20,0.6730769230769231
"com.puppycrawl.tools.checkstyle.utils.JavadocUtilTest",312,27,25,27,17,9,0,12,0,0.0
"com.puppycrawl.tools.checkstyle.checks.DescendantTokenCheckTest",312,21,20,21,8,3,0,4,0,0.0
"com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocVariableCheckTest",310,14,13,14,8,4,0,5,0,0.0
"com.puppycrawl.tools.checkstyle.checks.SuppressWarningsHolder",309,28,15,79,11,4,13,13,12,0.8148148148148148
"com.puppycrawl.tools.checkstyle.checks.regexp.RegexpCheckTest",308,28,27,28,8,3,0,4,0,0.0
"com.puppycrawl.tools.checkstyle.checks.javadoc.AbstractTypeAwareCheck",306,37,20,64,13,5,1,18,16,0.8315972222222222
"com.puppycrawl.tools.checkstyle.checks.coding.IllegalTypeCheck",305,33,12,77,13,6,2,13,10,0.928125
"com.puppycrawl.tools.checkstyle.grammar.javadoc.JavadocParseTreeTest",302,60,57,60,4,1,0,3,0,0.0
"com.puppycrawl.tools.checkstyle.checks.whitespace.EmptyLineSeparatorCheck",301,28,8,84,11,6,4,10,8,0.8703703703703703
"com.puppycrawl.tools.checkstyle.checks.coding.equalsavoidnull.InputEqualsAvoidNull",300,28,28,9,1,0,0,9,15,0.7728395061728395
"com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocStyleCheck",300,22,10,67,21,9,1,18,14,0.7857142857142857
"com.puppycrawl.tools.checkstyle.checks.metrics.NPathComplexityCheck",299,26,13,80,7,3,9,13,14,0.8342857142857143
"com.puppycrawl.tools.checkstyle.checks.blocks.RightCurlyCheck",299,22,5,53,8,6,2,10,8,0.8333333333333334
"com.puppycrawl.tools.checkstyle.filters.SuppressionsLoaderTest",299,22,19,29,15,4,0,8,0,0.0
"com.puppycrawl.tools.checkstyle.checks.whitespace.WhitespaceAroundCheck",297,28,11,36,5,4,3,8,9,0.8518518518518519
"com.puppycrawl.tools.checkstyle.utils.AnnotationUtilTest",296,23,20,23,13,3,0,5,0,0.0
"com.puppycrawl.tools.checkstyle.TreeWalker",295,21,7,50,22,12,21,17,10,0.93
"com.puppycrawl.tools.checkstyle.checks.imports.ImportOrderCheck",293,26,14,64,9,5,3,9,20,0.632
"com.puppycrawl.tools.checkstyle.checks.naming.AbbreviationAsWordInNameCheckTest",290,16,14,16,5,3,0,5,0,0.0
"com.puppycrawl.tools.checkstyle.grammar.InputRegressionJavaClass1",288,36,33,36,11,0,0,0,9,0.8857142857142857
"com.puppycrawl.tools.checkstyle.checks.annotation.AnnotationUseStyleCheckTest",285,22,21,22,13,4,0,7,0,0.0
"com.puppycrawl.tools.checkstyle.checks.coding.HiddenFieldCheck",282,30,17,92,12,5,4,12,12,0.8362068965517241
"com.puppycrawl.tools.checkstyle.checks.header.RegexpHeaderCheckTest",282,27,26,27,14,4,0,8,0,0.0
"com.puppycrawl.tools.checkstyle.filters.SuppressionXpathSingleFilterTest",281,23,20,23,15,7,0,13,2,0.9772727272727273
"com.puppycrawl.tools.checkstyle.checks.coding.IllegalTypeCheckTest",275,20,19,20,10,6,0,7,0,0.0
"com.puppycrawl.tools.checkstyle.filters.XpathFilterElementTest",274,25,23,25,20,7,0,13,2,0.9791666666666666
"com.puppycrawl.tools.checkstyle.api.LocalizedMessage",269,23,21,37,18,0,56,10,15,0.7121212121212122
"com.puppycrawl.tools.checkstyle.checks.annotation.AnnotationLocationCheckTest",269,19,18,19,8,4,0,5,0,0.0
"com.puppycrawl.tools.checkstyle.checks.javadoc.MissingJavadocTypeCheckTest",266,20,19,20,8,4,0,5,0,0.0
"com.puppycrawl.tools.checkstyle.api.LocalizedMessageTest",265,37,30,26,20,0,0,5,2,0.9861111111111112
"com.puppycrawl.tools.checkstyle.utils.CheckUtil",265,18,14,70,9,3,25,11,10,0.7352941176470589
"com.puppycrawl.tools.checkstyle.checks.metrics.NPathComplexityCheckTest",262,15,13,15,18,10,0,13,0,0.0
"com.puppycrawl.tools.checkstyle.DetailAstImpl",260,27,21,59,6,2,97,6,8,0.8653846153846154
"com.puppycrawl.tools.checkstyle.internal.CommitValidationTest",259,21,12,35,24,0,0,6,14,0.8035714285714285
"com.puppycrawl.tools.checkstyle.grammar.AstRegressionTest",257,29,24,33,20,4,0,15,2,0.9821428571428571
"com.puppycrawl.tools.checkstyle.XpathFileGeneratorAuditListenerTest",256,18,12,19,22,12,0,18,8,0.8308823529411765
"com.puppycrawl.tools.checkstyle.checks.whitespace.NoWhitespaceAfterCheckTest",255,15,13,15,9,4,0,7,0,0.0
"com.puppycrawl.tools.checkstyle.api.AutomaticBeanTest",254,25,23,26,18,2,0,9,10,0.8125
"com.puppycrawl.tools.checkstyle.checks.metrics.ClassFanOutComplexityCheckTest",254,18,17,18,17,8,0,9,0,0.0
