"method","loc","cyclo","calls","nbd","param"
"com.puppycrawl.tools.checkstyle.checks.indentation.indentation.InputIndentationInvalidSwitchIndent.method1()",79,14,6,1,0
"com.puppycrawl.tools.checkstyle.checks.avoidescapedunicodecharacters.InputAvoidEscapedUnicodeCharacters.matches(char c)",20,14,0,1,1
"com.puppycrawl.tools.checkstyle.checks.coding.innerassignment.InputInnerAssignment.method()",16,14,13,1,0
"com.puppycrawl.tools.checkstyle.checks.metrics.booleanexpressioncomplexity.InputBooleanExpressionComplexity.foo()",15,14,0,1,0
"com.puppycrawl.tools.checkstyle.checks.coding.finallocalvariable.InputFinalLocalVariableFalsePositives.foo22()",42,13,2,6,0
"com.puppycrawl.tools.checkstyle.checks.coding.VariableDeclarationUsageDistanceCheck.calculateDistanceBetweenScopes(DetailAST ast, DetailAST variable)",78,13,13,4,2
"com.puppycrawl.tools.checkstyle.checks.coding.equalsavoidnull.InputEqualsAvoidNullNested.foo(Reader in)",37,13,12,4,1
"com.puppycrawl.tools.checkstyle.checks.coding.finallocalvariable.InputFinalLocalVariableAssignedMultipleTimes.foo13(int p, int q, int mode)",56,13,2,3,3
"com.puppycrawl.tools.checkstyle.checks.coding.FallThroughCheck.isTerminated(final DetailAST ast, boolean useBreak, boolean useContinue)",47,13,7,3,3
"com.puppycrawl.tools.checkstyle.checks.metrics.AbstractClassCouplingCheck.visitToken(DetailAST ast)",32,13,8,2,1
"com.puppycrawl.tools.checkstyle.checks.indentation.indentation.InputIndentationValidSwitchIndent.method1()",79,13,7,1,0
"com.google.checkstyle.test.chapter5naming.rule527localvariablenames.InputLocalVariableNameOneCharVarName.fooMethod()",55,13,1,1,0
"com.puppycrawl.tools.checkstyle.checks.imports.CustomImportOrderCheck.getImportGroup(boolean isStatic, String importPath)",40,12,15,5,2
"com.puppycrawl.tools.checkstyle.checks.whitespace.EmptyLineSeparatorCheck.visitToken(DetailAST ast)",39,12,22,4,1
"com.puppycrawl.tools.checkstyle.checks.coding.FinalLocalVariableCheck.leaveToken(DetailAST ast)",38,12,19,4,1
"com.puppycrawl.tools.checkstyle.checks.coding.UnnecessaryParenthesesCheck.visitToken(DetailAST ast)",36,12,21,4,1
"com.puppycrawl.tools.checkstyle.checks.coding.finallocalvariable.InputFinalLocalVariableAssignedMultipleTimes.foo10(String factory1, String factory2)",53,12,2,3,2
"com.puppycrawl.tools.checkstyle.checks.coding.nestedifdepth.InputNestedIfDepth.fooWithElse()",39,12,0,3,0
"com.puppycrawl.tools.checkstyle.checks.coding.RequireThisCheck.endCollectingDeclarations(Queue<AbstractFrame> frameStack, DetailAST ast)",26,12,6,3,2
"com.puppycrawl.tools.checkstyle.checks.indentation.indentation.InputIndentationInvalidForIndent.method1()",60,12,4,2,0
"com.puppycrawl.tools.checkstyle.checks.whitespace.ParenPadCheck.visitToken(DetailAST ast)",29,12,12,2,1
"com.puppycrawl.tools.checkstyle.checks.indentation.indentation.InputIndentationValidIfIndent.emptyIfTest()",59,12,1,1,0
"com.puppycrawl.tools.checkstyle.checks.metrics.BooleanExpressionComplexityCheck.visitToken(DetailAST ast)",28,12,9,1,1
"com.puppycrawl.tools.checkstyle.checks.blocks.needbraces.InputNeedBracesSingleLineStatements.loopTest(Object o)",23,12,9,1,1
"com.puppycrawl.tools.checkstyle.internal.XdocsPagesTest.fixCapturedProperties(String sectionName, Object instance, Class<?> clss, Set<String> properties)",57,11,34,7,4
"com.puppycrawl.tools.checkstyle.checks.coding.finallocalvariable.InputFinalLocalVariableFalsePositives.foo85()",43,11,0,6,0
"com.puppycrawl.tools.checkstyle.checks.coding.finallocalvariable.InputFinalLocalVariableFalsePositives.foo58()",38,11,0,6,0
"com.puppycrawl.tools.checkstyle.checks.coding.finallocalvariable.InputFinalLocalVariableFalsePositives.foo13()",36,11,2,6,0
"com.puppycrawl.tools.checkstyle.checks.imports.CustomImportOrderCheck.finishImportList()",50,11,27,5,0
"com.puppycrawl.tools.checkstyle.checks.coding.VariableDeclarationUsageDistanceCheck.getDistToVariableUsageInChildNode(DetailAST childNode, DetailAST varIdent, int currentDistToVarUsage)",45,11,6,4,3
"com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocStyleCheck.checkHtmlTags(final DetailAST ast, final TextBlock comment)",66,11,31,3,2
"com.puppycrawl.tools.checkstyle.checks.coding.DeclarationOrderCheck.visitToken(DetailAST ast)",35,11,14,3,1
"com.puppycrawl.tools.checkstyle.checks.coding.RequireThisCheck.processIdent(DetailAST ast)",35,11,10,3,1
"com.puppycrawl.tools.checkstyle.checks.annotation.MissingOverrideCheck.visitToken(final DetailAST ast)",30,11,17,3,1
"com.puppycrawl.tools.checkstyle.xpath.ElementNode.iterateAxis(byte axisNumber)",68,11,8,2,1
"com.puppycrawl.tools.checkstyle.xpath.RootNode.iterateAxis(byte axisNumber)",53,11,6,2,1
"com.puppycrawl.tools.checkstyle.checks.blocks.needbraces.InputNeedBracesCaseDefaultNoSingleLine.aMethod(int val)",36,11,2,2,1
