"type","dep","i-dep","fan-in","fan-out"
"me.umov.refill.core.GraphicUpdateQueue",8,0,0,3
"me.umov.refill.builder.widget.TotalDisplacementDataBuilder",16,1,0,2
"me.umov.refill.validator.GeoCoordinateValidatorTest",3,0,0,0
"me.umov.refill.builder.widget.TeamAgentLogDataBuilder",8,2,0,3
"me.umov.refill.builder.widget.AgentTasksBySituation",11,5,0,6
"me.umov.refill.model.TableColumnDataTest",3,0,0,0
"me.umov.refill.service.CustomFieldServiceTest",18,5,0,5
"me.umov.refill.model.Metric",3,0,0,2
"me.umov.refill.core.Process",2,0,0,4
"me.umov.refill.builder.widget.AverageExecutionTimeDataBuilder",19,1,0,2
"me.umov.refill.builder.widget.AgentsMobileVersionDataBuilder",18,5,0,6
"me.umov.refill.builder.widget.AgentTasksPercentageBySituation",11,5,0,6
"me.umov.refill.builder.widget.OnlineOfflineAgentsDataBuilder",18,5,0,6
"me.umov.refill.builder.map.TrackingMapDataBuilder",11,3,2,5
"me.umov.refill.service.ActivityFieldServiceTest",16,5,0,5
"me.umov.refill.template.TemplateService",8,4,9,4
"me.umov.refill.builder.widget.LastExecutedTasksDataBuilder",13,2,0,3
"me.umov.refill.builder.widget.CustomEntitiesTableDataBuilder",10,2,0,3
"me.umov.refill.builder.widget.AgentsWithoutExecutionsDataBuilder",21,2,0,3
"me.umov.refill.builder.widget.AgentsWithExecutionsDataBuilder",19,2,0,3
"me.umov.refill.builder.widget.LocalsWithExecutionsDataBuilder",19,2,0,3
"me.umov.refill.builder.widget.AgentExecutedActivitiesDataBuilder",11,5,0,6
"me.umov.refill.builder.widget.TaskExecutedInWeekDataBuilder",12,5,0,6
"me.umov.refill.builder.widget.TaskExecutionsPerTeamDataBuilder",12,5,0,6
"me.umov.refill.builder.widget.AgentExecutedTasksDataBuilder",11,5,0,6
"me.umov.refill.builder.widget.TopFiveVisitedLocalsDataBuilder",12,5,0,6
"me.umov.refill.builder.widget.TasksPerSituationDataBuilder",12,5,0,6
"me.umov.refill.builder.widget.ActivityExecutionsPerTimeDataBuilder",12,5,0,6
"me.umov.refill.builder.widget.TaskExecutionsPerTimeDataBuilder",12,5,0,6
"me.umov.refill.builder.widget.ActivityExecutionsDataBuilder",12,5,0,6
"me.umov.refill.service.AbstractServiceTest",13,2,0,2
"me.umov.refill.core.ShutdownSigner",3,0,2,6
"me.umov.refill.builder.widget.AgentDailyHoursDataBuilder",8,2,0,3
"me.umov.refill.builder.widget.LocalsWithCheckoutExecutedDataBuilder",18,1,0,2
"me.umov.refill.builder.widget.AgentDailyResumeTableDataBuilder",16,2,0,3
"me.umov.refill.builder.widget.LocalsWithAndWithoutExecutionsDataBuilder",12,5,0,6
"me.umov.refill.builder.widget.PeopleWithExecutedActivitiesDataBuilder",18,1,0,2
"me.umov.refill.service.GraphicServiceTest",12,5,0,5
"me.umov.refill.model.column.EntityTest",7,2,0,2
"me.umov.refill.core.GraphicUpdateWorker",6,2,0,5
"me.umov.refill.builder.widget.customtable.ActivityCustomColumn",9,5,0,7
"me.umov.refill.model.map.MarkerInfoTest",6,0,0,1
"me.umov.refill.builder.map.AbstractMapRouteDataBuilder",6,4,3,8
"me.umov.refill.core.GraphicUpdateManager",6,1,2,5
"me.umov.refill.persistence.RouteResultTransformerTest",8,2,0,3
"me.umov.refill.persistence.ArrayAsListTypeTest",12,0,0,0
"me.umov.refill.builder.widget.CustomEntitiesRowActionFactoryTest",13,8,0,8
"me.umov.refill.builder.widget.TasksWithoutCheckOutDataBuilder",11,2,0,3
"me.umov.refill.builder.widget.AgentsManagementDataBuilder",10,2,1,3
"me.umov.refill.builder.widget.TeamsManagementDataBuilder",10,2,1,3
"me.umov.refill.core.ShutdownSignerTest",8,0,0,0
"me.umov.refill.geo.CabralGeoProcessor",8,2,1,4
"me.umov.refill.injection.TransactionManager",3,0,3,1
"me.umov.refill.model.builder.TableDataBuilder",6,3,2,3
"me.umov.refill.builder.widget.MapTaskExecutionDataBuilderTest",9,0,0,0
"me.umov.refill.builder.map.AgentTrackingMapDataBuilder",7,2,2,6
