"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa"
"me.umov.refill.builder.map.AgentTrackingMapDataBuilderTest",57,5,5,6,14,5,0,5,2
"me.umov.refill.dao.GraphicDataDaoTest",56,4,4,4,18,9,0,10,1
"me.umov.refill.geo.CabralGeoProcessorTest",56,3,2,3,17,2,0,3,2
"me.umov.refill.util.Miscellaneous",55,11,11,15,2,0,1,5,0
"me.umov.refill.types.GraphicEntityTest",55,10,9,10,12,0,0,1,0
"me.umov.refill.interceptor.TransactionInterceptorTest",55,6,4,6,14,2,0,4,3
"me.umov.refill.builder.widget.NextTasksForExecutionDataBuilder",55,6,1,6,24,2,0,3,0
"me.umov.refill.RefillTest",55,4,4,4,13,4,0,5,4
"me.umov.refill.builder.widget.customtable.EntitiesCustomColumn",54,5,1,8,10,5,0,7,2
"me.umov.refill.persistence.PersistenceHelper",53,6,6,12,15,1,0,5,2
"me.umov.refill.builder.widget.ActivityExecutionsPerTypeDataBuilder",53,5,1,5,24,5,0,6,0
"me.umov.refill.builder.widget.ImageCollectedPerActivityDataBuilder",53,5,1,5,24,5,0,6,0
"me.umov.refill.builder.widget.PeopleWithAndWithoutExecutionsDataBuilder",53,5,1,5,24,5,0,6,0
"me.umov.refill.builder.widget.CustomEntitiesTableDataBuilderTest",53,4,4,4,20,8,0,8,2
"me.umov.refill.model.builder.TableDataBuilderTest",52,5,5,5,15,5,0,7,0
"me.umov.refill.builder.widget.AbstractCardDataBuilder",51,5,1,11,10,4,19,6,0
"me.umov.refill.model.TestModel",50,12,12,12,3,0,8,1,6
"me.umov.refill.persistence.GraphicDataRowResultTransformerTest",50,5,4,7,7,1,0,3,1
"me.umov.refill.geo.DirectionsServiceTest",50,2,2,2,19,1,0,1,3
"me.umov.refill.model.column.Entity",49,9,8,11,4,0,8,1,4
"me.umov.refill.model.GraphicIcon",48,8,8,8,6,0,3,1,5
"me.umov.refill.Refill",48,6,2,7,7,3,1,7,5
"me.umov.refill.fixture.GraphicDataRowFixture",47,10,10,11,7,1,7,2,1
"me.umov.refill.model.TableData",47,10,10,10,4,0,2,0,5
"me.umov.refill.core.GraphicUpdateQueue",47,8,8,9,8,0,0,3,5
"me.umov.refill.builder.widget.TotalDisplacementDataBuilder",47,5,1,6,16,1,0,2,0
"me.umov.refill.validator.GeoCoordinateValidatorTest",46,7,7,7,3,0,0,0,1
"me.umov.refill.builder.widget.TeamAgentLogDataBuilder",46,5,1,5,8,2,0,3,0
"me.umov.refill.builder.widget.AgentTasksBySituation",46,5,1,5,11,5,0,6,0
"me.umov.refill.model.TableColumnDataTest",46,4,4,4,3,0,0,0,0
"me.umov.refill.service.CustomFieldServiceTest",46,2,2,2,18,5,0,5,4
"me.umov.refill.model.Metric",45,9,9,10,3,0,0,2,5
"me.umov.refill.core.Process",45,8,3,11,2,0,0,4,3
"me.umov.refill.builder.widget.AverageExecutionTimeDataBuilder",45,5,1,5,19,1,0,2,0
"me.umov.refill.builder.widget.AgentsMobileVersionDataBuilder",45,5,1,5,18,5,0,6,0
"me.umov.refill.builder.widget.AgentTasksPercentageBySituation",45,5,1,5,11,5,0,6,0
"me.umov.refill.builder.widget.OnlineOfflineAgentsDataBuilder",45,5,1,5,18,5,0,6,0
"me.umov.refill.builder.map.TrackingMapDataBuilder",45,4,0,9,11,3,2,5,1
"me.umov.refill.service.ActivityFieldServiceTest",45,3,3,3,16,5,0,5,3
"me.umov.refill.template.TemplateService",44,9,9,9,8,4,9,4,3
"me.umov.refill.builder.widget.LastExecutedTasksDataBuilder",44,6,1,6,13,2,0,3,0
"me.umov.refill.builder.widget.CustomEntitiesTableDataBuilder",44,6,1,7,10,2,0,3,0
"me.umov.refill.builder.widget.AgentsWithoutExecutionsDataBuilder",44,5,1,5,21,2,0,3,0
"me.umov.refill.builder.widget.AgentsWithExecutionsDataBuilder",43,5,1,5,19,2,0,3,0
"me.umov.refill.builder.widget.LocalsWithExecutionsDataBuilder",43,5,1,5,19,2,0,3,0
"me.umov.refill.builder.widget.AgentExecutedActivitiesDataBuilder",43,5,1,5,11,5,0,6,0
"me.umov.refill.builder.widget.TaskExecutedInWeekDataBuilder",42,5,1,5,12,5,0,6,0
"me.umov.refill.builder.widget.TaskExecutionsPerTeamDataBuilder",42,5,1,5,12,5,0,6,0
"me.umov.refill.builder.widget.AgentExecutedTasksDataBuilder",42,5,1,5,11,5,0,6,0
"me.umov.refill.builder.widget.TopFiveVisitedLocalsDataBuilder",42,5,1,5,12,5,0,6,0
"me.umov.refill.builder.widget.TasksPerSituationDataBuilder",42,5,1,5,12,5,0,6,0
"me.umov.refill.builder.widget.ActivityExecutionsPerTimeDataBuilder",42,5,1,5,12,5,0,6,0
