"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa"
"br.com.trevisantecnologia.centerweb.service.WorkspaceServiceTest",357,38,36,38,35,15,0,16,10
"br.com.trevisantecnologia.centerweb.model.Itinerary",348,61,61,76,23,2,35,6,26
"br.com.trevisantecnologia.centerweb.business.ClientValidatorTest",337,50,50,50,22,11,0,11,7
"br.com.trevisantecnologia.centerweb.util.UserInfoTest",332,48,48,48,35,11,0,13,4
"br.com.trevisantecnologia.centerweb.business.CustomFieldValidatorTest",332,43,43,43,30,12,0,12,9
"br.com.trevisantecnologia.centerweb.service.ActivityHistoryServiceTest",332,25,23,31,40,21,0,22,8
"br.com.trevisantecnologia.centerweb.controller.AuthenticationControllerTest",326,24,23,24,65,33,0,34,25
"br.com.trevisantecnologia.centerweb.dao.impl.ServiceLocalHibernateDaoImplTest",321,30,30,30,27,10,0,12,2
"br.com.trevisantecnologia.centerweb.model.ExportLayout",320,56,56,62,30,0,41,1,27
"br.com.trevisantecnologia.centerweb.model.ActivityType",317,58,58,62,24,0,16,3,27
"br.com.trevisantecnologia.centerweb.controller.SystemParametersController",315,21,7,53,40,16,0,19,11
"br.com.trevisantecnologia.centerweb.service.FieldService",311,30,26,69,27,14,5,17,8
"br.com.trevisantecnologia.centerweb.service.ActivityHistoryService",308,26,20,81,35,20,11,23,10
"br.com.trevisantecnologia.centerweb.factory.ImportLayoutFactoryTest",304,30,25,37,50,16,0,20,8
"br.com.trevisantecnologia.centerweb.service.ItineraryService",304,26,16,73,35,20,14,23,14
"br.com.trevisantecnologia.centerweb.service.ExportLayoutServiceTest",300,25,23,25,51,18,0,21,18
"br.com.trevisantecnologia.centerweb.controller.ServiceLocalControllerTest",300,19,19,19,61,34,0,34,33
"br.com.trevisantecnologia.centerweb.service.media.MediaService",297,37,19,60,36,16,41,23,10
"br.com.trevisantecnologia.centerweb.dao.impl.AgentHibernateDaoImplTest",297,30,30,30,30,8,0,10,1
"br.com.trevisantecnologia.centerweb.fixture.SectionFieldFixture",294,57,56,58,21,9,30,10,1
"br.com.trevisantecnologia.centerweb.service.ExportLayoutService",294,34,24,60,31,11,13,15,9
"br.com.trevisantecnologia.centerweb.controller.ItineraryController",293,30,18,55,45,18,0,22,8
"br.com.trevisantecnologia.centerweb.service.ActivityService",289,37,29,88,17,7,38,9,12
"br.com.trevisantecnologia.centerweb.service.SystemParametersService",289,27,26,36,46,12,39,16,6
"br.com.trevisantecnologia.centerweb.service.MathExpressionService",288,33,30,48,46,12,9,15,3
"br.com.trevisantecnologia.centerweb.service.TeamServiceTest",287,31,31,31,33,13,0,13,9
"br.com.trevisantecnologia.centerweb.model.Graphic",286,51,51,75,31,0,40,3,22
"br.com.trevisantecnologia.centerweb.dao.impl.AbstractGenericHibernateDaoTest",283,30,27,31,33,9,0,12,2
"br.com.trevisantecnologia.centerweb.controller.AgentControllerTest",282,27,26,27,48,21,0,22,17
"br.com.trevisantecnologia.centerweb.controller.AuthenticationController",282,26,12,41,42,21,4,22,17
"br.com.trevisantecnologia.centerweb.controller.AgentTeamControllerTest",282,18,18,18,27,8,0,10,6
"br.com.trevisantecnologia.centerweb.model.GeoCoordinate",280,53,53,56,24,0,13,3,30
"br.com.trevisantecnologia.centerweb.api.APIQueryStringDataTest",279,32,31,35,37,19,0,21,3
"br.com.trevisantecnologia.centerweb.service.TaskMailServiceTest",279,26,23,27,37,15,0,17,13
