"method","loc","cyclo","calls","nbd","param"
"br.com.trevisantecnologia.centerweb.controller.MacroController.list(SectionField sectionField, final Long objectType, final Long objectCode, String macroType, String formulaTypeValue)",23,11,20,1,5
"br.com.trevisantecnologia.centerweb.umobutilitieslib.impl.AgentManagerImpl.getPersonFieldValue(int fieldId)",27,11,10,0,1
"br.com.trevisantecnologia.centerweb.umobutilitieslib.impl.LocationManagerImpl.getCurrentLocationFieldValue(final int field)",26,11,41,0,1
"br.com.trevisantecnologia.centerweb.umobutilitieslib.impl.TaskManagerImpl.getCurrentTaskFieldValue(final int field)",26,11,31,0,1
"br.com.trevisantecnologia.centerweb.model.WeekdaysActivity.equals(Object obj)",24,11,0,0,1
"br.com.trevisantecnologia.centerweb.model.WeekdaysItinerary.equals(Object obj)",24,11,0,0,1
"br.com.trevisantecnologia.centerweb.model.WeekdaysServiceLocalActivity.equals(Object obj)",24,11,0,0,1
"br.com.trevisantecnologia.centerweb.service.ActivityExecutionService.removeFieldValuesOfNotFilledItems(final ExecutionActivity executionActivity, final List<ExecutionValue> filledItems)",39,10,13,7,2
"br.com.trevisantecnologia.centerweb.util.ExecutionUtils.applyValuesOnActivityHistory(final ActivityHistory activityHistory, final List<ExecutionValue> executionValues)",33,10,22,7,2
"br.com.trevisantecnologia.centerweb.service.ActivityHistoryService.save(ActivityHistory activityHistory, List<ExecutionValue> filledItems)",42,10,32,5,2
"br.com.trevisantecnologia.centerweb.controller.FieldCustomSettingController.form(final String entityName)",40,10,52,4,1
"br.com.trevisantecnologia.centerweb.controller.ActivityController.validateActivity(Activity activity)",40,10,27,3,1
"br.com.trevisantecnologia.centerweb.api.service.ApiActivityHistoryCreationService.createHistory(ApiActivityHistory apiActivityHistory)",36,10,37,3,1
"br.com.trevisantecnologia.centerweb.controller.RouterPopupController.getRouteParameters(String serviceLocalsIds, String schedulesIds, String agentsIds)",31,10,16,3,3
"br.com.trevisantecnologia.centerweb.api.ApiQueryStringData.setParsedFieldValue(Object instance, Field field, String value)",29,10,26,3,3
"br.com.trevisantecnologia.centerweb.util.Pagination.getLinks()",40,10,14,2,0
"br.com.trevisantecnologia.centerweb.controller.FieldController.save(Field field, String[] listItems)",37,10,35,2,2
"br.com.trevisantecnologia.centerweb.service.ItineraryService.setDefaultValues(Long id, Itinerary itinerary)",35,10,25,2,2
"br.com.trevisantecnologia.centerweb.dao.impl.SectionItemHibernateDaoImpl.filterSelectedItems(final Long sectionId, final SectionItem filter)",32,10,40,2,2
"br.com.trevisantecnologia.centerweb.util.JpegReader.checkAdobeMarker(File file)",16,10,3,2,1
"br.com.trevisantecnologia.centerweb.model.ServiceLocal.getAddressToGeoCordinate()",34,10,27,1,0
"br.com.trevisantecnologia.centerweb.model.AgentGeoCordinate.getAddress(Agent entity)",35,10,42,0,1
"br.com.trevisantecnologia.centerweb.geo.geocoder.AddressToGeocoderBuilder.build(Address entity)",30,10,44,0,1
"br.com.trevisantecnologia.centerweb.service.ActivityExecutionService.updateExecutionActivityWithNewFieldValues(final ExecutionActivity executionActivity, final List<ExecutionValue> executionValues)",28,9,16,7,2
"br.com.trevisantecnologia.centerweb.geo.geocoder.Base64.decode4to3(byte[] source, int srcOffset, byte[] destination, int destOffset, int options)",95,9,3,5,5
"br.com.trevisantecnologia.centerweb.service.TrackingService.setWorkSchedules(final List<Schedule> schedules, final MilestoneProtocol milestoneProtocol, final Activity activity)",43,9,40,5,3
"br.com.trevisantecnologia.centerweb.service.ActivityHistoryService.validaDuplicidadeCartaoDeCreditoBradesco(ActivityHistory activityHistory)",37,9,22,5,1
"br.com.trevisantecnologia.centerweb.service.ScheduleService.setGeneralValues(Long scheduleId, Schedule schedule)",34,9,25,5,2
"br.com.trevisantecnologia.centerweb.service.ServiceLocalService.setDefaultValues(Long id, ServiceLocal local)",32,9,29,5,2
"br.com.trevisantecnologia.centerweb.service.ServiceLocalService.addressForMapBaloon(ServiceLocal local)",28,9,39,5,1
"br.com.trevisantecnologia.centerweb.dao.impl.ScheduleHibernateDaoImpl.existsActivitiesByScheduleOrigin(Schedule schedule)",26,9,27,5,1
"br.com.trevisantecnologia.centerweb.service.ScheduleService.validateHourInterval(Schedule schedule)",14,9,14,5,1
"br.com.trevisantecnologia.centerweb.service.GeoCoordinateService.mountProtocol(final List<GeoCoordinate> list, final int type)",55,9,60,4,2
"br.com.trevisantecnologia.centerweb.service.SectionItemService.deleteUnboundSectionItems(final List<SectionItem> previousSectionItems, final Map<Long,Boolean> sectionItemInfo)",25,9,8,4,2
"br.com.trevisantecnologia.centerweb.controller.DictionaryController.wizard()",59,9,65,3,0
"br.com.trevisantecnologia.centerweb.geo.router.UFRGSRouter.applyResultToRouting(RoutingImpl result, Routing<P> routing)",21,9,12,3,2
"br.com.trevisantecnologia.centerweb.controller.ExporterController.validateConsistencyPeriod(LocalDate initialDate, LocalDate finalDate, LocalTime initialTime, LocalTime finalTime)",20,9,16,3,4
"br.com.trevisantecnologia.centerweb.model.AccessRole.hasAnyModulePermissionAction(ModuleResources moduleResource, String permission, ModuleActions moduleAction)",13,9,7,3,3
"br.com.trevisantecnologia.centerweb.service.AgentService.isAgentOkToReceiveSms(final Agent agent)",12,9,5,3,1
