"type","dep","i-dep","fan-in","fan-out"
"br.com.trevisantecnologia.centerweb.controller.ServiceLocalControllerTest",61,34,0,34
"br.com.trevisantecnologia.centerweb.service.media.MediaService",36,16,41,23
"br.com.trevisantecnologia.centerweb.dao.impl.AgentHibernateDaoImplTest",30,8,0,10
"br.com.trevisantecnologia.centerweb.fixture.SectionFieldFixture",21,9,30,10
"br.com.trevisantecnologia.centerweb.service.ExportLayoutService",31,11,13,15
"br.com.trevisantecnologia.centerweb.controller.ItineraryController",45,18,0,22
"br.com.trevisantecnologia.centerweb.service.ActivityService",17,7,38,9
"br.com.trevisantecnologia.centerweb.service.SystemParametersService",46,12,39,16
"br.com.trevisantecnologia.centerweb.service.MathExpressionService",46,12,9,15
"br.com.trevisantecnologia.centerweb.service.TeamServiceTest",33,13,0,13
"br.com.trevisantecnologia.centerweb.model.Graphic",31,0,40,3
"br.com.trevisantecnologia.centerweb.dao.impl.AbstractGenericHibernateDaoTest",33,9,0,12
"br.com.trevisantecnologia.centerweb.controller.AgentControllerTest",48,21,0,22
"br.com.trevisantecnologia.centerweb.controller.AuthenticationController",42,21,4,22
"br.com.trevisantecnologia.centerweb.controller.AgentTeamControllerTest",27,8,0,10
"br.com.trevisantecnologia.centerweb.model.GeoCoordinate",24,0,13,3
"br.com.trevisantecnologia.centerweb.api.APIQueryStringDataTest",37,19,0,21
"br.com.trevisantecnologia.centerweb.service.TaskMailServiceTest",37,15,0,17
"br.com.trevisantecnologia.centerweb.controller.ExportLayoutPopupController",38,20,0,24
"br.com.trevisantecnologia.centerweb.eca.connector.Connector",48,23,8,31
"br.com.trevisantecnologia.centerweb.service.AbstractServiceTest",47,14,0,15
"br.com.trevisantecnologia.centerweb.dao.impl.ScheduleHibernateDaoImplTest",38,11,0,14
"br.com.trevisantecnologia.centerweb.api.service.ApiActivityHistoryCreationService",28,7,2,11
"br.com.trevisantecnologia.centerweb.service.GeoCoordinateService",20,8,4,13
"br.com.trevisantecnologia.centerweb.model.Message",36,0,10,2
"br.com.trevisantecnologia.centerweb.fixture.ConnectorFixture",13,1,6,2
"br.com.trevisantecnologia.centerweb.controller.GraphicController",39,12,1,16
"br.com.trevisantecnologia.centerweb.helper.FieldCustomSettingViewHelper",22,2,6,14
"br.com.trevisantecnologia.centerweb.model.schedule.notification.ScheduleNotification",31,3,7,6
"br.com.trevisantecnologia.centerweb.controller.WorkspaceController",31,11,0,13
"br.com.trevisantecnologia.centerweb.controller.DashboardControllerTest",44,15,0,17
"br.com.trevisantecnologia.centerweb.model.ViewActivityHistory",4,0,0,0
"br.com.trevisantecnologia.centerweb.util.ExecutionUtils",24,15,1,19
"br.com.trevisantecnologia.centerweb.model.Media",29,0,28,5
