"method","loc","cyclo","calls","nbd","param"
"jdepend.swingui.PackageNode.toString()",13,2,5,3,0
"jdepend.framework.ClassFileParser.parseInterfaces()",12,2,6,3,0
"jdepend.framework.JDepend.setComponents(String components)",12,2,3,3,1
"jdepend.swingui.PackageNode.isLeaf()",12,2,2,3,0
"jdepend.framework.JDepend.addPackages(Collection packages)",11,2,4,3,1
"jdepend.framework.FileManager.extractFiles()",10,2,4,3,0
"jdepend.framework.JDepend.addPackage(JavaPackage pkg)",10,2,3,3,1
"jdepend.framework.PropertyConfigurator.getAnalyzeInnerClasses()",9,2,3,3,0
"jdepend.framework.ClassFileParser.toUTF8(int entryIndex)",8,2,3,3,1
"jdepend.framework.ClassFileParser.getClassConstantName(int entryIndex)",7,2,4,3,1
"jdepend.framework.ClassFileParser.parseMagic()",7,2,1,3,0
"jdepend.framework.JDepend.getFilter()",6,2,0,3,0
"jdepend.framework.FileManager.acceptClassFile(File file)",5,2,3,3,1
"jdepend.framework.JDepend.setFilter(PackageFilter filter)",5,2,1,3,1
"jdepend.framework.FileManager.addFile(File f, Collection files)",4,2,2,3,2
"jdepend.framework.JavaPackage.instability()",13,2,3,2,0
"jdepend.framework.JavaPackage.abstractness()",10,2,3,2,0
"jdepend.framework.CycleTest.assertListEquals(List list, String names[])",7,2,5,2,2
"jdepend.framework.JavaPackage.equals(Object other)",6,2,3,2,1
"jdepend.framework.PackageFilter.addPackages(Collection packageNames)",4,2,4,2,1
"jdepend.framework.ExampleTest.testAllPackagesDistance()",16,2,7,1,0
"jdepend.framework.ExampleTest.setUp()",16,2,5,1,0
"jdepend.swingui.AfferentNode.toString()",13,2,4,1,0
"jdepend.swingui.EfferentNode.toString()",13,2,4,1,0
"jdepend.framework.JDependTestCase.setUp()",13,2,3,1,0
"jdepend.swingui.DependTree.valueChanged(TreeSelectionEvent te)",13,2,2,1,1
"jdepend.framework.PackageComparator.compare(Object p1, Object p2)",10,2,5,1,2
"jdepend.framework.AbstractParser.onParsedJavaClass(JavaClass jClass)",10,2,4,1,1
"epayment.processor.PaymentProcessor.getProcessor()",10,2,0,1,0
"jdepend.framework.JavaClass.equals(Object other)",8,2,3,1,1
"jdepend.framework.CollectAllCyclesTest.assertListEquals(List list, String names[])",7,2,5,1,2
"jdepend.swingui.DependTree.getTree()",6,2,1,1,0
"jdepend.framework.AbstractParser.getFilter()",5,2,1,1,0
"jdepend.framework.JavaClass.addImportedPackage(JavaPackage jPackage)",4,2,5,1,1
"jdepend.framework.AbstractParser.debug(String message)",4,2,1,1,1
"jdepend.swingui.JDepend.JDepend()",33,1,8,4,0
"jdepend.textui.JDepend.analyze()",24,1,10,4,0
"jdepend.swingui.JDepend.createUI()",23,1,14,4,0
"jdepend.textui.JDepend.printStatistics(JavaPackage jPackage)",22,1,41,4,1
"jdepend.swingui.JDepend.analyze()",18,1,8,4,0
"jdepend.swingui.JDepend.createTreePanel()",18,1,5,4,0
"jdepend.swingui.JDepend.createFrame(String title)",15,1,4,4,1
"jdepend.swingui.JDepend.onParsedJavaClass(final JavaClass jClass)",13,1,1,4,1
"jdepend.swingui.JDepend.createStatusField()",12,1,6,4,0
"jdepend.textui.JDepend.JDepend(PrintWriter writer)",12,1,3,4,1
"jdepend.swingui.JDepend.updateTree(ArrayList packages)",11,1,6,4,1
"jdepend.swingui.JDepend.stopProgressMonitor()",11,1,1,4,0
"jdepend.swingui.JDepend.addDirectory(String name)",9,1,1,4,1
"jdepend.swingui.JDepend.startProgressMonitor(final int maxValue)",9,1,1,4,1
"jdepend.textui.JDepend.addDirectory(String name)",9,1,1,4,1
"jdepend.swingui.JDepend$AboutAction.actionPerformed(ActionEvent e)",8,1,3,4,1
"jdepend.textui.JDepend.analyzeInnerClasses(boolean b)",8,1,1,4,1
"jdepend.textui.JDepend.printCyclesHeader()",7,1,7,4,0
"jdepend.swingui.JDepend.postStatusError(final String message)",7,1,1,4,1
"jdepend.swingui.JDepend.postStatusMessage(final String message)",7,1,1,4,1
"jdepend.swingui.JDepend.setFilter(PackageFilter filter)",7,1,1,4,1
"jdepend.textui.JDepend.setFilter(PackageFilter filter)",7,1,1,4,1
"jdepend.textui.JDepend.setWriter(PrintWriter writer)",7,1,0,4,1
"jdepend.textui.JDepend.printPackageHeader(JavaPackage jPackage)",6,1,7,4,1
"jdepend.swingui.JDepend$ExitAction.actionPerformed(ActionEvent e)",6,1,2,4,1
"jdepend.swingui.JDepend.createStatusPanel()",5,1,2,4,0
"jdepend.swingui.JDepend.setComponents(String components)",5,1,1,4,1
"jdepend.textui.JDepend.setComponents(String components)",5,1,1,4,1
"jdepend.swingui.JDepend.createProgressBar()",5,1,1,4,0
"jdepend.swingui.JDepend$AboutAction.AboutAction()",5,1,0,4,0
"jdepend.swingui.JDepend$ExitAction.ExitAction()",5,1,0,4,0
"jdepend.textui.JDepend.JDepend()",5,1,0,4,0
"jdepend.swingui.JDepend.showStatusError(final String message)",4,1,6,4,1
"jdepend.swingui.JDepend.showStatusMessage(final String message)",4,1,6,4,1
"jdepend.swingui.JDepend$TreeListener.TreeListener()",4,1,0,4,0
"jdepend.textui.JDepend.printCycleHeader(JavaPackage jPackage)",3,1,6,4,1
"jdepend.swingui.JDepend.display()",3,1,2,4,0
"jdepend.textui.JDepend.printNoStats()",3,1,2,4,0
"jdepend.textui.JDepend.printClassName(JavaClass jClass)",2,1,4,4,1
"jdepend.textui.JDepend.printCycleContributor(JavaPackage jPackage)",2,1,4,4,1
"jdepend.textui.JDepend.printCycleTarget(JavaPackage jPackage)",2,1,4,4,1
"jdepend.textui.JDepend.printPackageName(JavaPackage jPackage)",2,1,4,4,1
"jdepend.textui.JDepend.printAfferentsError()",2,1,3,4,0
"jdepend.textui.JDepend.printEfferentsError()",2,1,3,4,0
"jdepend.framework.DependencyConstraint.equalsDependencies(JavaPackage a, JavaPackage b)",2,1,2,4,2
"jdepend.textui.JDepend.printAbstractClassesHeader()",2,1,2,4,0
"jdepend.textui.JDepend.printAfferentsHeader()",2,1,2,4,0
"jdepend.textui.JDepend.printConcreteClassesHeader()",2,1,2,4,0
"jdepend.textui.JDepend.printEfferentsHeader()",2,1,2,4,0
