"metric","1stQ","3rdQ","avg","median","min","max","max-min","stddev","u-fence","threshold"
"MLOC",2.0,12.0,8.93731343283582,6.0,1.0,58.0,57.0,8.815130070253712,27.0,30.0
"CYCLO",1.0,2.0,1.7164179104477613,1.0,1.0,15.0,14.0,1.585437179213182,3.5,10.0
"CALLS",0.0,4.0,3.4895522388059703,2.0,0.0,45.0,45.0,5.603760313419568,10.0,5.0
"NBD",2.0,4.0,2.6,3.0,0.0,4.0,4.0,1.3207867397654736,7.0,3.0
"PARAM",0.0,1.0,0.6238805970149254,1.0,0.0,3.0,3.0,0.6570148575613487,2.5,4.0
